,ISO3,day.rice.plant.start,day.rice.plant.end,day.rice.harvest.start,day.rice.harvest.end
0,ABW,,,,
1,ATG,,,,
2,AFG,137.11083984375,197.936553955078,261.726715087891,343.510620117188
3,DZA,72.4630355834961,173.072067260742,254.056045532227,293.496429443359
4,AZE,101.0,113.859230041504,223.987457275391,236.616012573242
5,ALB,111.0,151.0,213.000015258789,243.000015258789
6,ARM,101.000007629395,134.109848022461,245.613861083984,286.836456298828
7,AND,24.0,88.0,241.0,301.0
8,AGO,284.463317871094,351.638885498047,71.5795440673828,141.166961669922
9,ASM,,,,
10,ARG,242.735260009766,349.077270507812,59.1776809692383,174.320678710938
11,AUS,294.297088623047,272.973419189453,90.0970458984375,161.164443969727
12,AUT,95.0,148.0,269.0,310.0
13,AIA,,,,
14,ATA,250.921493530273,311.605621337891,89.4027252197266,161.296661376953
15,BHR,147.522979736328,175.043212890625,262.946960449219,290.185455322266
16,BRB,,,,
17,BWA,253.138687133789,354.072631835938,99.940559387207,171.066040039062
18,BMU,,,,
19,BEL,95.0,148.0,269.000030517578,310.0
20,BHS,55.490665435791,181.243515014648,186.397048950195,350.18359375
21,BGD,151.52067565918,220.184692382812,301.863128662109,358.333526611328
22,BLZ,91.3267135620117,181.686111450195,244.294052124023,294.6884765625
23,BIH,110.54679107666,150.915023803711,214.586212158203,244.897796630859
24,BOL,301.884216308594,331.442260742188,70.4485931396484,142.226058959961
25,MMR,120.899360656738,185.802917480469,276.309051513672,347.457550048828
26,BEN,96.5520553588867,154.694412231445,216.739517211914,276.602722167969
27,BLR,107.389045715332,158.582977294922,227.804870605469,261.054718017578
28,SLB,334.97119140625,59.2939872741699,120.941398620605,211.911605834961
29,BRA,109.321952819824,174.388137817383,103.154098510742,207.501037597656
30,BTN,139.143417358398,215.059555053711,286.235656738281,345.517974853516
31,BGR,108.343902587891,156.577789306641,223.88996887207,256.280456542969
32,BRN,187.08837890625,263.0,203.880111694336,122.464973449707
33,BDI,327.674957275391,32.0040550231934,122.391983032227,153.099380493164
34,CAN,112.842041015625,158.249176025391,255.806655883789,305.093078613281
35,KHM,152.170776367188,288.106872558594,333.876373291016,59.6611785888672
36,TCD,151.393051147461,211.807418823242,213.928039550781,333.839416503906
37,LKA,244.0,354.0,10.0,111.0
38,COG,255.820327758789,209.011489868164,158.140396118164,208.132400512695
39,ZAR,274.607971191406,116.660652160645,192.32551574707,222.411010742188
40,CHN,87.0540084838867,149.924468994141,209.085083007812,269.925140380859
41,CHL,282.283111572266,351.520935058594,71.1900787353516,133.365982055664
42,CYM,,,,
43,CCK,,,,
44,CMR,121.873268127441,212.136810302734,302.780120849609,363.730224609375
45,COM,305.0,16.0,91.0,181.0
46,COL,42.4358787536621,82.2523498535156,221.570739746094,292.338928222656
47,MNP,,,,
48,CRI,92.0676651000977,153.170684814453,213.995468139648,274.392547607422
49,CAF,122.41300201416,242.509185791016,317.644683837891,364.136566162109
50,CUB,60.0000038146973,193.000015258789,193.000015258789,365.000030517578
51,CPV,152.000015258789,212.0,274.000030517578,334.0
52,COK,,,,
53,CYP,101.000007629395,141.000015258789,253.0,304.0
54,DNK,95.0,148.0,269.0,310.0
55,DJI,180.268218994141,241.268203735352,302.278625488281,332.268218994141
56,DMA,,,,
57,DOM,314.723358154297,92.0075912475586,123.074508666992,245.007598876953
58,ECU,281.371948242188,53.0769462585449,113.212364196777,204.109680175781
59,EGY,112.836059570312,192.269927978516,282.287414550781,322.240661621094
60,IRL,78.5847015380859,134.127914428711,262.5263671875,307.919189453125
61,GNQ,253.229049682617,325.550262451172,105.615577697754,176.051895141602
62,EST,100.563285827637,149.043121337891,249.528518676758,286.703765869141
63,ERI,205.16667175293,205.736465454102,273.517669677734,302.708282470703
64,SLV,119.477821350098,181.0,301.904907226562,44.8517990112305
65,ETH,171.235702514648,230.122161865234,297.838592529297,327.353149414062
66,CZE,95.0,148.0,269.000030517578,310.000030517578
67,GUF,293.467163085938,121.808174133301,126.794120788574,291.16259765625
68,FIN,95.0556182861328,148.010437011719,268.805358886719,309.767120361328
69,FJI,335.0,59.0000038146973,121.000007629395,212.000015258789
70,FLK,284.0,354.0,71.0,131.0
71,FSM,,,,
72,FRO,95.0,148.0,268.999969482422,309.999969482422
73,PYF,284.0,52.0,111.0,202.0
74,FRA,84.8393783569336,139.413558959961,264.993011474609,308.712036132812
75,ATF,253.0,354.0,100.0,171.0
