# Time Series: Landers 1992 - LCN-345
# Time (s),Acceleration (g's)
0.0,-1.72676E-4
0.005,-1.78833E-4
0.01,-3.07099E-5
0.015,1.19204E-4
0.02,2.236E-4
0.025,2.00508E-4
0.03,1.73084E-4
0.035,3.24557E-4
0.04,5.38358E-4
0.045,4.98125E-4
0.05,2.47649E-4
0.055,-1.94958E-5
0.06,-2.53378E-4
0.065,-5.07208E-4
0.07,-7.17812E-4
0.075,-9.18548E-4
0.08,-0.00112096
0.085,-0.00124078
0.09,-0.0012065
0.095,-0.00105722
0.1,-8.13515E-4
0.105,-6.49609E-4
0.11,-5.767E-4
0.115,-3.18232E-4
0.12,2.60604E-4
0.125,8.30589E-4
0.13,0.00106869
0.135,9.8055E-4
0.14,8.79926E-4
0.145,8.94724E-4
0.15,8.9883E-4
0.155,7.73456E-4
0.16,7.89427E-4
0.165,0.00118629
0.17,0.00169363
0.175,0.00160454
0.18,7.30461E-4
0.185,-4.49288E-4
0.19,-0.00140053
0.195,-0.00193184
0.2,-0.00179592
0.205,-9.83692E-4
0.21,1.11079E-4
0.215,0.00104046
0.22,0.00158516
0.225,0.00166602
0.23,0.00145953
0.235,9.60676E-4
0.24,-7.67025E-5
0.245,-0.00156868
0.25,-0.00275594
0.255,-0.00315158
0.26,-0.00304826
0.265,-0.00284896
0.27,-0.00250097
0.275,-0.00187224
0.28,-8.44442E-4
0.285,4.04395E-4
0.29,0.00155306
0.295,0.00240331
0.3,0.00330952
0.305,0.00448
0.31,0.00545119
0.315,0.00527718
0.32,0.00353198
0.325,0.00110308
0.33,-5.16685E-4
0.335,-0.0010717
0.34,-0.00121873
0.345,-0.00137708
0.35,-0.00146745
0.355,-0.00152056
0.36,-0.00162406
0.365,-0.00169877
0.37,-0.00168266
0.375,-0.00183478
0.38,-0.00227469
0.385,-0.00258725
0.39,-0.00205422
0.395,-7.35565E-4
0.4,5.39668E-4
0.405,8.6599E-4
0.41,2.43718E-5
0.415,-0.00120232
0.42,-0.00178925
0.425,-0.00176053
0.43,-0.00159989
0.435,-0.00145942
0.44,-0.00131959
0.445,-0.00140354
0.45,-0.00158982
0.455,-0.00147397
0.46,-0.00120102
0.465,-0.00151736
0.47,-0.00247231
0.475,-0.00328493
0.48,-0.00339711
0.485,-0.0023323
0.49,5.18116E-4
0.495,0.00397352
0.5,0.00586113
0.505,0.00571587
0.51,0.00504998
0.515,0.00486097
0.52,0.00510353
0.525,0.00491027
0.53,0.00326003
0.535,7.537E-4
0.54,-9.1465E-4
0.545,-7.77409E-4
0.55,7.18776E-4
0.555,0.00224712
0.56,0.00261906
0.565,0.00183458
0.57,0.00132026
0.575,0.00221942
0.58,0.00406675
0.585,0.00506629
0.59,0.00429756
0.595,0.00287979
0.6,0.00239438
0.605,0.0024603
0.61,0.00164402
0.615,-0.00107883
0.62,-0.00548527
0.625,-0.0097836
0.63,-0.0109973
0.635,-0.00820387
0.64,-0.00421473
0.645,-0.00173691
0.65,3.97046E-4
0.655,0.0046807
0.66,0.0098777
0.665,0.0122417
0.67,0.00956159
0.675,0.00350053
0.68,-0.00309405
0.685,-0.00843657
0.69,-0.0113077
0.695,-0.0113654
0.7,-0.00982783
0.705,-0.0084677
0.71,-0.00701579
0.715,-0.00451796
0.72,-0.00122551
