# Time Series: Cape Mendocino 1992 - PET-090
# Time (s),Acceleration (g's)
0.0,-0.00456618
0.02,-0.00529718
0.04,6.86513E-4
0.06,0.00161512
0.08,-0.00342017
0.1,-0.00121241
0.12,5.9758E-4
0.14,0.00246473
0.16,0.00112503
0.18,0.00383681
0.2,-8.74936E-4
0.22,0.00169921
0.24,0.00866857
0.26,0.00128759
0.28,-0.0045246
0.3,-0.00753074
0.32,-0.00713412
0.34,-0.00485965
0.36,-0.011756
0.38,-0.0131106
0.4,-0.00799123
0.42,-0.00257298
0.44,0.0022894
0.46,-0.0120579
0.48,-0.012324
0.5,-0.00321216
0.52,-0.00618019
0.54,-0.00173788
0.56,0.00249944
0.58,0.00455297
0.6,0.00547434
0.62,0.00323986
0.64,8.01406E-4
0.66,0.0103235
0.68,0.00229451
0.7,0.0223614
0.72,0.0188572
0.74,-0.0161701
0.76,0.00695593
0.78,-4.11952E-4
0.8,-0.0136601
0.82,-0.0310943
0.84,-0.0395362
0.86,-0.0363153
0.88,-0.0255046
0.9,-0.0181465
0.92,-0.00769376
0.94,-0.00935857
0.96,0.00476829
0.98,0.0291747
1.0,0.0286963
1.02,0.0267001
1.04,0.00456915
1.06,0.0179138
1.08,0.0333454
1.1,0.0467269
1.12,0.0396013
1.14,0.0220177
1.16,-0.00885757
1.18,0.00968215
1.2,0.0408638
1.22,-0.0102675
1.24,-0.0177632
1.26,0.00934768
1.28,0.0129598
1.3,0.0275901
1.32,0.035828
1.34,-0.00833957
1.36,-0.0587006
1.38,-0.0330777
1.4,-0.0174609
1.42,-0.0169014
1.44,-0.0287726
1.46,-0.00854847
1.48,0.0504847
1.5,0.08387
1.52,0.094341
1.54,0.0781706
1.56,0.0692341
1.58,0.0771144
1.6,0.0709014
1.62,0.0294199
1.64,0.0190973
1.66,0.00336067
1.68,-0.00110293
1.7,0.00541379
1.72,0.00234152
1.74,0.0146784
1.76,0.0314962
1.78,0.00925415
1.8,-3.38866E-4
1.82,0.0356081
1.84,0.0481185
1.86,0.0634585
1.88,0.0438247
1.9,-0.0300619
1.92,-0.0207521
1.94,0.0257225
1.96,0.0307748
1.98,0.0023284
2.0,0.00901384
2.02,0.0526162
2.04,0.0632174
2.06,0.0648896
2.08,0.059527
2.1,0.0784678
2.12,0.0992417
2.14,0.0693695
2.16,0.0330295
2.18,0.0281688
2.2,-0.00690941
2.22,-0.0257226
2.24,0.00840009
2.26,-0.00802835
2.28,-0.019215
2.3,0.0519451
2.32,0.0676416
2.34,0.0766888
2.36,0.0893488
2.38,0.0336342
2.4,0.0461281
2.42,0.112694
2.44,0.085809
2.46,0.0703957
2.48,0.079593
2.5,0.0629854
2.52,0.0216183
2.54,0.00521772
2.56,0.013386
2.58,-0.00734341
2.6,-0.0298108
2.62,-0.0649517
2.64,-0.0796212
2.66,-0.0679614
2.68,-0.0752868
2.7,-0.109717
2.72,-0.165984
2.74,-0.241838
2.76,-0.320612
2.78,-0.340436
2.8,-0.290918
2.82,-0.297151
2.84,-0.357944
2.86,-0.37992
2.88,-0.400418
2.9,-0.334204
2.92,-0.2789
2.94,-0.305553
2.96,-0.30344
2.98,-0.419219
3.0,-0.600473
3.02,-0.654977
3.04,-0.162943
3.06,0.0215556
3.08,-0.274109
3.1,-0.123893
3.12,-0.0193208
3.14,-0.044618
3.16,0.0578805
3.18,0.160855
3.2,0.214765
3.22,0.301545
3.24,0.449192
3.26,0.627372
3.28,0.662443
3.3,0.472061
3.32,0.383814
3.34,0.421304
3.36,0.430155
3.38,0.438649
3.4,0.378063
3.42,0.270838
3.44,0.125211
3.46,-0.121796
3.48,-0.341032
3.5,-0.342394
3.52,-0.304953
3.54,-0.328922
3.56,-0.400241
3.58,-0.456313
3.6,-0.508954
3.62,-0.517171
3.64,-0.537863
3.66,-0.340393
3.68,0.0528292
3.7,-0.0558066
3.72,-0.125412
3.74,-0.00303716
3.76,0.0556918
3.78,0.175189
3.8,0.223637
3.82,0.222586
3.84,0.225345
3.86,0.131963
3.88,0.175608
3.9,0.325459
3.92,0.335677
3.94,0.443146
3.96,0.460982
3.98,0.416679
4.0,0.222663
4.02,0.063344
4.04,0.150782
4.06,0.104421
4.08,0.0169821
4.1,-0.0115557
4.12,-0.0182788
4.14,-0.0598512
4.16,-0.100182
4.18,-0.126412
4.2,-0.0177818
4.22,0.181407
4.24,0.186207
4.26,0.197441
4.28,0.30065
4.3,0.322993
4.32,0.318923
4.34,0.0585391
4.36,-0.0885786
4.38,0.0161377
4.4,-0.0494758
4.42,-0.0837896
4.44,-0.0594227
4.46,-0.0887864
4.48,-0.17153
4.5,-0.272676
4.52,-0.0501464
4.54,0.0489222
4.56,0.00570808
4.58,0.0757812
4.6,0.0525214
4.62,0.0989775
4.64,0.0545721
4.66,-0.13788
4.68,-0.184637
4.7,-0.179387
4.72,-0.249447
4.74,-0.258599
4.76,-0.23349
4.78,-0.233287
4.8,-0.0819024
4.82,0.0658705
4.84,-0.00585647
4.86,0.013065
4.88,0.0459594
4.9,0.0509538
4.92,0.0320333
4.94,0.0391697
4.96,0.0795785
4.98,0.0578051
5.0,0.0827233
5.02,0.191556
5.04,0.275616
5.06,0.355228
5.08,0.238541
5.1,-0.0577981
5.12,-0.0404177
5.14,0.0166245
5.16,-0.0736041
5.18,-0.0703098
5.2,-0.123352
5.22,-0.158194
5.24,-0.209638
5.26,-0.0744021
5.28,0.174584
5.3,0.086631
5.32,0.0115506
5.34,-0.0868307
5.36,-0.126214
5.38,-0.058883
5.4,-0.0208555
5.42,0.0233583
5.44,0.00340291
5.46,-0.0939215
5.48,-0.11265
5.5,-0.090012
5.52,-0.0987983
5.54,-0.0999663
5.56,-0.0739859
5.58,-0.013249
5.6,0.0152621
5.62,0.0443209
5.64,0.0917631
5.66,0.0418954
5.68,0.0214139
5.7,0.0899661
5.72,0.0819255
5.74,0.0863014
5.76,0.105313
5.78,0.10268
5.8,0.128909
5.82,0.123833
5.84,0.0634756
5.86,0.0895898
5.88,0.135823
5.9,0.133753
5.92,0.158544
5.94,0.0928129
5.96,-0.039896
5.98,-0.0422591
6.0,-0.0945786
6.02,-0.15561
6.04,-0.127413
6.06,-0.176512
6.08,-0.274221
6.1,-0.19548
6.12,-0.132595
6.14,-0.218723
6.16,-0.229838
6.18,-0.245164
6.2,-0.0524072
6.22,0.0646117
6.24,0.022732
6.26,0.139454
6.28,0.196178
6.3,0.214148
6.32,0.137277
6.34,0.0465238
6.36,0.0813492
6.38,0.0550776
6.4,0.0184071
6.42,0.02985
6.44,0.01896
6.46,-0.00664852
6.48,0.00628975
6.5,0.067168
6.52,0.160001
6.54,0.166825
6.56,0.199347
6.58,0.129802
6.6,-0.0164045
6.62,0.0470596
6.64,0.0304118
6.66,-0.0758348
6.68,-0.166406
6.7,-0.161733
6.72,-0.126166
6.74,-0.0038341
6.76,0.110712
6.78,0.0828511
6.8,0.0343172
6.82,-0.00857094
6.84,0.00686145
6.86,-0.0362195
6.88,-0.0796268
6.9,-0.047905
6.92,-0.00862698
6.94,0.0608277
6.96,0.0646373
6.98,0.0296389
7.0,-0.0113244
7.02,-0.0330975
7.04,-0.00918877
7.06,-0.0392779
7.08,-0.0578123
7.1,-0.0481979
7.12,-0.0840948
7.14,-0.08854
7.16,-0.0658879
7.18,-0.0791888
7.2,-0.0867358
7.22,-0.100882
7.24,-0.107084
7.26,-0.114716
7.28,-0.0626311
7.3,0.0379215
7.32,0.0236365
7.34,-0.015457
