# Time Series: Morgan Hill 1984 - CYC-285
# Time (s),Acceleration (g's)
0.0,-0.00452289
0.005,-0.00468882
0.01,-0.00486953
0.015,-0.00478892
0.02,-0.00472358
0.025,-0.00465665
0.03,-0.00458712
0.035,-0.00451808
0.04,-0.00444433
0.045,-0.00436257
0.05,-0.00427116
0.055,-0.00416996
0.06,-0.0040689
0.065,-0.00398751
0.07,-0.00392613
0.075,-0.00387298
0.08,-0.00381669
0.085,-0.00374435
0.09,-0.00366054
0.095,-0.00357595
0.1,-0.00352434
0.105,-0.00358009
0.11,-0.00375846
0.115,-0.00395213
0.12,-0.00402604
0.125,-0.00396026
0.13,-0.00383473
0.135,-0.00366396
0.14,-0.00335595
0.145,-0.00278108
0.15,-0.00200216
0.155,-0.00133498
0.16,-8.76792E-4
0.165,-5.18391E-4
0.17,-3.9956E-4
0.175,-6.73175E-4
0.18,-0.00117074
0.185,-0.00163568
0.19,-0.00207055
0.195,-0.00271049
0.2,-0.00365878
0.205,-0.0046989
0.21,-0.00554764
0.215,-0.0060999
0.22,-0.00635385
0.225,-0.0065453
0.23,-0.00718686
0.235,-0.00834309
0.24,-0.00939782
0.245,-0.00963514
0.25,-0.00869832
0.255,-0.00673769
0.26,-0.00430037
0.265,-0.00237925
0.27,-0.00168282
0.275,-0.00168337
0.28,-0.00154482
0.285,-0.0013022
0.29,-0.00144353
0.295,-0.00233938
0.3,-0.00405335
0.305,-0.0062705
0.31,-0.0085487
0.315,-0.0104323
0.32,-0.0116593
0.325,-0.0119554
0.33,-0.0109049
0.335,-0.00867878
0.34,-0.00574857
0.345,-0.00231514
0.35,0.00131444
0.355,0.00496088
0.36,0.00868082
0.365,0.0118883
0.37,0.0136879
0.375,0.0139544
0.38,0.0131905
0.385,0.0120324
0.39,0.0105615
0.395,0.00853672
0.4,0.00615536
0.405,0.00337645
0.41,1.18775E-4
0.415,-0.00319367
0.42,-0.00565099
0.425,-0.00548032
0.43,-0.00216469
0.435,0.00173114
0.44,0.00373757
0.445,0.00433683
0.45,0.00565154
0.455,0.00901611
0.46,0.0143195
0.465,0.020859
0.47,0.0276083
0.475,0.0330163
0.48,0.0348776
0.485,0.0316539
0.49,0.0248928
0.495,0.0178237
0.5,0.0115202
0.505,0.00499894
0.51,-0.0022719
0.515,-0.00942282
0.52,-0.0140412
0.525,-0.0132537
0.53,-0.00747342
0.535,-0.00157591
0.54,2.93163E-4
0.545,-0.00192061
0.55,-0.00500871
0.555,-0.00440952
0.56,0.00132415
0.565,0.00901844
0.57,0.0152571
0.575,0.0201565
0.58,0.0250435
0.585,0.0284048
0.59,0.0282323
0.595,0.0254155
0.6,0.0212599
0.605,0.013881
0.61,-7.61027E-4
0.615,-0.0244869
0.62,-0.0547882
0.625,-0.0838781
0.63,-0.102099
0.635,-0.108116
0.64,-0.107101
0.645,-0.101146
0.65,-0.0917774
0.655,-0.0823407
0.66,-0.0740566
0.665,-0.0667076
0.67,-0.0602473
0.675,-0.0524862
0.68,-0.0394379
0.685,-0.0183458
0.69,0.0106928
0.695,0.0448553
0.7,0.0764049
0.705,0.092938
0.71,0.08987
0.715,0.0752413
0.72,0.0573935
0.725,0.03854
0.73,0.0204653
0.735,0.00695167
0.74,-0.00101168
0.745,-0.00558398
0.75,-0.00990938
0.755,-0.0158665
0.76,-0.0207999
0.765,-0.0211626
0.77,-0.0162926
0.775,-0.00745626
0.78,0.00192213
0.785,0.00823796
0.79,0.0108297
0.795,0.010212
0.8,0.006542
0.805,8.12213E-4
0.81,-0.00514306
0.815,-0.00941492
0.82,-0.0123847
0.825,-0.0160823
0.83,-0.0201132
0.835,-0.0216001
0.84,-0.0190749
0.845,-0.0144802
0.85,-0.0080582
0.855,0.0056722
0.86,0.0305944
0.865,0.0587119
0.87,0.0762088
0.875,0.0810398
0.88,0.081849
0.885,0.0814802
0.89,0.0762554
0.895,0.0661707
0.9,0.0547164
0.905,0.0434711
0.91,0.0312386
0.915,0.0160776
0.92,-0.00201221
0.925,-0.0199314
0.93,-0.0339241
0.935,-0.0427667
0.94,-0.0476707
0.945,-0.0484292
0.95,-0.0440615
0.955,-0.0369404
0.96,-0.0291113
0.965,-0.0192958
0.97,-0.00756235
0.975,0.00273815
0.98,0.010166
0.985,0.017155
0.99,0.024624
0.995,0.0310683
1.0,0.0355679
1.005,0.0385514
1.01,0.0416659
1.015,0.0453267
1.02,0.049361
1.025,0.0553669
1.03,0.0628158
1.035,0.0685818
1.04,0.0721541
1.045,0.0740385
1.05,0.0713466
1.055,0.0623082
1.06,0.0507173
1.065,0.0398079
1.07,0.0288381
1.075,0.0178271
1.08,0.00828931
1.085,0.00171692
1.09,-5.04404E-5
1.095,0.00234544
1.1,0.00385612
1.105,-0.00289548
1.11,-0.0216953
1.115,-0.0444731
1.12,-0.0571291
1.125,-0.0543299
1.13,-0.039481
1.135,-0.0171301
1.14,0.00658185
1.145,0.0232182
1.15,0.0285213
1.155,0.0255156
1.16,0.0200635
1.165,0.0152908
1.17,0.00907949
1.175,-0.00277347
1.18,-0.0205482
1.185,-0.0390868
1.19,-0.0516179
1.195,-0.0524165
1.2,-0.039765
1.205,-0.0200244
1.21,-0.00551323
1.215,-0.00622344
1.22,-0.0224076
1.225,-0.0446032
1.23,-0.0632857
1.235,-0.0758482
1.24,-0.0818991
1.245,-0.0801922
1.25,-0.0703952
1.255,-0.0532069
1.26,-0.0298534
1.265,-0.00223549
1.27,0.021188
1.275,0.0268648
1.28,0.00915514
1.285,-0.0301677
1.29,-0.0821045
1.295,-0.124335
1.3,-0.137807
1.305,-0.123042
1.31,-0.0885192
1.315,-0.0413771
1.32,0.00620326
1.325,0.0388708
1.33,0.0508771
1.335,0.0527229
1.34,0.0594565
1.345,0.0761768
1.35,0.0998226
1.355,0.122309
1.36,0.133462
1.365,0.129855
1.37,0.113764
1.375,0.0889236
1.38,0.0609775
1.385,0.0330834
1.39,0.00907112
1.395,1.51492E-4
1.4,0.011985
1.405,0.0334112
1.41,0.0497688
1.415,0.0572807
1.42,0.0594671
1.425,0.0598329
1.43,0.0614982
1.435,0.0668137
1.44,0.0733668
1.445,0.0748474
1.45,0.0693243
1.455,0.0610211
1.46,0.0554015
1.465,0.0568801
1.47,0.0647597
1.475,0.0726646
1.48,0.0751443
1.485,0.0705756
1.49,0.0615468
1.495,0.0498257
1.5,0.027598
1.505,-0.0220136
1.51,-0.100057
1.515,-0.179811
1.52,-0.239416
1.525,-0.271732
1.53,-0.271834
1.535,-0.236908
1.54,-0.168433
1.545,-0.0826686
1.55,-0.00491832
1.555,0.0522363
1.56,0.0875012
1.565,0.0997864
1.57,0.0905994
1.575,0.0678726
1.58,0.0450508
1.585,0.033377
1.59,0.0318703
1.595,0.030207
1.6,0.0250721
1.605,0.0276284
1.61,0.0487493
1.615,0.0798871
1.62,0.0971211
1.625,0.0855443
1.63,0.0528383
1.635,0.0223933
1.64,0.01035
1.645,0.00965532
1.65,0.0054967
1.655,-0.00654818
1.66,-0.0227108
1.665,-0.0369551
1.67,-0.0415892
1.675,-0.0322059
1.68,-0.0156889
1.685,-0.00466439
