# Time Series: Coalinga 1983 - PVB-045
# Time (s),Acceleration (g's)
0.0,3.44741E-4
0.005,-1.1221E-4
0.01,-0.00169633
0.015,-0.00272627
0.02,-0.00240556
0.025,-0.00236754
0.03,-0.00232485
0.035,-0.00228293
0.04,-0.00223889
0.045,-0.00219339
0.05,-0.00214716
0.055,-0.00210502
0.06,-0.00207084
0.065,-0.00204741
0.07,-0.00203299
0.075,-0.00202421
0.08,-0.00201892
0.085,-0.0020171
0.09,-0.0020175
0.095,-0.00202001
0.1,-0.0020239
0.105,-0.00202964
0.11,-0.00203784
0.115,-0.00204869
0.12,-0.00206077
0.125,-0.00207576
0.13,-0.00209587
0.135,-0.0021202
0.14,-0.00214836
0.145,-0.00217758
0.15,-0.00219672
0.155,-0.00219629
0.16,-0.00217483
0.165,-0.00213993
0.17,-0.00210535
0.175,-0.00208419
0.18,-0.00207945
0.185,-0.00208512
0.19,-0.00209284
0.195,-0.00209225
0.2,-0.00206829
0.205,-0.00201195
0.21,-0.00192494
0.215,-0.00181349
0.22,-0.00168814
0.225,-0.00156388
0.23,-0.0014516
0.235,-0.00135533
0.24,-0.00127582
0.245,-0.00121206
0.25,-0.00115924
0.255,-0.00111198
0.26,-0.00106462
0.265,-0.00101144
0.27,-9.44074E-4
0.275,-8.50854E-4
0.28,-7.23304E-4
0.285,-5.57796E-4
0.29,-3.52997E-4
0.295,-1.19273E-4
0.3,1.25815E-4
0.305,3.61979E-4
0.31,5.60262E-4
0.315,6.93774E-4
0.32,7.51189E-4
0.325,7.48319E-4
0.33,7.27588E-4
0.335,7.26279E-4
0.34,7.6246E-4
0.345,8.41654E-4
0.35,9.59374E-4
0.355,0.00109892
0.36,0.00123374
0.365,0.00133299
0.37,0.00137373
0.375,0.00136101
0.38,0.00132045
0.385,0.001278
0.39,0.00125169
0.395,0.001249
0.4,0.00126411
0.405,0.00127262
0.41,0.00123438
0.415,0.00111095
0.42,9.02041E-4
0.425,6.43047E-4
0.43,3.80078E-4
0.435,1.57411E-4
0.44,1.90006E-5
0.445,7.47555E-6
0.45,1.38951E-4
0.455,3.98965E-4
0.46,7.36145E-4
0.465,0.00106749
0.47,0.00133349
0.475,0.0015158
0.48,0.00161336
0.485,0.00163955
0.49,0.00160304
0.495,0.00149749
0.5,0.00132349
0.505,0.00108994
0.51,8.23632E-4
0.515,5.77491E-4
0.52,4.0119E-4
0.525,2.98244E-4
0.53,2.53821E-4
0.535,2.94263E-4
0.54,4.56358E-4
0.545,7.39308E-4
0.55,0.00110834
0.555,0.00152295
0.56,0.00195096
0.565,0.00236101
0.57,0.00273263
0.575,0.00303256
