# Time Series: Kobe, Japan 1995 - TAK-090
# Time (s),Acceleration (g's)
0.0,1.36409E-4
0.01,7.44843E-5
0.02,-2.41948E-6
0.03,-2.48463E-5
0.04,4.47083E-5
0.05,1.1314E-4
0.06,1.66605E-4
0.07,1.70257E-4
0.08,1.34213E-4
0.09,1.158E-4
0.1,1.3735E-4
0.11,7.34513E-5
0.12,-6.17838E-5
0.13,9.88531E-5
0.14,4.69934E-4
0.15,5.91231E-4
0.16,1.77968E-4
0.17,-3.37907E-4
0.18,-3.13414E-4
0.19,2.2742E-4
0.2,4.94335E-4
0.21,4.71201E-5
0.22,1.60852E-4
0.23,6.64761E-4
0.24,7.18686E-4
0.25,1.09313E-4
0.26,-3.3728E-4
0.27,2.88202E-4
0.28,0.00106742
0.29,8.18465E-4
0.3,2.43573E-5
0.31,-6.96487E-6
0.32,7.64388E-4
0.33,0.00102612
0.34,9.90807E-4
0.35,0.00141266
0.36,0.00177207
0.37,0.00123052
0.38,-1.75544E-4
0.39,-0.00130678
0.4,-0.00128323
0.41,-8.46755E-4
0.42,2.74874E-4
0.43,0.00131035
0.44,8.7748E-4
0.45,-8.1077E-5
0.46,-5.90964E-4
0.47,-5.06121E-4
0.48,3.0032E-4
0.49,0.001332
0.5,0.00332249
0.51,0.00545238
0.52,0.0055214
0.53,0.00260313
0.54,-1.60875E-4
0.55,0.00210438
0.56,0.00552767
0.57,0.00548267
0.58,0.0028878
0.59,4.75285E-4
0.6,0.00160318
0.61,0.0037605
0.62,0.00302671
0.63,0.00237166
0.64,0.00365467
0.65,0.0029365
0.66,-5.76579E-4
0.67,-0.00398935
0.68,-0.00159189
0.69,0.00489957
0.7,0.00641523
0.71,0.00287567
0.72,0.00271354
0.73,0.0167212
0.74,0.0261211
0.75,0.0222019
0.76,0.00913253
0.77,4.06716E-4
0.78,0.00139069
0.79,0.00964718
0.8,0.0123476
0.81,0.00356426
0.82,-0.00503127
0.83,-0.00631771
0.84,0.00323804
0.85,0.0148252
0.86,0.0151629
0.87,0.010093
0.88,0.00655004
0.89,0.00628389
0.9,0.0085759
0.91,0.00279997
0.92,-0.00429258
0.93,-0.0027827
0.94,0.00543483
0.95,0.00588897
0.96,-0.00714165
0.97,-0.0184388
0.98,-0.0155184
0.99,-0.00148856
1.0,0.00426031
1.01,-0.00633682
1.02,-0.0213103
1.03,-0.0256196
1.04,-0.0199886
1.05,-0.0190748
1.06,-0.0312599
1.07,-0.044698
1.08,-0.0487797
1.09,-0.043446
1.1,-0.0385845
1.11,-0.0360738
1.12,-0.0340115
1.13,-0.0248848
1.14,-0.0046261
1.15,0.00939107
1.16,0.00789616
1.17,0.00240824
1.18,-0.00243279
1.19,-0.00146021
1.2,0.00750279
1.21,0.0102744
1.22,0.00999524
1.23,0.012925
1.24,0.0206055
1.25,0.032317
1.26,0.0421611
1.27,0.033165
1.28,0.0117305
1.29,-0.00962026
1.3,-0.0321005
1.31,-0.0491725
1.32,-0.0568706
1.33,-0.0484415
1.34,-0.0223508
1.35,0.00326653
1.36,0.0177755
1.37,0.0192539
1.38,0.00261497
1.39,-0.0176046
1.4,-0.0277581
1.41,-0.0316168
1.42,-0.0321423
1.43,-0.0183478
1.44,-0.0029026
1.45,0.00510928
1.46,0.00453935
1.47,2.68561E-5
1.48,-0.0106602
1.49,-0.0187542
1.5,-0.00916119
1.51,0.0157056
1.52,0.0451077
1.53,0.0622854
1.54,0.0574555
1.55,0.0423426
1.56,0.0336821
1.57,0.0366858
1.58,0.0389726
1.59,0.0280892
1.6,0.00394674
1.61,-0.0210423
1.62,-0.0302401
1.63,-0.0145986
1.64,0.00908328
1.65,0.023924
1.66,0.0185456
1.67,-0.00292458
1.68,-0.0193695
1.69,-0.0214925
1.7,-0.0274272
1.71,-0.0442113
1.72,-0.059618
1.73,-0.0713381
1.74,-0.0762145
1.75,-0.0746097
1.76,-0.0739214
1.77,-0.0585828
1.78,-0.0312241
1.79,-0.0213933
1.8,-0.0316066
1.81,-0.0520627
1.82,-0.0738681
1.83,-0.0829367
1.84,-0.0849728
1.85,-0.0942423
1.86,-0.108686
1.87,-0.128919
1.88,-0.155797
1.89,-0.181604
1.9,-0.204061
1.91,-0.217223
1.92,-0.202792
1.93,-0.160844
1.94,-0.121459
1.95,-0.106876
1.96,-0.1172
1.97,-0.132632
1.98,-0.138916
1.99,-0.134988
2.0,-0.131893
2.01,-0.134664
2.02,-0.133576
2.03,-0.128689
2.04,-0.118472
2.05,-0.0997431
2.06,-0.0670044
2.07,-0.0148079
2.08,0.0619552
2.09,0.170837
2.1,0.291892
2.11,0.397978
2.12,0.478798
2.13,0.536021
2.14,0.560484
2.15,0.517971
2.16,0.394107
2.17,0.198517
2.18,-0.0234685
2.19,-0.224946
2.2,-0.378056
2.21,-0.475127
2.22,-0.533624
2.23,-0.557873
2.24,-0.533157
2.25,-0.467403
2.26,-0.383017
2.27,-0.309929
2.28,-0.256828
2.29,-0.199449
2.3,-0.111394
2.31,0.0138686
2.32,0.154878
2.33,0.283906
2.34,0.376208
2.35,0.42035
2.36,0.425381
2.37,0.408426
2.38,0.387611
2.39,0.369074
2.4,0.348409
2.41,0.332893
2.42,0.33318
2.43,0.352717
2.44,0.387273
2.45,0.429382
2.46,0.47636
2.47,0.521672
2.48,0.54469
2.49,0.522561
2.5,0.461378
2.51,0.388897
2.52,0.325531
2.53,0.270998
2.54,0.213536
2.55,0.144739
2.56,0.0609964
2.57,-0.038077
2.58,-0.144198
2.59,-0.249428
2.6,-0.342089
2.61,-0.394102
2.62,-0.386469
2.63,-0.315787
2.64,-0.193148
2.65,-0.0439233
2.66,0.108276
2.67,0.249224
2.68,0.373309
2.69,0.483637
2.7,0.57286
2.71,0.615515
2.72,0.575069
2.73,0.470645
2.74,0.360858
2.75,0.29466
2.76,0.28632
2.77,0.317238
2.78,0.34781
2.79,0.354427
2.8,0.332041
2.81,0.282057
2.82,0.215867
2.83,0.149791
2.84,0.0964161
2.85,0.0608635
2.86,0.0369202
2.87,0.0135792
2.88,-0.0177827
2.89,-0.054081
2.9,-0.0891178
2.91,-0.124373
2.92,-0.16304
2.93,-0.201858
2.94,-0.239508
2.95,-0.280014
2.96,-0.324066
2.97,-0.368501
2.98,-0.408758
2.99,-0.442894
3.0,-0.475253
3.01,-0.507187
3.02,-0.525581
3.03,-0.533181
3.04,-0.545356
3.05,-0.559546
3.06,-0.570364
3.07,-0.563845
3.08,-0.50937
3.09,-0.394505
3.1,-0.249475
3.11,-0.114312
3.12,-0.0158122
3.13,0.0361412
3.14,0.0416834
3.15,0.00296462
3.16,-0.0694068
3.17,-0.152104
3.18,-0.219094
3.19,-0.261506
3.2,-0.283292
3.21,-0.291418
3.22,-0.295898
3.23,-0.307261
3.24,-0.325698
3.25,-0.344548
3.26,-0.358519
3.27,-0.375075
3.28,-0.401352
3.29,-0.431861
3.3,-0.440663
3.31,-0.397926
3.32,-0.310287
3.33,-0.206317
3.34,-0.12273
3.35,-0.0797351
3.36,-0.074527
3.37,-0.109469
3.38,-0.178086
3.39,-0.241248
3.4,-0.25789
3.41,-0.224998
3.42,-0.148082
3.43,-0.0419264
3.44,0.0692631
3.45,0.152407
3.46,0.199509
3.47,0.224702
3.48,0.244122
3.49,0.267681
3.5,0.298046
3.51,0.332858
3.52,0.360404
3.53,0.370727
3.54,0.369213
3.55,0.370129
3.56,0.390309
3.57,0.437014
3.58,0.498783
3.59,0.544437
3.6,0.549563
3.61,0.50988
3.62,0.434095
3.63,0.341002
3.64,0.250338
3.65,0.176164
3.66,0.12556
3.67,0.100137
3.68,0.0912642
3.69,0.0878937
3.7,0.0859645
3.71,0.0827937
3.72,0.0780721
3.73,0.0791099
3.74,0.0958404
3.75,0.13055
3.76,0.173524
3.77,0.210309
3.78,0.229565
3.79,0.226254
3.8,0.198327
3.81,0.154955
3.82,0.118144
3.83,0.108548
3.84,0.120269
3.85,0.123877
3.86,0.112883
3.87,0.0972198
3.88,0.0827974
3.89,0.0736576
3.9,0.0657721
3.91,0.0487608
3.92,0.0108371
3.93,-0.0440162
3.94,-0.10183
3.95,-0.15354
3.96,-0.195879
3.97,-0.226614
3.98,-0.242663
