# Time Series: Mammoth Lakes-2 1980 - CVK-090
# Time (s),Acceleration (g's)
0.0,4.31336E-4
0.005,3.4994E-4
0.01,3.02271E-4
0.015,3.11512E-4
0.02,3.75119E-4
0.025,4.92068E-4
0.03,6.69319E-4
0.035,8.50871E-4
0.04,9.31318E-4
0.045,8.23869E-4
0.05,5.02184E-4
0.055,6.26642E-5
0.06,-2.82971E-4
0.065,-3.68965E-4
0.07,-1.81678E-4
0.075,1.89686E-4
0.08,6.02678E-4
0.085,8.37443E-4
0.09,7.26697E-4
0.095,3.90049E-4
0.1,1.07044E-4
0.105,4.28035E-5
0.11,2.26728E-4
0.115,5.77673E-4
0.12,9.34446E-4
0.125,0.00123063
0.13,0.00147629
0.135,0.00152607
0.14,0.00122812
0.145,6.69975E-4
0.15,2.63814E-6
0.155,-6.6648E-4
0.16,-0.00114042
0.165,-0.00119116
0.17,-8.34081E-4
0.175,-3.54828E-4
0.18,1.40382E-5
0.185,2.64594E-4
0.19,4.55247E-4
0.195,6.22779E-4
0.2,9.45294E-4
0.205,0.00151425
0.21,0.00195202
0.215,0.0018831
0.22,0.00146309
0.225,9.66337E-4
0.23,3.39563E-4
0.235,-4.84455E-4
0.24,-0.00132222
0.245,-0.00189694
0.25,-0.00200917
0.255,-0.00176083
0.26,-0.00151343
0.265,-0.00137168
0.27,-0.00105238
0.275,-3.64768E-4
0.28,5.11539E-4
0.285,0.00132978
0.29,0.00213397
0.295,0.00284333
0.3,0.00294737
0.305,0.00209175
0.31,5.29143E-4
0.315,-9.83978E-4
0.32,-0.00168602
0.325,-0.00143141
0.33,-7.37368E-4
0.335,-1.52867E-4
0.34,1.77341E-4
0.345,4.00225E-4
0.35,5.40229E-4
0.355,1.83055E-4
0.36,-9.45572E-4
0.365,-0.00221821
0.37,-0.00246131
0.375,-0.0012188
0.38,4.97402E-4
0.385,0.00147298
0.39,0.00166595
0.395,0.00151706
0.4,0.00117095
0.405,5.95165E-4
0.41,-2.07281E-4
0.415,-7.69386E-4
0.42,-2.39602E-4
0.425,0.0013556
0.43,0.00242419
0.435,0.00152554
0.44,-8.99706E-4
0.445,-0.00336251
0.45,-0.00447728
0.455,-0.00340871
0.46,-5.93009E-4
0.465,0.0028055
0.47,0.005707
0.475,0.00660053
0.48,0.00449077
0.485,5.43797E-4
0.49,-0.00307744
0.495,-0.00546731
0.5,-0.00668073
0.505,-0.00611187
0.51,-0.00327234
0.515,7.41466E-4
0.52,0.00419795
0.525,0.00618772
0.53,0.00648306
0.535,0.00501606
0.54,0.00223511
0.545,-6.1268E-4
0.55,-0.00224499
0.555,-0.00283232
0.56,-0.00376887
0.565,-0.0052461
0.57,-0.00571406
0.575,-0.00381868
0.58,2.21636E-4
0.585,0.00467756
0.59,0.00814154
0.595,0.0106144
0.6,0.0120043
0.605,0.0116826
0.61,0.0096917
0.615,0.00654524
0.62,0.0025567
0.625,-0.00144172
0.63,-0.00427938
0.635,-0.00560858
0.64,-0.00602588
0.645,-0.00672529
0.65,-0.00857055
0.655,-0.0105875
0.66,-0.0105269
0.665,-0.00757564
0.67,-0.00329792
0.675,-5.99764E-5
0.68,2.2192E-4
0.685,-0.00288975
0.69,-0.00792457
0.695,-0.0127656
0.7,-0.0153393
0.705,-0.0141628
0.71,-0.0095826
0.715,-0.0038415
0.72,3.34695E-4
0.725,6.42687E-4
0.73,-0.00350823
0.735,-0.00931718
0.74,-0.0126507
0.745,-0.010929
0.75,-0.00428988
0.755,0.00445828
0.76,0.0119589
0.765,0.0162644
0.77,0.017594
0.775,0.01701
0.78,0.0141764
0.785,0.00880007
0.79,0.00228876
0.795,-0.00340693
0.8,-0.00542473
0.805,-0.00218922
0.81,0.00356373
0.815,0.0077444
0.82,0.00743523
0.825,0.00176211
0.83,-0.0063578
0.835,-0.0117428
0.84,-0.011423
0.845,-0.00724679
0.85,-0.00371871
0.855,-0.00350011
0.86,-0.00611087
0.865,-0.00951753
0.87,-0.0121895
0.875,-0.0139652
0.88,-0.0137841
0.885,-0.00948831
0.89,-5.19017E-4
0.895,0.0110602
0.9,0.0201797
0.905,0.022121
0.91,0.0176943
0.915,0.0108019
0.92,0.00369174
0.925,-0.00230892
0.93,-0.0052784
0.935,-0.00383974
0.94,0.00123513
0.945,0.00761978
0.95,0.0123756
0.955,0.0122928
0.96,0.00686723
0.965,-0.0010779
0.97,-0.00807705
0.975,-0.0103249
0.98,-0.00610706
0.985,0.00179494
0.99,0.00921465
0.995,0.0124059
1.0,0.00840531
1.005,-0.00146152
1.01,-0.0114887
1.015,-0.01653
1.02,-0.0151712
1.025,-0.0100527
1.03,-0.00639598
1.035,-0.00834066
1.04,-0.0156605
1.045,-0.0249196
1.05,-0.0314076
1.055,-0.0304363
1.06,-0.0199848
1.065,-0.0015364
1.07,0.0200205
1.075,0.037498
1.08,0.0435081
1.085,0.033807
1.09,0.0117263
1.095,-0.0108757
1.1,-0.0208192
1.105,-0.0148815
1.11,-5.35174E-4
1.115,0.0129164
1.12,0.0197188
1.125,0.0169959
1.13,0.00518275
1.135,-0.0102358
1.14,-0.021973
1.145,-0.0250097
1.15,-0.0181298
1.155,-0.00487804
1.16,0.00746312
1.165,0.0124549
1.17,0.00899158
1.175,2.23288E-5
1.18,-0.0105996
1.185,-0.0185676
1.19,-0.0198103
1.195,-0.012964
1.2,-9.63193E-4
1.205,0.00995925
1.21,0.013184
1.215,0.006576
1.22,-0.00502899
1.225,-0.0146706
1.23,-0.0182512
