,country.admin1Id,admin1_name,admin1_name_alt,admin1_code,ISO3
0,AD.06,Sant Julià de Loria,Sant Julia de Loria,06,AND
1,AD.05,Ordino,Ordino,05,AND
2,AD.04,La Massana,La Massana,04,AND
3,AD.03,Encamp,Encamp,03,AND
4,AD.02,Canillo,Canillo,02,AND
5,AD.07,Andorra la Vella,Andorra la Vella,07,AND
6,AD.08,Escaldes-Engordany,Escaldes-Engordany,08,AND
7,AE.07,Imārat Umm al Qaywayn,Imarat Umm al Qaywayn,07,ARE
8,AE.05,Raʼs al Khaymah,Imarat Ra's al Khaymah,05,ARE
9,AE.03,Dubai,Dubai,03,ARE
10,AE.06,Sharjah,Sharjah,06,ARE
11,AE.04,Fujairah,Fujairah,04,ARE
12,AE.02,Ajman,Ajman,02,ARE
13,AE.01,Abu Dhabi,Abu Dhabi,01,ARE
14,AF.28,Zabul,Zabul,28,AFG
15,AF.27,Maidan Wardak Province,Maidan Wardak Province,27,AFG
16,AF.26,Takhar,Takhar,26,AFG
17,AF.33,Sar-e Pol Province,Sar-e Pol Province,33,AFG
18,AF.32,Samangan,Samangan,32,AFG
19,AF.40,Parwan,Parwan,40,AFG
20,AF.29,Paktika,Paktika,29,AFG
21,AF.36,Paktia,Paktia,36,AFG
22,AF.39,Oruzgan,Oruzgan,39,AFG
23,AF.19,Nimroz,Nimroz,19,AFG
24,AF.18,Nangarhar,Nangarhar,18,AFG
25,AF.17,Logar,Logar,17,AFG
26,AF.35,Laghman,Laghman,35,AFG
27,AF.24,Kunduz,Kunduz,24,AFG
28,AF.34,Kunar,Kunar,34,AFG
29,AF.14,Kapisa,Kapisa,14,AFG
30,AF.23,Kandahar,Kandahar,23,AFG
31,AF.13,Kabul,Kabul,13,AFG
32,AF.31,Jowzjan,Jowzjan,31,AFG
33,AF.11,Herat,Herat,11,AFG
34,AF.10,Helmand,Helmand,10,AFG
35,AF.09,Ghowr,Ghowr,09,AFG
36,AF.08,Ghazni,Ghazni,08,AFG
37,AF.07,Faryab,Faryab,07,AFG
38,AF.06,Farah,Farah,06,AFG
39,AF.05,Bamyan,Bamyan,05,AFG
40,AF.30,Balkh,Balkh,30,AFG
41,AF.03,Baghlan,Baghlan,03,AFG
42,AF.02,Badghis,Badghis,02,AFG
43,AF.01,Badakhshan,Badakhshan,01,AFG
44,AF.37,Khowst,Khowst,37,AFG
45,AF.38,Nuristan,Nuristan,38,AFG
46,AF.41,Daykundi,Daykundi,41,AFG
47,AF.42,Panjshir,Panjshir,42,AFG
48,AG.08,Saint Philip Parish,Saint Philip Parish,08,ATG
49,AG.07,Saint Peter Parish,Saint Peter Parish,07,ATG
50,AG.06,Saint Paul Parish,Saint Paul Parish,06,ATG
51,AG.05,Saint Mary Parish,Saint Mary Parish,05,ATG
52,AG.04,Saint John Parish,Saint John Parish,04,ATG
53,AG.03,Saint George Parish,Saint George Parish,03,ATG
54,AG.09,Redonda,Redonda,09,ATG
55,AG.01,Barbuda,Barbuda,01,ATG
56,AI.11205389,Blowing Point,Blowing Point,11205389,AIA
57,AI.11205392,Sandy Ground,Sandy Ground,11205392,AIA
58,AI.11205393,Sandy Hill,Sandy Hill,11205393,AIA
59,AI.11205396,The Valley,The Valley,11205396,AIA
60,AI.11205433,East End,East End,11205433,AIA
61,AI.11205436,North Hill,North Hill,11205436,AIA
62,AI.11205437,West End,West End,11205437,AIA
63,AI.11205438,South Hill,South Hill,11205438,AIA
64,AI.11205439,The Quarter,The Quarter,11205439,AIA
65,AI.11205440,North Side,North Side,11205440,AIA
66,AI.11205441,Island Harbour,Island Harbour,11205441,AIA
67,AI.11205442,George Hill,George Hill,11205442,AIA
68,AI.11205443,Stoney Ground,Stoney Ground,11205443,AIA
69,AI.11205444,The Farrington,The Farrington,11205444,AIA
70,AL.40,Berat County,Berat County,40,ALB
71,AL.41,Dibër County,Diber County,41,ALB
72,AL.43,Elbasan County,Elbasan County,43,ALB
73,AL.45,Gjirokastër County,Gjirokaster County,45,ALB
74,AL.46,Korçë County,Korce County,46,ALB
75,AL.47,Kukës County,Kukes County,47,ALB
76,AL.42,Durrës County,Durres County,42,ALB
77,AL.44,Fier County,Fier County,44,ALB
78,AL.48,Lezhë County,Lezhe County,48,ALB
79,AL.49,Shkodër County,Shkoder County,49,ALB
80,AL.50,Tirana,Tirana,50,ALB
81,AL.51,Vlorë County,Vlore County,51,ALB
82,AM.02,Ararat,Ararat,02,ARM
83,AM.08,Syunik,Syunik,08,ARM
84,AM.10,Vayots Dzor,Vayots Dzor,10,ARM
85,AM.11,Yerevan,Yerevan,11,ARM
86,AM.01,Aragatsotn,Aragatsotn,01,ARM
87,AM.03,Armavir,Armavir,03,ARM
88,AM.04,Gegharkunik,Gegharkunik,04,ARM
89,AM.05,Kotayk,Kotayk,05,ARM
90,AM.06,Lori,Lori,06,ARM
91,AM.07,Shirak,Shirak,07,ARM
92,AM.09,Tavush,Tavush,09,ARM
93,AO.18,Lunda Sul,Lunda Sul,18,AGO
94,AO.17,Luanda Norte,Luanda Norte,17,AGO
95,AO.14,Moxico,Moxico,14,AGO
96,AO.04,Cuando Cobango,Cuando Cobango,04,AGO
97,AO.16,Zaire,Zaire,16,AGO
98,AO.15,Uíge,Uige,15,AGO
99,AO.12,Malanje,Malanje,12,AGO
100,AO.20,Luanda,Luanda,20,AGO
101,AO.05,Cuanza Norte,Cuanza Norte,05,AGO
102,AO.03,Cabinda,Cabinda,03,AGO
103,AO.19,Bengo,Bengo,19,AGO
104,AO.13,Namibe,Namibe,13,AGO
105,AO.09,Huíla,Huila,09,AGO
106,AO.08,Huambo,Huambo,08,AGO
107,AO.07,Cunene,Cunene,07,AGO
108,AO.06,Kwanza Sul,Kwanza Sul,06,AGO
109,AO.02,Bíe,Bie,02,AGO
110,AO.01,Benguela,Benguela,01,AGO
111,AR.14,Misiones,Misiones,14,ARG
112,AR.09,Formosa,Formosa,09,ARG
113,AR.07,Buenos Aires F.D.,Buenos Aires F.D.,07,ARG
114,AR.08,Entre Rios,Entre Rios,08,ARG
115,AR.06,Corrientes,Corrientes,06,ARG
116,AR.01,Buenos Aires,Buenos Aires,01,ARG
117,AR.24,Tucuman,Tucuman,24,ARG
118,AR.23,Tierra del Fuego,Tierra del Fuego,23,ARG
119,AR.22,Santiago del Estero,Santiago del Estero,22,ARG
120,AR.21,Santa Fe,Santa Fe,21,ARG
121,AR.20,Santa Cruz,Santa Cruz,20,ARG
122,AR.19,San Luis,San Luis,19,ARG
123,AR.18,San Juan,San Juan,18,ARG
124,AR.17,Salta,Salta,17,ARG
125,AR.16,Rio Negro,Rio Negro,16,ARG
126,AR.15,Neuquen,Neuquen,15,ARG
127,AR.13,Mendoza,Mendoza,13,ARG
128,AR.12,La Rioja,La Rioja,12,ARG
