pathway	enzyme
bam	CPLX_dummy
lol	CPLX_dummy
sec	BSU27650-MONOMER
sec	secYEG
sec	BSU35300-MONOMER
secA	BSU35300-MONOMER
srp	BSU15950-MONOMER
srp	SRP-CPLX
srp	secYEG
srp	BSU35300-MONOMER
srp_yidC	SRP-CPLX
srp_yidC	BSU41040-MONOMER
srp_yidC	secYEG
tat	BSU02640-MONOMER
tat	BSU17710-MONOMER
tat	BSU02630-MONOMER
tat	BSU05980-MONOMER
tat	BSU05990-MONOMER
tat_alt	CPLX_dummy
yidC	SRP-CPLX
yidC	BSU41040-MONOMER
