Date,AAPL,TSLA,MSFT,META,AMZN
1/2/2020 16:00:00,75.09,28.68,160.62,209.78,94.9
1/3/2020 16:00:00,74.36,29.53,158.62,208.67,93.75
1/6/2020 16:00:00,74.95,30.1,159.03,212.6,95.14
1/7/2020 16:00:00,74.6,31.27,157.58,213.06,95.34
1/8/2020 16:00:00,75.8,32.81,160.09,215.22,94.6
1/9/2020 16:00:00,77.41,32.09,162.09,218.3,95.05
1/10/2020 16:00:00,77.58,31.88,161.34,218.06,94.16
1/13/2020 16:00:00,79.24,34.99,163.28,221.91,94.57
1/14/2020 16:00:00,78.17,35.86,162.13,219.06,93.47
1/15/2020 16:00:00,77.83,34.57,163.18,221.15,93.1
1/16/2020 16:00:00,78.81,34.23,166.17,221.77,93.9
1/17/2020 16:00:00,79.68,34.03,167.1,222.14,93.24
1/21/2020 16:00:00,79.14,36.48,166.5,221.44,94.6
1/22/2020 16:00:00,79.43,37.97,165.7,221.32,94.37
1/23/2020 16:00:00,79.81,38.15,166.72,219.76,94.23
1/24/2020 16:00:00,79.58,37.65,165.04,217.94,93.08
1/27/2020 16:00:00,77.24,37.2,162.28,214.87,91.42
1/28/2020 16:00:00,79.42,37.79,165.46,217.79,92.66
1/29/2020 16:00:00,81.08,38.73,168.04,223.23,92.9
1/30/2020 16:00:00,80.97,42.72,172.78,209.53,93.53
1/31/2020 16:00:00,77.38,43.37,170.23,201.91,100.44
2/3/2020 16:00:00,77.17,52,174.38,204.19,100.21
2/4/2020 16:00:00,79.71,59.14,180.12,209.83,102.48
2/5/2020 16:00:00,80.36,48.98,179.9,210.11,101.99
2/6/2020 16:00:00,81.3,49.93,183.63,210.85,102.51
2/7/2020 16:00:00,80.01,49.87,183.89,212.33,103.96
2/10/2020 16:00:00,80.39,51.42,188.7,213.06,106.7
2/11/2020 16:00:00,79.9,51.63,184.44,207.19,107.54
2/12/2020 16:00:00,81.8,51.15,184.71,210.76,108
2/13/2020 16:00:00,81.22,53.6,183.71,213.14,107.49
2/14/2020 16:00:00,81.24,53.34,185.35,214.18,106.74
2/18/2020 16:00:00,79.75,57.23,187.23,217.8,107.78
2/19/2020 16:00:00,80.91,61.16,187.28,217.49,108.51
2/20/2020 16:00:00,80.08,59.96,184.42,214.58,107.66
2/21/2020 16:00:00,78.26,60.07,178.59,210.18,104.8
2/24/2020 16:00:00,74.55,55.59,170.89,200.72,100.46
2/25/2020 16:00:00,72.02,53.33,168.07,196.77,98.64
2/26/2020 16:00:00,73.16,51.92,170.17,197.2,98.98
2/27/2020 16:00:00,68.38,45.27,158.18,189.75,94.22
2/28/2020 16:00:00,68.34,44.53,162.01,192.47,94.19
3/2/2020 16:00:00,74.7,49.57,172.79,196.44,97.7
3/3/2020 16:00:00,72.33,49.7,164.51,185.89,95.45
3/4/2020 16:00:00,75.69,49.97,170.55,191.76,98.79
3/5/2020 16:00:00,73.23,48.3,166.27,185.17,96.2
3/6/2020 16:00:00,72.26,46.9,161.57,181.09,95.05
3/9/2020 16:00:00,66.54,40.53,150.62,169.5,90.03
3/10/2020 16:00:00,71.33,43.02,160.92,178.19,94.59
3/11/2020 16:00:00,68.86,42.28,153.63,170.24,91.04
3/12/2020 16:00:00,62.06,37.37,139.06,154.47,83.83
3/13/2020 16:00:00,69.49,36.44,158.83,170.28,89.25
3/16/2020 16:00:00,60.55,29.67,135.42,146.01,84.46
3/17/2020 16:00:00,63.22,28.68,146.57,149.42,90.39
3/18/2020 16:00:00,61.67,24.08,140.4,146.96,91.5
3/19/2020 16:00:00,61.2,28.51,142.71,153.13,94.05
3/20/2020 16:00:00,57.31,28.5,137.35,149.73,92.3
3/23/2020 16:00:00,56.09,28.95,135.98,148.1,95.14
3/24/2020 16:00:00,61.72,33.67,148.34,160.98,97.01
3/25/2020 16:00:00,61.38,35.95,146.92,156.21,94.29
3/26/2020 16:00:00,64.61,35.21,156.11,163.34,97.77
3/27/2020 16:00:00,61.94,34.29,149.7,156.79,95.01
3/30/2020 16:00:00,63.7,33.48,160.23,165.95,98.2
3/31/2020 16:00:00,63.57,34.93,157.71,166.8,97.49
4/1/2020 16:00:00,60.23,32.1,152.11,159.6,95.39
4/2/2020 16:00:00,61.23,30.3,155.26,158.19,95.94
4/3/2020 16:00:00,60.35,32,153.83,154.18,95.33
4/6/2020 16:00:00,65.62,34.42,165.27,165.55,99.88
4/7/2020 16:00:00,64.86,36.36,163.49,168.83,100.58
4/8/2020 16:00:00,66.52,36.59,165.13,174.28,102.15
4/9/2020 16:00:00,67,38.2,165.14,175.19,102.14
4/13/2020 16:00:00,68.31,43.4,165.51,174.79,108.44
4/14/2020 16:00:00,71.76,47.33,173.7,178.17,114.17
4/15/2020 16:00:00,71.11,48.66,171.88,176.97,115.38
4/16/2020 16:00:00,71.67,49.68,177.04,176.25,120.41
4/17/2020 16:00:00,70.7,50.26,178.6,179.24,118.75
4/20/2020 16:00:00,69.23,49.76,175.06,178.24,119.68
4/21/2020 16:00:00,67.09,45.78,167.82,170.8,116.41
4/22/2020 16:00:00,69.03,48.81,173.52,182.28,118.17
4/23/2020 16:00:00,68.76,47.04,171.42,185.13,119.97
4/24/2020 16:00:00,70.74,48.34,174.55,190.07,120.51
4/27/2020 16:00:00,70.79,53.25,174.05,187.5,118.8
4/28/2020 16:00:00,69.65,51.27,169.81,182.91,115.7
4/29/2020 16:00:00,71.93,53.37,177.43,194.19,118.64
4/30/2020 16:00:00,73.45,52.13,179.21,204.71,123.7
5/1/2020 16:00:00,72.27,46.75,174.57,202.27,114.3
5/4/2020 16:00:00,73.29,50.75,178.84,205.26,115.8
5/5/2020 16:00:00,74.39,51.21,180.76,207.07,115.89
5/6/2020 16:00:00,75.16,52.17,182.54,208.47,117.56
5/7/2020 16:00:00,75.94,52,183.6,211.26,118.38
5/8/2020 16:00:00,77.53,54.63,184.68,212.35,118.98
5/11/2020 16:00:00,78.75,54.09,186.74,213.18,120.45
5/12/2020 16:00:00,77.85,53.96,182.51,210.1,117.85
5/13/2020 16:00:00,76.91,52.73,179.75,205.1,118.4
5/14/2020 16:00:00,77.39,53.56,180.53,206.81,119.44
5/15/2020 16:00:00,76.93,53.28,183.16,210.88,120.49
5/18/2020 16:00:00,78.74,54.24,184.91,213.19,121.31
5/19/2020 16:00:00,78.29,53.87,183.63,216.88,122.47
5/20/2020 16:00:00,79.81,54.37,185.66,229.97,124.9
5/21/2020 16:00:00,79.21,55.17,183.43,231.39,122.34
5/22/2020 16:00:00,79.72,54.46,183.51,234.91,121.84
5/26/2020 16:00:00,79.18,54.59,181.57,232.2,121.09
5/27/2020 16:00:00,79.53,54.68,181.81,229.14,120.52
5/28/2020 16:00:00,79.56,53.72,181.4,225.46,120.06
5/29/2020 16:00:00,79.49,55.67,183.25,225.09,122.12
6/1/2020 16:00:00,80.46,59.87,182.83,231.91,123.55
6/2/2020 16:00:00,80.83,58.77,184.91,232.72,123.62
6/3/2020 16:00:00,81.28,58.86,185.36,230.16,123.92
6/4/2020 16:00:00,80.58,57.63,182.92,226.29,123.03
6/5/2020 16:00:00,82.88,59.04,187.2,230.77,124.15
6/8/2020 16:00:00,83.37,63.33,188.36,231.4,126.2
6/9/2020 16:00:00,86,62.71,189.8,238.67,130.04
6/10/2020 16:00:00,88.21,68.34,196.84,236.73,132.37
6/11/2020 16:00:00,83.98,64.86,186.27,224.43,127.9
6/12/2020 16:00:00,84.7,62.35,187.74,228.58,127.25
6/15/2020 16:00:00,85.75,66.06,188.94,232.5,128.63
6/16/2020 16:00:00,88.02,65.48,193.57,235.65,130.76
6/17/2020 16:00:00,87.9,66.12,194.24,235.53,132.05
6/18/2020 16:00:00,87.93,66.93,196.32,235.94,132.7
6/19/2020 16:00:00,87.43,66.73,195.15,238.79,133.75
6/22/2020 16:00:00,89.72,66.29,200.57,239.22,135.69
6/23/2020 16:00:00,91.63,66.79,201.91,242.24,138.22
6/24/2020 16:00:00,90.02,64.06,197.84,234.02,136.72
6/25/2020 16:00:00,91.21,65.73,200.34,235.68,137.73
6/26/2020 16:00:00,88.41,63.98,196.33,216.08,134.64
6/29/2020 16:00:00,90.45,67.29,198.44,220.64,134.02
6/30/2020 16:00:00,91.2,71.99,203.51,227.07,137.94
7/1/2020 16:00:00,91.03,74.64,204.7,237.55,143.94
7/2/2020 16:00:00,91.03,80.58,206.26,233.42,144.51
7/6/2020 16:00:00,93.46,91.44,210.7,240.28,152.85
7/7/2020 16:00:00,93.17,92.66,208.25,240.86,150.01
7/8/2020 16:00:00,95.34,91.06,212.83,243.58,154.06
7/9/2020 16:00:00,95.68,92.95,214.32,244.5,159.13
7/10/2020 16:00:00,95.92,102.98,213.67,245.07,160
7/13/2020 16:00:00,95.48,99.8,207.07,239,155.2
7/14/2020 16:00:00,97.06,101.12,208.35,239.73,154.2
7/15/2020 16:00:00,97.73,103.07,208.04,240.28,150.44
7/16/2020 16:00:00,96.52,100.04,203.92,240.93,150
7/17/2020 16:00:00,96.33,100.06,202.88,242.03,148.1
7/20/2020 16:00:00,98.36,109.53,211.6,245.42,159.84
7/21/2020 16:00:00,97,104.56,208.75,241.75,156.91
7/22/2020 16:00:00,97.27,106.16,211.75,239.87,155
7/23/2020 16:00:00,92.85,100.87,202.54,232.6,149.33
7/24/2020 16:00:00,92.62,94.47,201.3,230.71,150.45
7/27/2020 16:00:00,94.81,102.64,203.85,233.5,152.76
7/28/2020 16:00:00,93.25,98.43,202.02,230.12,150.02
7/29/2020 16:00:00,95.04,99.94,204.06,233.29,151.68
7/30/2020 16:00:00,96.19,99.17,203.9,234.5,152.59
7/31/2020 16:00:00,106.26,95.38,205.01,253.67,158.23
8/3/2020 16:00:00,108.94,99,216.54,251.96,155.59
8/4/2020 16:00:00,109.67,99.13,213.29,249.83,156.94
8/5/2020 16:00:00,110.06,99,212.94,249.12,160.25
8/6/2020 16:00:00,113.9,99.31,216.35,265.28,161.25
8/7/2020 16:00:00,111.11,96.85,212.48,268.44,158.37
8/10/2020 16:00:00,112.73,94.57,208.25,263,157.41
8/11/2020 16:00:00,109.38,91.63,203.38,256.13,154.03
8/12/2020 16:00:00,113.01,103.65,209.19,259.89,158.11
8/13/2020 16:00:00,115.01,108.07,208.7,261.3,158.05
8/14/2020 16:00:00,114.91,110.05,208.9,261.24,157.4
8/17/2020 16:00:00,114.61,122.38,210.28,261.16,159.12
8/18/2020 16:00:00,115.56,125.81,211.49,262.34,165.62
8/19/2020 16:00:00,115.71,125.24,209.7,262.59,163.02
8/20/2020 16:00:00,118.28,133.46,214.58,269.01,164.87
8/21/2020 16:00:00,124.37,136.67,213.02,267.01,164.24
8/24/2020 16:00:00,125.86,134.28,213.69,271.39,165.37
8/25/2020 16:00:00,124.83,134.89,216.47,280.82,167.32
8/26/2020 16:00:00,126.52,143.54,221.15,303.91,172.09
8/27/2020 16:00:00,125.01,149.25,226.58,293.22,170
8/28/2020 16:00:00,124.81,147.56,228.91,293.66,170.09
8/31/2020 16:00:00,129.04,166.11,225.53,293.2,172.55
9/1/2020 16:00:00,134.18,158.35,227.27,295.44,174.96
9/2/2020 16:00:00,131.4,149.12,231.65,302.5,176.57
9/3/2020 16:00:00,120.88,135.67,217.3,291.12,168.4
9/4/2020 16:00:00,120.96,139.44,214.25,282.73,164.73
9/8/2020 16:00:00,112.82,110.07,202.66,271.16,157.49
9/9/2020 16:00:00,117.32,122.09,211.29,273.72,163.43
9/10/2020 16:00:00,113.49,123.78,205.37,268.09,158.76
9/11/2020 16:00:00,112,124.24,204.03,266.61,155.81
9/14/2020 16:00:00,115.36,139.87,205.41,266.15,155.15
9/15/2020 16:00:00,115.54,149.92,208.78,272.42,157.81
9/16/2020 16:00:00,112.13,147.25,205.05,263.52,153.91
9/17/2020 16:00:00,110.34,141.14,202.91,254.82,150.44
9/18/2020 16:00:00,106.84,147.38,200.39,252.53,147.75
9/21/2020 16:00:00,110.08,149.8,202.54,248.15,148.02
9/22/2020 16:00:00,111.81,141.41,207.42,254.75,156.45
9/23/2020 16:00:00,107.12,126.79,200.59,249.02,149.99
9/24/2020 16:00:00,108.22,129.26,203.19,249.53,150.99
9/25/2020 16:00:00,112.28,135.78,207.82,254.82,154.76
9/28/2020 16:00:00,114.96,140.4,209.44,256.82,158.7
9/29/2020 16:00:00,114.09,139.69,207.26,261.79,157.24
9/30/2020 16:00:00,115.81,143,210.33,261.9,157.44
10/1/2020 16:00:00,116.79,149.39,212.46,266.63,161.06
10/2/2020 16:00:00,113.02,138.36,206.19,259.94,156.25
10/5/2020 16:00:00,116.5,141.89,210.38,264.65,159.96
10/6/2020 16:00:00,113.16,137.99,205.91,258.66,155
10/7/2020 16:00:00,115.08,141.77,209.83,258.12,159.78
10/8/2020 16:00:00,114.97,141.97,210.58,263.76,159.53
10/9/2020 16:00:00,116.97,144.67,215.81,264.45,164.33
10/12/2020 16:00:00,124.4,147.43,221.4,275.75,172.15
10/13/2020 16:00:00,121.1,148.88,222.86,276.14,172.18
10/14/2020 16:00:00,121.19,153.77,220.86,271.82,168.19
10/15/2020 16:00:00,120.71,149.63,219.66,266.72,166.93
10/16/2020 16:00:00,119.02,146.56,219.66,265.93,163.64
10/19/2020 16:00:00,115.98,143.61,214.22,261.4,160.36
10/20/2020 16:00:00,117.51,140.65,214.65,267.56,160.85
10/21/2020 16:00:00,116.87,140.88,214.8,278.73,159.25
10/22/2020 16:00:00,115.75,141.93,214.89,278.12,158.82
10/23/2020 16:00:00,115.04,140.21,216.23,284.79,160.22
10/26/2020 16:00:00,115.05,140.09,210.08,277.11,160.35
10/27/2020 16:00:00,116.6,141.56,213.25,283.29,164.32
10/28/2020 16:00:00,111.2,135.34,202.68,267.67,158.14
10/29/2020 16:00:00,115.32,136.94,204.72,280.83,160.55
10/30/2020 16:00:00,108.86,129.35,202.47,263.11,151.81
11/2/2020 16:00:00,108.77,133.5,202.33,261.36,150.22
11/3/2020 16:00:00,110.44,141.3,206.43,265.3,152.42
11/4/2020 16:00:00,114.95,140.33,216.39,287.38,162.06
11/5/2020 16:00:00,119.03,146.03,223.29,294.68,166.1
11/6/2020 16:00:00,118.69,143.32,223.72,293.41,165.57
11/9/2020 16:00:00,116.32,140.42,218.39,278.77,157.19
11/10/2020 16:00:00,115.97,136.79,211.01,272.43,151.75
11/11/2020 16:00:00,119.49,139.04,216.55,276.48,156.87
11/12/2020 16:00:00,119.21,137.25,215.44,275.08,155.51
11/13/2020 16:00:00,119.26,136.17,216.51,276.95,156.44
11/16/2020 16:00:00,120.3,136.03,217.23,278.96,156.55
11/17/2020 16:00:00,119.39,147.2,214.46,275,156.78
11/18/2020 16:00:00,118.03,162.21,211.08,271.97,155.27
11/19/2020 16:00:00,118.64,166.42,212.42,272.94,155.85
11/20/2020 16:00:00,117.34,163.2,210.39,269.7,154.97
11/23/2020 16:00:00,113.85,173.95,210.11,268.43,154.92
11/24/2020 16:00:00,115.17,185.13,213.86,276.92,155.9
11/25/2020 16:00:00,116.03,191.33,213.87,275.59,159.25
11/27/2020 13:00:00,116.59,195.25,215.23,277.81,159.77
11/30/2020 16:00:00,119.05,189.2,214.07,276.97,158.4
12/1/2020 16:00:00,122.72,194.92,216.21,286.55,161
12/2/2020 16:00:00,123.08,189.61,215.37,287.52,160.18
12/3/2020 16:00:00,122.94,197.79,214.24,281.85,159.34
12/4/2020 16:00:00,122.25,199.68,214.36,279.7,158.13
12/7/2020 16:00:00,123.75,213.92,214.29,285.58,157.9
12/8/2020 16:00:00,124.38,216.63,216.01,283.4,158.86
12/9/2020 16:00:00,121.78,201.49,211.8,277.92,155.21
12/10/2020 16:00:00,123.24,209.02,210.52,277.12,155.07
12/11/2020 16:00:00,122.41,203.33,213.26,273.55,155.82
12/14/2020 16:00:00,121.78,213.28,214.2,274.19,157.85
12/15/2020 16:00:00,127.88,211.08,214.13,275.55,158.26
12/16/2020 16:00:00,127.81,207.59,219.28,275.67,162.05
12/17/2020 16:00:00,128.7,218.63,219.42,274.48,161.8
12/18/2020 16:00:00,126.66,231.67,218.59,276.4,160.08
12/21/2020 16:00:00,128.23,216.62,222.59,272.79,160.31
12/22/2020 16:00:00,131.88,213.45,223.94,267.09,160.33
12/23/2020 16:00:00,130.96,215.33,221.02,268.11,159.26
12/24/2020 13:00:00,131.97,220.59,222.75,267.4,158.63
12/28/2020 16:00:00,136.69,221.23,224.96,277,164.2
12/29/2020 16:00:00,134.87,222,224.15,276.78,166.1
12/30/2020 16:00:00,133.72,231.59,221.68,271.87,164.29
12/31/2020 16:00:00,132.69,235.22,222.42,273.16,162.85
1/4/2021 16:00:00,129.41,243.26,217.69,268.94,159.33
1/5/2021 16:00:00,131.01,245.04,217.9,270.97,160.93
1/6/2021 16:00:00,126.6,251.99,212.25,263.31,156.92
1/7/2021 16:00:00,130.92,272.01,218.29,268.74,158.11
1/8/2021 16:00:00,132.05,293.34,219.62,267.57,159.14
1/11/2021 16:00:00,128.98,270.4,217.49,256.84,155.71
1/12/2021 16:00:00,128.8,283.15,214.93,251.09,156.04
1/13/2021 16:00:00,130.89,284.8,216.34,251.64,158.29
1/14/2021 16:00:00,128.91,281.67,213.02,245.64,156.37
1/15/2021 16:00:00,127.14,275.39,212.65,251.36,155.21
1/19/2021 16:00:00,127.83,281.52,216.44,261.1,156.04
1/20/2021 16:00:00,132.03,283.48,224.34,267.48,163.17
1/21/2021 16:00:00,136.87,281.66,224.97,272.87,165.35
1/22/2021 16:00:00,139.07,282.21,225.95,274.5,164.61
1/25/2021 16:00:00,142.92,293.6,229.53,278.01,164.7
1/26/2021 16:00:00,143.16,294.36,232.33,282.05,166.31
1/27/2021 16:00:00,142.06,288.05,232.9,272.14,161.63
1/28/2021 16:00:00,137.09,278.48,238.93,265,161.88
1/29/2021 16:00:00,131.96,264.51,231.96,258.33,160.31
2/1/2021 16:00:00,134.14,279.94,239.65,262.01,167.14
2/2/2021 16:00:00,134.99,290.93,239.51,267.08,169
2/3/2021 16:00:00,133.94,284.9,243,266.65,165.63
2/4/2021 16:00:00,137.39,283.33,242.01,266.49,166.55
2/5/2021 16:00:00,136.76,284.08,242.2,268.1,167.61
2/8/2021 16:00:00,136.91,287.81,242.47,266.58,166.15
2/9/2021 16:00:00,136.01,283.15,243.77,269.45,165.25
2/10/2021 16:00:00,135.39,268.27,242.82,271.87,164.33
2/11/2021 16:00:00,135.13,270.55,244.49,270.39,163.11
2/12/2021 16:00:00,135.37,272.04,244.99,270.5,163.89
2/16/2021 16:00:00,133.19,265.41,243.7,273.97,163.45
2/17/2021 16:00:00,130.84,266.05,244.2,273.57,165.43
2/18/2021 16:00:00,129.71,262.46,243.79,269.39,166.41
2/19/2021 16:00:00,129.87,260.43,240.97,261.56,162.5
2/22/2021 16:00:00,126,238.17,234.51,260.33,159.04
2/23/2021 16:00:00,125.86,232.95,233.27,265.86,159.73
2/24/2021 16:00:00,125.35,247.34,234.55,264.31,157.98
2/25/2021 16:00:00,120.99,227.41,228.99,254.69,152.86
2/26/2021 16:00:00,121.26,225.17,232.38,257.62,154.65
3/1/2021 16:00:00,127.79,239.48,236.94,264.91,157.31
3/2/2021 16:00:00,125.12,228.81,233.87,259,154.73
3/3/2021 16:00:00,122.06,217.73,227.56,255.41,150.25
3/4/2021 16:00:00,120.13,207.15,226.73,257.64,148.88
3/5/2021 16:00:00,121.42,199.32,231.6,264.28,150.02
3/8/2021 16:00:00,116.36,187.67,227.39,255.31,147.6
3/9/2021 16:00:00,121.09,224.53,233.78,265.74,153.14
