,ISO3,year,ndvi_soybeanweighted
0,AFG,1982,0.11353540118535359
107,AFG,1983,0.1166664632615589
214,AFG,1984,0.11165862589790707
321,AFG,1985,0.11514732880819409
428,AFG,1986,0.11569677943275089
535,AFG,1987,0.11911688604808991
642,AFG,1988,0.11804087093898229
749,AFG,1989,0.11461639358883813
856,AFG,1990,0.11661398712793984
963,AFG,1991,0.11607918244316465
1070,AFG,1992,0.11860073214485531
1177,AFG,1993,0.11853630554108392
1284,AFG,1994,0.11705267034258161
1391,AFG,1995,0.11954913041705177
1498,AFG,1996,0.11805432548977081
1605,AFG,1997,0.11596086515699115
1712,AFG,1998,0.11906081860406059
1819,AFG,1999,0.11671417077382405
1926,AFG,2000,0.11220616731189549
2033,AFG,2001,0.11004190004788914
2140,AFG,2002,0.11426571963383597
2247,AFG,2003,0.1178153081202245
2354,AFG,2004,0.11492191526392005
2461,AFG,2005,0.12125436099544985
2568,AFG,2006,0.11117689120114504
2675,AFG,2007,0.11783509648501218
2782,AFG,2008,0.10036601306579924
2889,AFG,2009,0.12357370940407554
2996,AFG,2010,0.10813845599643768
3103,AFG,2011,0.10543327758076428
3210,AFG,2012,0.10947546825828135
3317,AFG,2013,0.11941920778864906
3424,AFG,2014,0.11160344616004401
3531,AFG,2015,0.11946048212051388
3638,AFG,2016,0.12139389183407738
3745,AFG,2017,0.11293600973628816
3852,AFG,2018,0.107650313831511
3959,AFG,2019,0.12221807838621594
4066,AFG,2020,0.10611305481245539
4173,AFG,2021,0.11309266871497745
4280,AFG,2022,0.1141827544711885
6,AGO,1982,0.6028258839561825
113,AGO,1983,0.5988596694582984
220,AGO,1984,0.5991868954613095
327,AGO,1985,0.6055691328502837
434,AGO,1986,0.6086348023187547
541,AGO,1987,0.6020349695114863
648,AGO,1988,0.59478330158052
755,AGO,1989,0.6052613203866141
862,AGO,1990,0.6024622742789132
969,AGO,1991,0.5956278599330357
1076,AGO,1992,0.6046987113952637
1183,AGO,1993,0.5976858705793109
1290,AGO,1994,0.595209952944801
1397,AGO,1995,0.605317101069859
1504,AGO,1996,0.6025385867527554
1611,AGO,1997,0.603675292242141
1718,AGO,1998,0.604338402157738
1825,AGO,1999,0.5987366961524601
1932,AGO,2000,0.5961780193873814
2039,AGO,2001,0.6022405628581623
2146,AGO,2002,0.6065839214953748
2253,AGO,2003,0.6061770532628992
2360,AGO,2004,0.6031533479795351
2467,AGO,2005,0.5945904980334606
2574,AGO,2006,0.593777605664599
2681,AGO,2007,0.5843496816446493
2788,AGO,2008,0.5821374132764209
2895,AGO,2009,0.5930398678622403
