name,domination_number,total_domination_number,connected_domination_number,semitotal_domination_number,independence_number,power_domination_number,zero_forcing_number,total_zero_forcing_number,connected_zero_forcing_number,diameter,radius,order,size,independent_domination_number,chromatic_number,matching_number,min_maximal_matching_number,triameter,randic_index,harmonic_index,sum_connectivity_index,min_degree,max_degree,clique_number,residue,annihilation_number,sub_total_domination_number,slater,k_slater_index,wiener_index,vertex_cover_number,k_residual_index,connected_graph,tree_graph,connected_graph_with_min_degree_at_least_2,connected_graph_with_min_degree_at_least_3,connected_graph_with_min_degree_at_least_4,connected_and_bipartite_graph,eulerian_graph,connected_and_planar_graph,connected_and_regular_graph,connected_and_cubic_graph,connected_graph_which_is_not_k_n,connected_and_triangle_free_graph,connected_and_at_free_graph,connected_and_claw_free_graph,connected_graph_with_maximum_degree_at_most_3,connected_graph_which_is_not_k_n_and_has_maximum_degree_at_most_3,connected_claw_free_and_cubic_graph,connected_planar_and_cubic_graph,connected_and_cubic_graph_which_is_not_k_4,connected_and_well_covered_graph,connected_graph_with_diameter_at_most_3,connected_and_planar_graph_with_diameter_at_most_3,connected_and_chordal_graph,connected_and_bipartite_graph_with_min_degree_at_least_2,connected_and_bipartite_graph_with_min_degree_at_least_3,connected_and_bipartite_graph_with_min_degree_at_least_4,connected_and_planar_graph_with_min_degree_at_least_2,connected_and_planar_graph_with_min_degree_at_least_3,connected_and_planar_graph_with_min_degree_at_least_4,connected_graph_which_is_not_k_n_with_min_degree_at_least_2,connected_graph_which_is_not_k_n_with_min_degree_at_least_3,connected_graph_which_is_not_k_n_with_min_degree_at_least_4,connected_and_triangle_free_graph_with_min_degree_at_least_2,connected_and_triangle_free_graph_with_min_degree_at_least_3,connected_and_triangle_free_graph_with_min_degree_at_least_4,connected_and_at_free_graph_with_min_degree_at_least_2,connected_and_at_free_graph_with_min_degree_at_least_3,connected_and_at_free_graph_with_min_degree_at_least_4,connected_and_claw_free_graph_with_min_degree_at_least_2,connected_and_claw_free_graph_with_min_degree_at_least_3,connected_and_claw_free_graph_with_min_degree_at_least_4,connected_graph_with_min_degree_at_least_2_and_maximum_degree_at_most_3,connected_and_chordal_graph_with_min_degree_at_least_2,connected_and_chordal_graph_with_min_degree_at_least_3,connected_and_diamond_free_graph,connected_cubic_and_diamond_free_graph,connected_and_bull_free_graph,positive_semidefinite_zero_forcing_number,graph_energy,square_positive_energy,a_block_graph,second_largest_eigenvalue,outer_connected_domination_number,edge_domination_number,roman_domination_number,double_roman_domination_number,two_rainbow_domination_number,three_rainbow_domination_number,connected_graph_line_graph
MathematicaGraph7564,3,4,4,7,5,2,3,5,5,5,3,8,7,3,2,3,2,12,3.663902460147014,3.3666666666666667,3.4189910556895,1,3,2,4,5,3,2,2,71.0,3,2,True,True,False,False,False,True,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,9,7.0,True,2,5,2,5.0,8.0,6,6,False
MathematicaGraph7570,2,2,2,8,6,1,5,6,6,3,2,8,7,2,2,2,1,8,3.037023368100676,2.345238095238095,2.820726024829036,1,6,2,6,6,2,2,1,54.0,2,1,True,True,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,7,7.0,True,1,6,1,3.0,5.0,7,7,False
MathematicaGraph7558,2,4,4,7,5,1,3,4,4,5,3,8,7,2,2,3,2,12,3.560660171779821,3.2,3.3272393461533625,1,4,2,4,5,3,2,1,71.0,3,2,True,True,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,8,7.0,True,1,6,2,4.0,6.0,6,7,False
F_small_F4_HaHeHe,4,4,4,7,6,1,4,4,4,4,2,10,12,4,2,4,4,12,4.732050807568878,4.5,5.121320343559642,2,6,2,4,6,3,2,2,96.0,4,2,True,False,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,4,11,12.0,False,1,4,4,5.0,8.0,4,9,False
Gadget3,4,6,7,9,7,3,8,8,10,6,3,16,24,4,3,7,6,18,8.0,8.0,9.797958971132712,3,3,3,4,8,6,4,1,402.0,9,3,True,False,True,True,False,False,False,True,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,7,22,28.0,False,3,9,6,8.0,12.0,7,9,False
G41,3,5,5,6,5,1,3,3,3,4,3,11,14,3,3,5,3,9,5.432652990377571,5.366666666666667,6.118950216318979,2,3,2,4,6,4,3,1,121.0,6,2,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,3,15,14.0,False,2,5,3,6.0,9.0,6,8,False
MathematicaGraph7612,3,3,3,9,6,2,4,6,6,4,2,9,8,3,2,3,2,10,3.854059275497024,3.3190476190476192,3.627853549972964,1,4,2,5,6,3,2,2,86.0,3,2,True,True,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,9,8.0,True,2,6,2,5.0,8.0,7,7,False
MathematicaGraph7606,4,4,4,9,5,1,4,5,5,4,2,9,8,4,2,4,3,12,3.964430832610072,3.523809523809524,3.682440807524285,1,5,2,5,6,3,2,2,82.0,4,1,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1,10,8.0,True,1,5,3,5.0,9.0,6,8,False
cubic70,3,4,5,6,5,2,4,4,4,4,3,12,18,3,3,6,4,9,6.0,6.0,7.348469228349535,3,3,3,3,6,4,3,1,140.0,7,3,True,False,True,True,False,False,False,True,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,4,17,19.0,False,2,3,4,6.0,9.0,6,7,False
B_dom_B2,2,4,4,4,4,1,3,3,3,3,3,7,8,2,2,3,2,8,3.4494897427831783,3.4000000000000004,3.683281572999748,2,3,2,3,4,3,2,1,38.0,3,3,True,False,True,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,2,9,8.0,False,1,4,2,4.0,6.0,4,5,False
