currency_code_alpha,cntr_iso3,start_date_iso4217,end_date_iso4217,start_date_wiki,end_date_wiki
OMR,OMN,1970-01-01,2025-03-31,,
PKR,PAK,1970-01-01,2025-03-31,,
USD,PLW,1970-01-01,2025-03-31,,
,PSE,1970-01-01,2025-03-31,,
PAB,PAN,1970-01-01,2025-03-31,,
USD,PAN,1970-01-01,2025-03-31,,
PGK,PNG,1970-01-01,2025-03-31,,
PYG,PRY,1970-01-01,2025-03-31,,
PES,PER,1970-01-01,1986-02-01,1863-01-01,1985-01-01
PEH,PER,1989-01-01,1990-12-01,1863-01-01,1985-02-01
PEI,PER,1990-12-01,1991-07-01,1985-02-01,1991-10-01
PEN,PER,1991-07-01,2015-12-01,,
PEN,PER,2015-12-01,2025-03-31,,
PHP,PHL,1970-01-01,2025-03-31,,
NZD,PCN,1970-01-01,2025-03-31,,
PLZ,POL,1970-01-01,1997-01-01,1950-10-30,1994-12-31
PLN,POL,1997-01-01,2025-03-31,,
PTE,PRT,1970-01-01,2002-03-01,1911-05-22,1999-01-01
EUR,PRT,2002-03-01,2025-03-31,,
USD,PRI,1970-01-01,2025-03-31,,
QAR,QAT,1970-01-01,2025-03-31,,
ROK,ROU,1989-01-01,1990-12-01,1947-01-01,1952-01-01
ROL,ROU,1990-12-01,2005-06-01,1952-01-28,2005-01-01
RON,ROU,2005-06-01,2015-06-01,,
RON,ROU,2015-06-01,2025-03-31,,
RUR,RUS,1970-01-01,2004-01-01,1992-01-01,1997-12-31
RUB,RUS,2004-01-01,2025-03-31,,
RWF,RWA,1970-01-01,2025-03-31,,
FRF,REU,1970-01-01,2002-03-01,1960-01-01,1999-01-01
EUR,REU,2002-03-01,2025-03-31,,
EUR,BLM,1999-01-01,2025-03-31,,
SHP,SHN,1970-01-01,2025-03-31,,
XCD,KNA,1970-01-01,2025-03-31,,
XCD,LCA,1970-01-01,2025-03-31,,
FRF,MAF,1970-01-01,1999-01-01,1960-01-01,1999-01-01
EUR,MAF,1999-01-01,2025-03-31,,
FRF,SPM,1970-01-01,2002-03-01,1960-01-01,1999-01-01
EUR,SPM,2002-03-01,2025-03-31,,
XCD,VCT,1970-01-01,2025-03-31,,
FRF,BLM,1970-01-01,1999-01-01,1960-01-01,1999-01-01
WST,WSM,1970-01-01,2025-03-31,,
ITL,SMR,1970-01-01,2002-03-01,1861-01-01,1999-01-01
EUR,SMR,2002-03-01,2025-03-31,,
STD,STP,1970-01-01,2017-12-01,1977-01-01,2018-04-01
STN,STP,2017-12-01,2025-03-31,,
SAR,SAU,1970-01-01,2025-03-31,,
XOF,SEN,1970-01-01,2025-03-31,,
RSD,SRB,1970-01-01,2025-03-31,,
CSD,not found,1970-01-01,2006-10-01,2003-07-03,2006-10-25
EUR,not found,2006-10-01,2006-10-01,,
SCR,SYC,1970-01-01,2025-03-31,,
SLL,SLE,1970-01-01,2023-12-01,,
SLE,SLE,2023-12-01,2025-03-31,,
SGD,SGP,1970-01-01,2025-03-31,,
ANG,SXM,1970-01-01,2025-03-01,,2025-03-31
XCG,SXM,2025-03-01,2025-03-31,,
XSU,not found,2013-11-01,2025-03-31,,
SKK,SVK,1970-01-01,2009-01-01,1993-02-08,2009-01-01
EUR,SVK,2009-01-01,2025-03-31,,
SIT,SVN,1970-01-01,2007-01-01,1991-10-08,2007-01-01
EUR,SVN,2007-01-01,2025-03-31,,
SBD,SLB,1970-01-01,2025-03-31,,
SOS,SOM,1970-01-01,2025-03-31,,
ZAL,ZAF,1970-01-01,1995-03-01,1985-09-01,1995-03-13
ZAR,ZAF,1995-03-01,2025-03-31,,
,SGS,1970-01-01,2025-03-31,,
SDG,SSD,1970-01-01,2012-09-01,,
SSP,SSD,2012-09-01,2025-03-31,,
RHD,ZWE,1978-01-01,1981-12-01,1970-01-01,1980-01-01
ESA,ESP,1978-01-01,1981-12-01,1978-01-01,1981-01-01
ESB,ESP,1981-12-01,1994-12-01,,1994-12-01
ESP,ESP,1994-12-01,2002-03-01,1869-01-01,1999-01-01
EUR,ESP,2002-03-01,2025-03-31,,
LKR,LKA,1970-01-01,2025-03-31,,
SDP,SDN,1970-01-01,1998-06-01,1956-01-01,1992-06-08
SDD,SDN,1998-06-01,2007-07-01,1992-06-08,2007-01-10
SDG,SDN,2007-07-01,2025-03-31,,
SRG,SUR,1970-01-01,2003-12-01,1942-01-01,2004-01-01
SRD,SUR,2003-12-01,2025-03-31,,
NOK,SJM,1970-01-01,2025-03-31,,
SZL,SWZ,1970-01-01,2018-08-01,,
SEK,SWE,1970-01-01,2025-03-31,,
CHC,CHE,1970-01-01,2004-11-01,,2004-12-01
CHF,CHE,2004-11-01,2025-03-31,,
CHE,CHE,2004-11-01,2025-03-31,,
CHW,CHE,2004-11-01,2025-03-31,,
SYP,SYR,1970-01-01,2025-03-31,,
TWD,TWN,1970-01-01,2025-03-31,,
RUR,TJK,1970-01-01,1995-05-01,1992-01-01,1997-12-31
TJR,TJK,1995-05-01,2001-04-01,1995-05-10,2000-10-30
TJS,TJK,2001-04-01,2025-03-31,,
TZS,TZA,1970-01-01,2025-03-31,,
THB,THA,1970-01-01,2025-03-31,,
IDR,TLS,1970-01-01,2002-07-01,,
TPE,TLS,2002-07-01,2002-11-01,1959-01-01,1976-01-01
USD,TLS,2002-11-01,2025-03-31,,
XOF,TGO,1970-01-01,2025-03-31,,
NZD,TKL,1970-01-01,2025-03-31,,
TOP,TON,1970-01-01,2025-03-31,,
TTD,TTO,1970-01-01,2025-03-31,,
TND,TUN,1970-01-01,2025-03-31,,
TRL,TUR,1970-01-01,2005-12-01,1923-01-01,2005-12-31
TRY,TUR,2005-12-01,2009-01-01,,
RUR,TKM,1970-01-01,1993-10-01,1992-01-01,1997-12-31
TMM,TKM,1993-10-01,2009-01-01,1993-11-01,2008-12-31
TMT,TKM,2009-01-01,2025-03-31,,
USD,TCA,1970-01-01,2025-03-31,,
AUD,TUV,1970-01-01,2025-03-31,,
TRY,TUR,2009-01-01,2025-03-31,,
UGS,UGA,1970-01-01,1987-05-01,1966-01-01,1987-12-31
UGW,UGA,1989-01-01,1990-12-01,1989-01-01,1990-01-01
UGX,UGA,1990-12-01,2025-03-31,,
UAK,UKR,1970-01-01,1996-09-01,1992-10-01,1996-09-01
UAH,UKR,1996-09-01,2025-03-31,,
SUR,not found,1970-01-01,1990-12-01,1961-01-01,1991-12-26
AED,ARE,1970-01-01,2025-03-31,,
GBP,GBR,1970-01-01,2025-03-31,,
USS,USA,1970-01-01,2014-03-01,,2014-03-28
USD,UMI,1970-01-01,2025-03-31,,
USD,USA,2014-03-01,2025-03-31,,
USN,USA,2014-03-01,2025-03-31,,
UYN,URY,1970-01-01,1989-12-01,1896-01-01,1975-07-01
UYP,URY,1989-12-01,1993-03-01,1975-07-01,1993-03-01
UYU,URY,1993-03-01,2025-03-31,,
UYI,URY,1993-03-01,2025-03-31,,
UYW,URY,1993-03-01,2025-03-31,,
RUR,UZB,1970-01-01,1994-07-01,1992-01-01,1997-12-31
UZS,UZB,1994-07-01,2025-03-31,,
VUV,VUT,1970-01-01,2025-03-31,,
VEB,VEN,1970-01-01,2008-01-01,1879-03-31,2008-01-01
VEF,VEN,2008-01-01,2011-12-01,2008-01-01,2018-08-20
VEF,VEN,1970-01-01,2016-02-01,2008-01-01,2018-08-20
VEF,VEN,2016-02-01,2018-08-01,2008-01-01,2018-08-20
VES,VEN,2018-08-01,2025-03-31,,
VED,VEN,2018-08-01,2025-03-31,,
VND,VNM,1990-12-01,2025-03-31,,
VNC,VNM,1989-01-01,1990-12-01,,
USD,VGB,1970-01-01,2025-03-31,,
USD,VIR,1970-01-01,2025-03-31,,
XPF,WLF,1970-01-01,2025-03-31,,
MAD,ESH,1970-01-01,2025-03-31,,
YER,YEM,1991-09-01,2025-03-31,,
YDD,YEM,1970-01-01,1991-09-01,1965-01-01,1996-06-11
YUD,not found,1970-01-01,1990-01-01,1966-01-01,1989-12-31
YUN,not found,1990-01-01,1995-11-01,1990-01-01,1992-06-30
YUM,not found,1995-11-01,2003-07-01,1994-01-24,2003-07-02
ZRZ,COD,1970-01-01,1994-02-01,1967-01-01,1993-01-01
ZRN,COD,1994-02-01,1999-06-01,1993-01-01,1997-01-01
ZMK,ZMB,1970-01-01,2012-12-01,1968-01-16,2013-01-01
ZMW,ZMB,2012-12-01,2025-03-31,,
ZWC,ZWE,1970-01-01,1989-12-01,1970-02-17,1980-01-01
ZWD,ZWE,1989-12-01,2006-08-01,1980-04-18,2006-07-31
ZWN,ZWE,2006-08-01,2006-09-01,2006-08-01,2008-07-31
ZWD,ZWE,2006-09-01,2008-08-01,1980-04-18,2006-07-31
ZWR,ZWE,2008-08-01,2009-06-01,2008-08-01,2009-02-02
ZWL,ZWE,2009-06-01,2024-09-01,2009-02-02,2024-09-01
ZWG,ZWE,2024-09-01,2025-03-31,,
XBA,not found,2013-11-01,2025-03-31,,
XFO,not found,1970-01-01,2006-10-01,1803-01-01,2003-01-01
XBB,not found,2013-11-01,2025-03-31,,
XRE,not found,1970-01-01,1999-11-01,,
XBC,not found,2013-11-01,2025-03-31,,
XBD,not found,2013-11-01,2025-03-31,,
XFU,not found,1970-01-01,2013-11-01,,2013-11-07
XTS,not found,2013-11-01,2025-03-31,,
XXX,not found,2013-11-01,2025-03-31,,
XAU,not found,2013-11-01,2025-03-31,,
XPD,not found,2013-11-01,2025-03-31,,
XPT,not found,2013-11-01,2025-03-31,,
XAG,not found,2013-11-01,2025-03-31,,
FIM,ALA,1970-01-01,2002-03-01,1860-01-01,1999-01-01
EUR,ALA,2002-03-01,2025-03-31,,
