" Monthly averaged odata for station ALT       
"
""
" /data/instrument/database_active//curves///alto_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the o concentration in per-meg units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
1989,  1,        0, 1989.0411,   -99.99,     0.00,    -115.69,   -86.50,    -115.69,   -86.50
1989,  2,        0, 1989.1260,   -99.99,     0.00,    -129.53,   -87.95,    -129.53,   -87.95
1989,  3,        0, 1989.2027,   -99.99,     0.00,    -139.28,   -89.26,    -139.28,   -89.26
1989,  4,        0, 1989.2877,   -99.99,     0.00,    -143.40,   -90.72,    -143.40,   -90.72
1989,  5,        0, 1989.3699,   -99.99,     0.00,    -136.36,   -92.12,    -136.36,   -92.12
1989,  6,        0, 1989.4548,   -99.99,     0.00,    -106.22,   -93.57,    -106.22,   -93.57
1989,  7,        0, 1989.5370,   -99.99,     0.00,     -57.23,   -94.97,     -57.23,   -94.97
1989,  8,        0, 1989.6219,   -99.99,     0.00,     -22.13,   -96.42,     -22.13,   -96.42
1989,  9,        0, 1989.7068,   -99.99,     0.00,     -27.59,   -97.87,     -27.59,   -97.87
1989, 10,        0, 1989.7890,   -99.99,     0.00,     -55.85,   -99.28,     -55.85,   -99.28
1989, 11,        0, 1989.8740,   -87.11,   -99.81,     -88.03,  -100.73,     -87.11,   -99.81
1989, 12,        0, 1989.9562,  -115.11,  -103.09,    -114.15,  -102.13,    -115.11,  -103.09
1990,  1,        0, 1990.0411,   -99.99,     0.00,    -132.77,  -103.58,    -132.77,  -103.58
1990,  2,        0, 1990.1260,   -99.99,     0.00,    -146.60,  -105.03,    -146.60,  -105.03
1990,  3,        0, 1990.2027,   -99.99,     0.00,    -156.36,  -106.34,    -156.36,  -106.34
1990,  4,        0, 1990.2877,   -99.99,     0.00,    -160.47,  -107.79,    -160.47,  -107.79
1990,  5,        0, 1990.3699,   -99.99,     0.00,    -153.43,  -109.19,    -153.43,  -109.19
1990,  6,        0, 1990.4548,   -99.99,     0.00,    -123.29,  -110.64,    -123.29,  -110.64
1990,  7,        0, 1990.5370,   -99.99,     0.00,     -74.30,  -112.04,     -74.30,  -112.04
1990,  8,        0, 1990.6219,   -99.99,     0.00,     -39.20,  -113.49,     -39.20,  -113.49
1990,  9,        0, 1990.7068,   -99.99,     0.00,     -44.65,  -114.94,     -44.65,  -114.94
1990, 10,        0, 1990.7890,   -99.99,     0.00,     -72.91,  -116.34,     -72.91,  -116.34
1990, 11,        0, 1990.8740,   -99.99,     0.00,    -105.09,  -117.79,    -105.09,  -117.79
1990, 12,        0, 1990.9562,   -99.99,     0.00,    -131.22,  -119.19,    -131.22,  -119.19
1991,  1,        0, 1991.0411,   -99.99,     0.00,    -149.83,  -120.64,    -149.83,  -120.64
1991,  2,        0, 1991.1260,   -99.99,     0.00,    -163.67,  -122.09,    -163.67,  -122.09
