#Frequency (Hz),ky (g),Displacement (m)
0.5,0.1,4.728716840240028
0.5,0.2,3.5657933911621567
0.5,0.4,1.866609013590884
0.5,0.6,0.7836109809999066
0.5,0.8,0.1866603961049732
0.5,1.0,-4.917536681596277e-17
1.0,0.1,1.182179210060007
1.0,0.2,0.8914483477905392
1.0,0.4,0.466652253397721
1.0,0.6,0.19590274524997664
1.0,0.8,0.0466650990262433
1.0,1.0,-1.2293841703990693e-17
2.0,0.1,0.29554480251500176
2.0,0.2,0.2228620869476348
2.0,0.4,0.11666306334943025
2.0,0.6,0.04897568631249416
2.0,0.8,0.011666274756560825
2.0,1.0,-3.0734604259976733e-18
3.0,0.1,0.13135324556222297
3.0,0.2,0.09904981642117101
3.0,0.4,0.051850250377524554
3.0,0.6,0.021766971694441847
3.0,0.8,0.005185011002915919
3.0,1.0,-1.560403617004661e-17
4.0,0.1,0.07388620062875044
4.0,0.2,0.0557155217369087
4.0,0.4,0.02916576583735756
4.0,0.6,0.01224392157812354
4.0,0.8,0.0029165686891402063
4.0,1.0,-7.683651064994183e-19
5.0,0.1,0.04728716840240027
5.0,0.2,0.03565793391162157
5.0,0.4,0.01866609013590884
5.0,0.6,0.007836109809999076
5.0,0.8,0.0018666039610497334
5.0,1.0,-4.158477432171996e-18
6.0,0.1,0.03283831139055574
6.0,0.2,0.024762454105292753
6.0,0.4,0.012962562594381138
6.0,0.6,0.005441742923610462
6.0,0.8,0.0012962527507289798
6.0,1.0,-3.901009042511652e-18
7.0,0.1,0.024126106327755237
7.0,0.2,0.018192823424296716
7.0,0.4,0.009523515375463695
7.0,0.6,0.003998015209183196
7.0,0.8,0.000952348959719253
7.0,1.0,0.0
8.0,0.1,0.01847155015718761
8.0,0.2,0.013928880434227174
8.0,0.4,0.00729144145933939
8.0,0.6,0.003060980394530885
8.0,0.8,0.0007291421722850516
8.0,1.0,-1.9209127662485458e-19
9.0,0.1,0.01459480506246922
9.0,0.2,0.01100553515790789
9.0,0.4,0.005761138930836063
9.0,0.6,0.002418552410493542
9.0,0.8,0.0005761123336573261
9.0,1.0,-3.5821231590287844e-19
10.0,0.1,0.011821792100600068
10.0,0.2,0.008914483477905393
10.0,0.4,0.00466652253397721
10.0,0.6,0.001959027452499769
10.0,0.8,0.00046665099026243335
10.0,1.0,-1.039619358042999e-18
