# Time Series: Northridge 1994 - PAC-175
# Time (s),Acceleration (g's)
0.0,-1.92569E-4
0.02,0.012464
0.04,0.00108628
0.06,0.00796358
0.08,0.00170126
0.1,0.00468732
0.12,-0.0041902
0.14,-0.00176303
0.16,-0.0252673
0.18,-0.0188141
0.2,-0.00122861
0.22,0.00909451
0.24,0.00128718
0.26,0.0116828
0.28,0.0156524
0.3,-0.0160065
0.32,0.0293293
0.34,0.00538679
0.36,0.0045432
0.38,-0.020508
0.4,0.0105846
0.42,-0.0212526
0.44,-0.0164952
0.46,0.0064865
0.48,-0.00597062
0.5,-0.0201107
0.52,-0.0435501
0.54,0.0332929
0.56,0.0278616
0.58,-0.00135293
0.6,-5.77396E-4
0.62,0.00852035
0.64,-6.94963E-4
0.66,-0.0104182
0.68,0.0127393
0.7,9.81237E-4
0.72,0.00204765
0.74,-1.51943E-4
0.76,-0.00494333
0.78,0.0150411
0.8,0.00968573
0.82,0.00913764
0.84,-0.00338625
0.86,-0.00252362
0.88,-0.00278093
0.9,0.00146714
0.92,-0.0195899
0.94,-0.0150052
0.96,-0.0150023
0.98,-0.0196404
1.0,0.0157668
1.02,-0.00908353
1.04,-0.00161309
1.06,0.0139878
1.08,0.0135309
1.1,0.00188353
1.12,-0.0340898
1.14,0.0226417
1.16,-0.0115853
1.18,0.00179832
1.2,-0.00725807
1.22,5.63505E-4
1.24,-0.013653
1.26,-0.0605901
1.28,0.0394763
1.3,0.0141561
1.32,0.0111475
1.34,-0.0361679
1.36,-0.00613157
1.38,0.0251308
1.4,0.00646019
1.42,-0.0133916
1.44,-0.00785963
1.46,-0.0306296
1.48,0.0255964
1.5,0.0348341
1.52,-0.0197445
1.54,-0.00513538
1.56,0.0256825
1.58,2.84195E-4
1.6,0.02691
1.62,0.00816717
1.64,-0.0125809
1.66,0.0156249
1.68,-0.0324959
1.7,0.0367324
1.72,-0.00555395
1.74,0.0130558
1.76,-0.0412603
1.78,-9.7452E-4
1.8,0.00650098
1.82,-0.0359402
1.84,-0.0174171
1.86,-0.0455905
1.88,0.0479353
1.9,-0.00421722
1.92,-0.0193223
1.94,0.0153414
1.96,0.0129435
1.98,0.0160098
2.0,-0.0177858
2.02,3.90822E-4
2.04,-0.0283199
2.06,-0.00270447
2.08,0.00845151
2.1,-0.0160752
2.12,0.028546
2.14,-0.00946599
2.16,0.00930335
2.18,-0.0111698
2.2,0.00234868
2.22,-0.0025194
2.24,-0.0426999
2.26,-0.0169434
2.28,-0.019289
2.3,0.0107311
2.32,0.0191854
2.34,-0.003197
2.36,-0.0412965
2.38,-0.00325814
2.4,0.0227473
2.42,0.0230366
2.44,-0.00167641
2.46,-0.00473374
2.48,0.0129098
2.5,0.00155791
2.52,0.0205592
2.54,0.00157459
2.56,0.00555229
2.58,-0.02551
2.6,-0.0240313
2.62,0.0179578
2.64,-0.00963754
2.66,-0.00744373
2.68,-0.0056987
2.7,0.017702
2.72,-0.0023014
2.74,0.00470076
2.76,-0.00868278
2.78,-0.0164716
2.8,0.0267427
2.82,0.00891402
2.84,0.0149554
2.86,0.0253992
2.88,0.0125992
2.9,0.0160121
2.92,0.010191
2.94,0.0342018
2.96,-0.00411239
2.98,-0.00883288
3.0,-0.021749
3.02,-0.0501335
3.04,-0.0373263
3.06,-0.0539317
3.08,-0.0401912
3.1,-0.0576361
3.12,-0.0235628
3.14,-0.018382
3.16,-0.0243365
3.18,-0.00200649
3.2,0.0659717
3.22,0.129942
3.24,0.202341
3.26,0.212158
3.28,0.250753
3.3,0.325605
3.32,0.331575
3.34,0.324638
3.36,0.353203
3.38,0.325111
3.4,0.18937
3.42,-0.0747368
3.44,-0.289485
3.46,-0.270352
3.48,-0.271661
3.5,-0.343017
3.52,-0.359965
3.54,-0.415325
3.56,-0.385616
3.58,-0.306152
3.6,-0.246007
3.62,-0.247114
3.64,-0.0462887
3.66,0.339997
3.68,0.25959
3.7,0.23053
3.72,0.231325
3.74,0.168796
3.76,0.184531
3.78,0.157523
3.8,-0.0787586
3.82,-0.174803
3.84,0.0167321
3.86,-0.0714891
3.88,-0.151021
3.9,-0.0783482
3.92,-0.0578638
3.94,-0.0493093
3.96,0.0103635
3.98,-0.0126368
4.0,-0.109829
4.02,-0.129739
4.04,-0.165638
4.06,-0.097619
4.08,-0.0628984
4.1,-0.0966821
4.12,0.0291776
4.14,0.111615
4.16,0.138247
4.18,0.12677
4.2,0.133214
4.22,0.140211
4.24,0.146884
4.26,0.145489
4.28,0.133365
4.3,0.144975
4.32,0.1016
4.34,-0.067531
4.36,-0.13693
4.38,-0.0949069
4.4,-0.0818397
4.42,-0.0649332
4.44,-0.105347
4.46,-0.0546945
4.48,-0.0489213
4.5,-0.0688256
4.52,-0.0563734
4.54,-0.0893143
4.56,-0.0866378
4.58,0.0217781
4.6,0.0756923
4.62,0.0777354
4.64,0.049763
4.66,0.00678227
4.68,-0.00285053
4.7,-0.0525785
4.72,-0.0486881
4.74,-0.044353
4.76,-0.0224097
4.78,-0.0248392
4.8,-0.0132835
4.82,0.0256307
4.84,0.00456478
4.86,-0.00715079
4.88,0.0347377
4.9,0.0219685
4.92,0.00376166
4.94,0.0431124
4.96,0.0215896
4.98,0.0141866
5.0,-0.0317652
