# Time Series: Nahanni, Canada 1985 - NS1-280
# Time (s),Acceleration (g's)
0.0,0.00711627
0.005,0.00833781
0.01,0.00848158
0.015,0.0065992
0.02,0.00662123
0.025,0.00657191
0.03,0.00653416
0.035,0.00650322
0.04,0.00648301
0.045,0.00647843
0.05,0.00648837
0.055,0.00650177
0.06,0.00650982
0.065,0.00652005
0.07,0.00653444
0.075,0.00653941
0.08,0.00653444
0.085,0.00652631
0.09,0.00649791
0.095,0.00641769
0.1,0.00619841
0.105,0.00588259
0.11,0.00575229
0.115,0.00585373
0.12,0.00606218
0.125,0.00636014
0.13,0.00660472
0.135,0.00669813
0.14,0.00669611
0.145,0.00656591
0.15,0.00626516
0.155,0.00597191
0.16,0.00585519
0.165,0.00587728
0.17,0.00607499
0.175,0.00638676
0.18,0.00653578
0.185,0.00645976
0.19,0.00624842
0.195,0.00572329
0.2,0.00496125
0.205,0.00457377
0.21,0.00480791
0.215,0.00555038
0.22,0.00657848
0.225,0.00740967
0.23,0.00780032
0.235,0.00788762
0.24,0.0077429
0.245,0.00732653
0.25,0.00670496
0.255,0.00618839
0.26,0.00619872
0.265,0.006658
0.27,0.00690156
0.275,0.00660982
0.28,0.00610004
0.285,0.00572673
0.29,0.00556719
0.295,0.00541097
0.3,0.00494596
0.305,0.00421997
0.31,0.00390753
0.315,0.00469487
0.32,0.00609307
0.325,0.0070393
0.33,0.00773366
0.335,0.00849287
0.34,0.0086206
0.345,0.00811669
0.35,0.00736147
0.355,0.0062316
0.36,0.00528447
0.365,0.00507839
0.37,0.00534229
0.375,0.0059052
0.38,0.00662069
0.385,0.00747073
0.39,0.00858875
0.395,0.00942852
0.4,0.00945715
0.405,0.00882079
0.41,0.00710253
0.415,0.00442669
0.42,0.00273143
0.425,0.00268686
0.43,0.00329861
0.435,0.00424449
0.44,0.00531933
0.445,0.00612335
0.45,0.00665433
0.455,0.00688702
0.46,0.006914
0.465,0.00714857
0.47,0.00760835
0.475,0.00774717
0.48,0.00713726
0.485,0.00579485
0.49,0.00378924
0.495,0.00165417
0.5,0.00155819
0.505,0.00402057
0.51,0.00603702
0.515,0.00720805
0.52,0.00940937
0.525,0.0130674
0.53,0.0167873
0.535,0.0177659
0.54,0.0164327
0.545,0.0146209
0.55,0.0110808
0.555,0.00510744
0.56,-4.87496E-4
0.565,-0.00317092
0.57,-0.00238873
0.575,0.00449345
0.58,0.0154753
0.585,0.019962
0.59,0.0172098
0.595,0.0152923
0.6,0.0104106
0.605,6.35066E-4
0.61,-0.00357131
0.615,-0.00190268
0.62,6.83202E-4
0.625,0.00904696
0.63,0.0202763
0.635,0.0251623
0.64,0.0260172
0.645,0.0258751
0.65,0.0215895
0.655,0.0102248
0.66,-0.00417991
0.665,-0.0110328
0.67,-0.00994307
0.675,-0.00643733
0.68,0.00287328
0.685,0.017024
0.69,0.0256035
0.695,0.0267243
0.7,0.0275134
0.705,0.0291713
0.71,0.0289295
0.715,0.0260528
0.72,0.0191725
0.725,0.00888102
0.73,6.6888E-4
0.735,-0.00106019
0.74,0.00273718
0.745,0.0121734
0.75,0.0232806
0.755,0.0260499
0.76,0.0223879
0.765,0.0177123
0.77,0.0100638
0.775,0.00618071
0.78,0.011121
0.785,0.0165135
0.79,0.0199277
0.795,0.0251823
0.8,0.0297954
0.805,0.0297356
0.81,0.0250983
0.815,0.0174326
0.82,0.00934876
0.825,0.00451817
0.83,0.00380651
0.835,0.00596451
0.84,0.0121501
0.845,0.0252457
0.85,0.0392933
0.855,0.0420733
0.86,0.0360457
0.865,0.0297044
0.87,0.0204794
0.875,0.0105276
0.88,0.00544267
0.885,0.00229619
0.89,0.00171374
0.895,0.00581776
0.9,0.0108286
0.905,0.0142332
0.91,0.0161997
0.915,0.0174441
0.92,0.0182634
0.925,0.0186269
0.93,0.0184214
0.935,0.0168474
0.94,0.0131198
0.945,0.00755679
0.95,0.00478608
0.955,0.00932477
0.96,0.0191024
0.965,0.0301471
0.97,0.0371346
0.975,0.0368612
0.98,0.0318944
0.985,0.0196818
0.99,0.00544275
0.995,0.00382513
1.0,0.00749656
1.005,0.00660959
1.01,0.0109064
1.015,0.0250457
1.02,0.0378188
1.025,0.0389815
1.03,0.0347383
1.035,0.0280539
1.04,0.0110782
1.045,-0.00751952
1.05,-0.0134519
1.055,-0.00967638
1.06,-4.62669E-4
1.065,0.0161849
1.07,0.0290237
1.075,0.0278693
1.08,0.0261631
1.085,0.0308145
1.09,0.032516
1.095,0.0247905
1.1,0.00637074
1.105,-0.00872671
1.11,-0.00809574
1.115,-0.00380334
1.12,-0.00100333
1.125,0.00982977
1.13,0.0256416
1.135,0.0353434
1.14,0.0376551
1.145,0.0391966
1.15,0.0393064
1.155,0.0332154
1.16,0.0246268
1.165,0.020746
1.17,0.0220755
1.175,0.0238999
1.18,0.0245492
1.185,0.0242086
1.19,0.0222121
1.195,0.0204944
1.2,0.021976
1.205,0.0267904
1.21,0.0308298
1.215,0.0298235
1.22,0.019133
1.225,-0.0083612
1.23,-0.0357982
1.235,-0.036187
1.24,-0.0240562
1.245,-0.0202222
1.25,-0.0177494
1.255,-0.016673
1.26,-0.023537
1.265,-0.0405975
1.27,-0.0651902
1.275,-0.0809585
1.28,-0.0822771
1.285,-0.0841686
1.29,-0.0916502
1.295,-0.100117
1.3,-0.114797
1.305,-0.13572
1.31,-0.149366
1.315,-0.152904
1.32,-0.156467
1.325,-0.159505
1.33,-0.155456
1.335,-0.149323
1.34,-0.149389
1.345,-0.156733
1.35,-0.175225
1.355,-0.200722
1.36,-0.210473
1.365,-0.210378
1.37,-0.199654
1.375,-0.1552
1.38,-0.128384
1.385,-0.144598
1.39,-0.14196
1.395,-0.119104
1.4,-0.113969
1.405,-0.11802
1.41,-0.115983
1.415,-0.10926
1.42,-0.101179
1.425,-0.0972366
1.43,-0.100462
1.435,-0.110872
1.44,-0.127887
1.445,-0.143981
1.45,-0.154318
1.455,-0.163396
1.46,-0.173915
1.465,-0.185349
1.47,-0.198085
1.475,-0.210167
1.48,-0.219142
1.485,-0.22549
1.49,-0.230069
1.495,-0.230547
1.5,-0.217765
1.505,-0.19156
1.51,-0.174021
1.515,-0.175578
1.52,-0.1792
1.525,-0.174243
1.53,-0.159833
1.535,-0.133841
1.54,-0.111731
1.545,-0.110031
1.55,-0.114826
1.555,-0.11253
1.56,-0.107082
1.565,-0.0927682
1.57,-0.0647501
1.575,-0.0345324
1.58,-0.00739239
1.585,0.0155692
1.59,0.0288375
1.595,0.0376115
1.6,0.0476499
1.605,0.056671
1.61,0.0640973
1.615,0.0711434
1.62,0.0801203
1.625,0.0915206
1.63,0.102484
1.635,0.112266
1.64,0.119972
1.645,0.124873
1.65,0.128941
1.655,0.131371
1.66,0.131099
1.665,0.128844
1.67,0.12442
1.675,0.119191
1.68,0.117875
1.685,0.122471
1.69,0.128656
1.695,0.133565
1.7,0.140686
1.705,0.158083
1.71,0.185374
1.715,0.208433
1.72,0.216695
1.725,0.21476
1.73,0.20759
1.735,0.180993
1.74,0.136453
1.745,0.0991647
1.75,0.0714697
1.755,0.0431167
1.76,0.013215
1.765,-0.0165719
1.77,-0.0429659
1.775,-0.0640268
1.78,-0.0836648
1.785,-0.0998134
1.79,-0.103428
1.795,-0.0891689
1.8,-0.0508626
1.805,-0.00226533
1.81,0.028044
1.815,0.0498307
1.82,0.0869685
1.825,0.132349
1.83,0.165275
1.835,0.177041
1.84,0.175312
1.845,0.151588
1.85,0.113596
1.855,0.106262
1.86,0.120681
1.865,0.124288
1.87,0.133038
1.875,0.158762
1.88,0.190924
1.885,0.229423
1.89,0.267947
1.895,0.288361
1.9,0.294447
1.905,0.27797
1.91,0.205048
