# Time Series: Mammoth Lakes-1 1980 - CVK-090
# Time (s),Acceleration (g's)
0.0,-9.81237E-5
0.005,-1.15044E-4
0.01,-8.23472E-5
0.015,-1.82978E-5
0.02,-2.06383E-5
0.025,1.39218E-6
0.03,1.61489E-5
0.035,9.96047E-6
0.04,8.1173E-6
0.045,2.54752E-5
0.05,5.32629E-5
0.055,7.24285E-5
0.06,6.33408E-5
0.065,6.2517E-6
0.07,-6.95092E-5
0.075,-1.25059E-4
0.08,-1.82217E-4
0.085,-2.38263E-4
0.09,-2.16188E-4
0.095,-1.23004E-4
0.1,-5.38887E-5
0.105,-5.83078E-5
0.11,-1.6993E-4
0.115,-3.58262E-4
0.12,-4.86408E-4
0.125,-4.35315E-4
0.13,-2.10174E-4
0.135,5.45443E-5
0.14,1.99183E-4
0.145,2.19332E-4
0.15,2.28011E-4
0.155,2.75606E-4
0.16,2.07966E-4
0.165,-1.49021E-4
0.17,-6.00718E-4
0.175,-7.8286E-4
0.18,-4.43263E-4
0.185,2.54933E-4
0.19,8.00034E-4
0.195,8.13959E-4
0.2,1.43646E-4
0.205,-8.64173E-4
0.21,-0.00166141
0.215,-0.00169231
0.22,-6.02429E-4
0.225,9.94372E-4
0.23,0.00218644
0.235,0.00232453
0.24,0.00112749
0.245,-5.44456E-4
0.25,-0.00164228
0.255,-0.00178419
0.26,-7.21731E-4
0.265,0.00100896
0.27,0.00241192
0.275,0.00304855
0.28,0.00262088
0.285,0.00102297
0.29,-0.00104994
0.295,-0.00276376
0.3,-0.00356146
0.305,-0.00243814
0.31,3.89787E-5
0.315,0.00183778
0.32,0.00242387
0.325,0.00127424
0.33,-8.78673E-4
0.335,-0.00190514
0.34,-0.00255095
0.345,-0.00266045
0.35,-8.03039E-4
0.355,0.0010792
0.36,0.00245325
0.365,0.00378777
0.37,0.0024947
0.375,-7.94699E-4
0.38,-0.00274121
0.385,-0.0031228
0.39,-0.00130765
0.395,0.00340149
0.4,0.00720014
0.405,0.00630973
0.41,0.00183513
0.415,-0.00297968
0.42,-0.00623277
0.425,-0.00710794
0.43,-0.00504111
0.435,-8.26789E-4
0.44,0.00445881
0.445,0.00870392
0.45,0.00704922
0.455,-4.52471E-4
0.46,-0.00677149
0.465,-0.00789813
0.47,-0.00517103
0.475,9.00178E-4
0.48,0.00921012
0.485,0.0141864
0.49,0.0126477
0.495,0.00579151
0.5,-0.00422959
0.505,-0.012535
0.51,-0.0139711
0.515,-0.00803105
0.52,6.47496E-4
0.525,0.00741343
0.53,0.00921031
0.535,0.00483386
0.54,-9.70494E-5
0.545,-0.00223723
0.55,-0.00627572
0.555,-0.011055
0.56,-0.00973998
0.565,-0.00298465
0.57,0.00205311
0.575,0.00233454
0.58,0.00142444
0.585,0.00265021
0.59,0.00599436
0.595,0.00989904
0.6,0.0114121
0.605,0.00952606
0.61,0.00658031
0.615,0.00413596
0.62,0.00340004
0.625,0.00446433
0.63,0.00606632
0.635,0.00780618
0.64,0.0093481
0.645,0.00969372
0.65,0.00609663
0.655,-0.00273481
0.66,-0.0142065
0.665,-0.0232229
0.67,-0.0250183
0.675,-0.0200393
0.68,-0.0114129
0.685,7.36889E-4
0.69,0.0138056
0.695,0.0165623
0.7,0.00567457
0.705,-0.00650808
0.71,-0.0128161
0.715,-0.0131115
0.72,-0.00516967
0.725,0.00862585
0.73,0.0220372
0.735,0.0299841
0.74,0.0288602
0.745,0.0184965
0.75,0.004673
0.755,-0.00394311
0.76,-0.00775429
0.765,-0.00855108
0.77,6.39071E-5
0.775,0.0144589
0.78,0.0203231
0.785,0.0114745
0.79,-0.00432367
0.795,-0.0167016
0.8,-0.0250205
0.805,-0.0332921
0.81,-0.0377149
0.815,-0.0290477
0.82,-0.0102234
0.825,0.00862113
0.83,0.0228164
0.835,0.0279384
0.84,0.0216582
0.845,0.0070665
0.85,-0.0106845
0.855,-0.0228204
0.86,-0.0204406
0.865,-0.00790042
0.87,0.00449172
0.875,0.013479
0.88,0.0223373
0.885,0.0342862
0.89,0.0368404
0.895,0.0184725
0.9,-0.0106897
0.905,-0.036249
0.91,-0.0496832
0.915,-0.0474609
0.92,-0.0311441
0.925,-0.00466621
0.93,0.0237019
0.935,0.0329985
0.94,0.0107413
0.945,-0.0210747
0.95,-0.0368772
0.955,-0.0325547
0.96,-0.0152532
0.965,0.00476305
0.97,0.0232308
0.975,0.03541
0.98,0.0323008
0.985,0.0189401
0.99,0.00771845
0.995,0.00114542
1.0,-7.63042E-4
1.005,0.00384321
1.01,0.0122716
1.015,0.0186735
1.02,0.0196682
1.025,0.0119075
1.03,-0.00575652
1.035,-0.0218703
1.04,-0.0280195
1.045,-0.0303928
1.05,-0.0311023
1.055,-0.0267627
1.06,-0.0179432
1.065,-0.0105946
1.07,-0.0101279
1.075,-0.0140269
1.08,-0.0141955
1.085,-0.00512348
1.09,0.00782421
1.095,0.0153009
1.1,0.0119865
1.105,-7.64023E-4
1.11,-0.0134106
1.115,-0.0229229
1.12,-0.0307096
1.125,-0.0275407
1.13,-0.00962753
1.135,0.00921556
1.14,0.0193099
1.145,0.0283143
1.15,0.0427603
1.155,0.0597303
1.16,0.075689
1.165,0.0841591
1.17,0.0817035
1.175,0.0761601
1.18,0.0742708
1.185,0.0744077
1.19,0.0752523
1.195,0.0793571
1.2,0.0868515
1.205,0.0950991
1.21,0.102144
1.215,0.102661
1.22,0.0930489
1.225,0.0784765
1.23,0.0628345
1.235,0.0499302
1.24,0.0452017
1.245,0.0428409
1.25,0.033577
1.255,0.0130689
1.26,-0.0207251
1.265,-0.0638544
1.27,-0.10362
1.275,-0.134755
1.28,-0.16431
1.285,-0.191893
1.29,-0.215034
1.295,-0.239987
1.3,-0.266654
1.305,-0.281267
1.31,-0.27997
1.315,-0.266657
1.32,-0.24231
1.325,-0.218206
1.33,-0.20157
1.335,-0.178117
1.34,-0.130146
1.345,-0.0255723
1.35,0.145687
1.355,0.269945
1.36,0.27013
1.365,0.24966
1.37,0.270472
1.375,0.278959
1.38,0.248446
1.385,0.192593
1.39,0.117276
1.395,0.0453943
1.4,0.0232013
1.405,0.0310493
1.41,0.0186882
1.415,0.00375256
1.42,0.00458653
1.425,-0.0020539
1.43,-0.0245779
1.435,-0.0503557
1.44,-0.0723785
1.445,-0.0952434
1.45,-0.124636
1.455,-0.161584
1.46,-0.203929
1.465,-0.234568
1.47,-0.238912
1.475,-0.224395
1.48,-0.191481
1.485,-0.128791
1.49,-0.0394085
1.495,0.0476935
1.5,0.103142
1.505,0.137478
1.51,0.167004
1.515,0.17965
1.52,0.168487
1.525,0.130527
1.53,0.0554014
1.535,-0.0268637
1.54,-0.0735992
1.545,-0.104832
1.55,-0.133377
1.555,-0.132944
1.56,-0.109969
1.565,-0.0891637
1.57,-0.071963
1.575,-0.0515724
1.58,-0.0254324
1.585,0.00792718
1.59,0.0453275
1.595,0.0842142
1.6,0.125467
1.605,0.166558
1.61,0.199832
1.615,0.224403
1.62,0.242823
1.625,0.239859
1.63,0.211928
1.635,0.185936
1.64,0.171965
1.645,0.164227
1.65,0.165385
1.655,0.16771
1.66,0.152322
1.665,0.114976
1.67,0.0681267
1.675,0.0208323
1.68,-0.0285391
1.685,-0.0872076
1.69,-0.146531
1.695,-0.190594
1.7,-0.229248
1.705,-0.269336
1.71,-0.296476
1.715,-0.302804
1.72,-0.283756
1.725,-0.23756
1.73,-0.174254
1.735,-0.113944
1.74,-0.0671496
1.745,-0.00218316
1.75,0.0861229
1.755,0.141928
1.76,0.150616
1.765,0.150387
1.77,0.15981
1.775,0.16014
1.78,0.127737
1.785,0.0676087
1.79,0.0171326
1.795,0.00396624
1.8,0.0201071
1.805,0.0570991
1.81,0.104336
1.815,0.126767
1.82,0.110853
1.825,0.0813339
1.83,0.0477826
1.835,0.00349501
1.84,-0.0452351
1.845,-0.0850715
1.85,-0.0987963
1.855,-0.0784537
1.86,-0.0488153
1.865,-0.0378569
1.87,-0.0407881
1.875,-0.0486294
1.88,-0.0665661
1.885,-0.0903639
1.89,-0.109426
1.895,-0.118672
1.9,-0.110655
1.905,-0.0830793
1.91,-0.0369297
1.915,0.0326762
1.92,0.110979
1.925,0.157373
1.93,0.154493
1.935,0.133499
1.94,0.116116
1.945,0.0746169
1.95,0.0128409
1.955,-0.0325133
1.96,-0.0613913
1.965,-0.0769144
1.97,-0.0857165
1.975,-0.0898856
1.98,-0.0789206
1.985,-0.0666623
1.99,-0.062845
1.995,-0.0576609
2.0,-0.0494782
2.005,-0.0400506
2.01,-0.0252902
2.015,-0.0063024
2.02,0.0110748
2.025,0.0218882
2.03,0.0267427
2.035,0.0320266
2.04,0.0417958
2.045,0.0563599
2.05,0.0718087
2.055,0.0858758
2.06,0.10024
2.065,0.104276
2.07,0.0880551
2.075,0.0587811
2.08,0.0174334
2.085,-0.029014
2.09,-0.0598164
2.095,-0.0811597
2.1,-0.103436
2.105,-0.114081
2.11,-0.107712
2.115,-0.0850595
2.12,-0.0451749
2.125,-6.59355E-4
2.13,0.0294165
2.135,0.0424333
2.14,0.0495072
2.145,0.0483881
2.15,0.0266464
2.155,-0.0129671
2.16,-0.051629
2.165,-0.0705097
2.17,-0.0739992
2.175,-0.0722639
2.18,-0.0519406
2.185,-0.00739384
