# Time Series: Coyote Lake 1979 - G02-050,
# Time (s),Acceleration (g's)
0,-2.44E-04
0.005,-2.98E-04
0.01,-2.36E-04
0.015,-6.52E-05
0.02,1.87E-04
0.025,4.37E-04
0.03,6.00E-04
0.035,5.71E-04
0.04,4.36E-04
0.045,3.02E-04
0.05,2.56E-04
0.055,2.81E-04
0.06,3.98E-04
0.065,5.67E-04
0.07,7.42E-04
0.075,8.46E-04
0.08,8.33E-04
0.085,5.88E-04
0.09,1.59E-04
0.095,-3.94E-04
0.1,-9.38E-04
0.105,-0.00114448
0.11,-7.91E-04
0.115,-1.44E-04
0.12,5.98E-04
0.125,0.00135964
0.13,0.00190618
0.135,0.00198618
0.14,0.0016671
0.145,0.00102442
0.15,2.17E-04
0.155,-6.54E-04
0.16,-0.00132793
0.165,-0.00168515
0.17,-0.00152745
0.175,-0.00111684
0.18,-7.46E-04
0.185,-5.17E-04
0.19,-3.75E-04
0.195,-1.77E-04
0.2,1.18E-04
0.205,3.84E-04
0.21,5.21E-04
0.215,4.85E-04
0.22,2.88E-04
0.225,-2.17E-05
0.23,-2.40E-04
0.235,-1.97E-04
0.24,2.26E-04
0.245,0.00120251
0.25,0.00266374
0.255,0.00379834
0.26,0.00440886
0.265,0.00423689
0.27,0.00362773
0.275,0.00314724
0.28,0.00304855
0.285,0.00318011
0.29,0.00342603
0.295,0.00366435
0.3,0.00373915
0.305,0.00345257
0.31,0.00277032
0.315,0.00194362
0.32,0.00147419
0.325,0.00175004
0.33,0.00273039
0.335,0.0040202
0.34,0.00449402
0.345,0.00392631
0.35,0.00210085
0.355,-0.00119766
0.36,-0.00456156
0.365,-0.00626397
0.37,-0.00574312
0.375,-0.00432179
0.38,-0.00297127
0.385,-0.00212145
0.39,-0.00177753
0.395,-0.00216303
0.4,-0.002975
0.405,-0.00387952
0.41,-0.00455819
0.415,-0.00479947
0.42,-0.00459858
0.425,-0.0042431
0.43,-0.00432102
0.435,-0.0049634
0.44,-0.0060293
0.445,-0.00639685
0.45,-0.0051914
0.455,-0.0011491
0.46,0.00688072
0.465,0.0163782
0.47,0.0217887
0.475,0.0206173
0.48,0.0130803
0.485,0.00269388
0.49,-0.00514469
0.495,-0.00818711
0.5,-0.00675823
0.505,-0.00192641
0.51,0.00456585
0.515,0.0113156
0.52,0.0153862
0.525,0.0153585
0.53,0.0119502
0.535,0.00607303
0.54,1.80E-04
0.545,-0.0023578
0.55,-2.76E-04
0.555,0.00357415
0.56,0.0065462
0.565,0.00798775
0.57,0.00737803
0.575,0.00527242
0.58,0.00204734
0.585,-0.00259998
0.59,-0.00764233
0.595,-0.0117094
0.6,-0.0149484
0.605,-0.0182255
0.61,-0.0215402
0.615,-0.0241104
0.62,-0.0251042
0.625,-0.0233539
0.63,-0.016797
0.635,-0.00797715
0.64,-1.70E-04
0.645,0.00664469
0.65,0.00875282
0.655,0.00750517
0.66,0.00620416
0.665,0.00564362
0.67,0.00643641
0.675,0.00806856
0.68,0.0101794
0.685,0.0111873
0.69,0.0106701
0.695,0.00769535
0.7,0.00369016
0.705,8.68E-04
0.71,2.19E-04
0.715,5.15E-04
0.72,-0.0012134
0.725,-0.00527399
0.73,-0.0100592
0.735,-0.0128169
0.74,-0.0132937
0.745,-0.0127134
0.75,-0.0126726
0.755,-0.0140147
0.76,-0.0150284
0.765,-0.0142372
0.77,-0.00912827
0.775,-7.26E-04
0.78,0.0055699
0.785,0.00537193
0.79,-0.00238919
0.795,-0.016072
