# Time Series: Duzce, Turkey 1999 - 375-090
# Time (s),Acceleration (g's)
0.0,-9.69667E-5
0.01,-1.24713E-4
0.02,-1.1245E-4
0.03,-9.46719E-5
0.04,-1.20904E-4
0.05,-1.04311E-4
0.06,-1.13836E-4
0.07,-1.18507E-4
0.08,-1.187E-4
0.09,-1.1416E-4
0.1,-9.32972E-5
0.11,-1.48333E-4
0.12,-1.29516E-4
0.13,-9.7821E-5
0.14,-1.23971E-4
0.15,-1.02784E-4
0.16,-1.00222E-4
0.17,-9.91728E-5
0.18,-1.07223E-4
0.19,-9.24395E-5
0.2,-1.23407E-4
0.21,-1.33814E-4
0.22,-1.02048E-4
0.23,-1.91748E-4
0.24,-2.52179E-4
0.25,-3.26754E-4
0.26,-4.79718E-4
0.27,-6.12826E-4
0.28,-7.43227E-4
0.29,-8.67753E-4
0.3,-8.74592E-4
0.31,-7.3175E-4
0.32,-5.09991E-4
0.33,-6.59237E-5
0.34,2.97312E-4
0.35,3.14927E-4
0.36,1.99491E-4
0.37,-1.16602E-4
0.38,-9.38587E-4
0.39,-0.00162527
0.4,-0.00143311
0.41,-0.001627
0.42,-0.00161431
0.43,-8.09916E-4
0.44,1.62778E-4
0.45,5.19796E-4
0.46,-0.00147183
0.47,-0.00146201
0.48,9.26597E-4
0.49,-9.34088E-4
0.5,-0.0058526
0.51,-0.00504033
0.52,1.08142E-4
0.53,-0.00408969
0.54,-0.0114862
0.55,-0.00562487
0.56,0.00510232
0.57,0.00382563
0.58,-0.00220818
0.59,0.00182287
0.6,0.00759169
0.61,7.46931E-4
0.62,-0.00636666
0.63,-5.52827E-4
0.64,-0.00178412
0.65,-0.00639376
0.66,-0.00954077
0.67,-0.0114866
0.68,0.00634989
0.69,0.00896317
0.7,-0.00405686
0.71,-0.0141281
0.72,-0.0198437
0.73,-0.00263985
0.74,-0.00129769
0.75,-0.0207144
0.76,-0.0340901
0.77,-0.0205432
0.78,0.015502
0.79,0.0205541
0.8,0.0016016
0.81,0.0108644
0.82,0.047965
0.83,0.0415754
0.84,-0.00295998
0.85,-0.0137744
0.86,0.00911357
0.87,0.0297738
0.88,0.0205914
0.89,-0.00182606
0.9,-0.0239613
0.91,-0.0255314
0.92,0.0180773
0.93,0.0169298
0.94,-0.0245163
0.95,-0.0161718
0.96,-0.0125626
0.97,-0.019948
0.98,-0.0273528
0.99,-0.0411888
1.0,-0.00646799
1.01,0.0642704
1.02,0.0824831
1.03,0.00131736
1.04,-0.0249816
1.05,0.00932489
1.06,-6.18311E-4
1.07,0.0186586
1.08,-0.00412113
1.09,-0.058979
1.1,-0.0475829
1.11,-0.0254949
1.12,-0.0190196
1.13,-0.00175895
1.14,0.0144177
1.15,0.0218282
1.16,0.053761
1.17,0.0396221
1.18,-0.0187742
1.19,-0.0361801
1.2,-0.025037
1.21,0.00571935
1.22,0.0075129
1.23,-0.0126749
1.24,0.0143886
1.25,0.0415003
1.26,0.050074
1.27,0.0613286
1.28,0.0453498
1.29,0.0273415
1.3,0.00614468
1.31,-0.011192
1.32,-0.0102218
1.33,-0.0304263
1.34,-0.0521898
1.35,-0.010704
1.36,0.0216482
1.37,0.00938143
1.38,0.00708003
1.39,-0.0156243
1.4,-0.0375747
1.41,-0.0382836
1.42,-0.0462989
1.43,-0.0753765
1.44,-0.0706686
1.45,0.00391531
1.46,0.067965
1.47,0.0910292
1.48,0.0859794
1.49,0.0618001
1.5,0.0370354
1.51,0.0379263
1.52,0.0237893
1.53,-0.00611542
1.54,0.00856663
1.55,-0.0121513
1.56,-0.0598787
1.57,-0.0655651
1.58,-0.0712992
1.59,-0.0659952
1.6,-0.0373653
1.61,-0.00558188
1.62,0.0169466
1.63,0.00317745
1.64,-0.0215006
1.65,-0.0153444
1.66,-0.00480998
1.67,0.00154631
1.68,0.0103541
1.69,0.00654653
1.7,-0.00914387
1.71,-0.0220949
1.72,0.0153147
1.73,0.0538726
1.74,0.040258
1.75,0.0247102
1.76,-0.00176512
1.77,-0.0191193
1.78,-0.0203867
1.79,-0.0469983
1.8,-0.0475054
1.81,-0.0186671
1.82,-0.0170822
1.83,-0.0190223
1.84,-0.0217078
1.85,-0.0138607
1.86,0.0470378
1.87,0.0751535
1.88,0.0530512
1.89,0.0489929
1.9,0.0347868
1.91,0.0111113
1.92,-0.0182285
1.93,-0.0380805
1.94,-0.0208193
1.95,0.0158358
1.96,0.0344016
1.97,7.54823E-4
1.98,-0.0311056
1.99,-0.0267217
2.0,-0.0133265
2.01,-0.00519002
2.02,-0.0217335
2.03,-0.0385573
2.04,-0.0141899
2.05,0.00914946
2.06,0.00687875
2.07,0.0102519
2.08,0.0205004
2.09,0.0335359
2.1,0.0216578
2.11,-0.021732
2.12,-0.0376647
2.13,0.0124746
2.14,0.0701531
2.15,0.0592134
2.16,0.00952071
2.17,-0.0281022
2.18,-0.0367256
2.19,-0.0242164
2.2,-0.0322477
2.21,-0.0276446
2.22,0.018022
2.23,0.0386247
2.24,0.0154369
2.25,-0.0134455
2.26,-0.0292076
2.27,-0.0283839
2.28,-0.014524
2.29,-0.00935016
2.3,-5.39772E-4
2.31,0.0355353
2.32,0.0533684
2.33,0.0283976
2.34,0.0153323
2.35,0.0122069
2.36,-0.00619332
2.37,-0.00791977
2.38,5.75345E-4
2.39,0.00771419
2.4,-0.00461296
2.41,-0.0222794
2.42,-0.0102548
2.43,-0.0183783
2.44,-0.0472732
2.45,-0.0444856
2.46,0.0033953
2.47,0.0498522
2.48,0.0595646
2.49,0.0462744
2.5,0.0162519
2.51,0.0078476
2.52,0.0300487
2.53,0.0512149
2.54,0.0478298
2.55,0.0355484
2.56,0.0350914
2.57,0.019941
2.58,-2.13931E-4
2.59,-0.0275916
2.6,-0.0410304
2.61,-0.0110009
2.62,-0.00178098
2.63,-0.0177298
2.64,-0.0235894
2.65,-0.024334
2.66,-0.018016
2.67,0.00332668
2.68,0.0414987
2.69,0.048848
2.7,0.0218567
2.71,0.00405064
2.72,-0.0105106
2.73,-0.0285797
2.74,-0.0111919
2.75,0.00729368
2.76,0.00564816
2.77,-0.00296223
2.78,-0.00523301
2.79,0.00700676
2.8,-0.0168061
2.81,-0.0441535
2.82,-0.0542446
2.83,-0.0425267
2.84,-0.0011774
2.85,0.0133299
2.86,0.0222877
2.87,0.0330021
2.88,0.0479984
2.89,0.0541986
2.9,0.035738
2.91,0.0221484
2.92,0.00319913
2.93,0.00354177
2.94,-0.00185377
2.95,-0.0471945
2.96,-0.064042
2.97,-0.0411617
2.98,-0.0229265
2.99,6.53673E-4
3.0,0.0121401
3.01,0.00376515
3.02,0.00333151
3.03,-0.00718134
3.04,-0.0284536
3.05,-0.0447158
3.06,-0.0353797
3.07,-0.0191928
3.08,-0.0124346
3.09,0.00284366
3.1,0.0133727
3.11,0.0185534
3.12,0.0248488
3.13,0.035532
3.14,0.0342656
3.15,0.0305732
3.16,0.0362797
3.17,0.0185752
3.18,-0.00844425
3.19,-0.0108681
3.2,-6.10339E-4
