# Time Series: Loma Prieta 1989 - HSP-000
# Time (s),Acceleration (g's)
0.0,-4.5853E-5
0.005,-1.33495E-4
0.01,-1.95336E-4
0.015,-1.99045E-4
0.02,-1.47384E-4
0.025,-5.31093E-5
0.03,6.39233E-5
0.035,1.86645E-4
0.04,3.08127E-4
0.045,4.23927E-4
0.05,5.19714E-4
0.055,5.73388E-4
0.06,5.74347E-4
0.065,5.13653E-4
0.07,3.68478E-4
0.075,1.30943E-4
0.08,-1.54404E-4
0.085,-4.15962E-4
0.09,-6.17611E-4
0.095,-7.71443E-4
0.1,-8.87107E-4
0.105,-9.4824E-4
0.11,-9.39017E-4
0.115,-8.70195E-4
0.12,-7.79218E-4
0.125,-7.10095E-4
0.13,-6.87385E-4
0.135,-6.88906E-4
0.14,-6.53829E-4
0.145,-5.34122E-4
0.15,-3.4115E-4
0.155,-1.37094E-4
0.16,5.70103E-6
0.165,3.95377E-5
0.17,-3.67692E-5
0.175,-1.94668E-4
0.18,-3.86645E-4
0.185,-5.53962E-4
0.19,-6.45607E-4
0.195,-6.25342E-4
0.2,-5.14649E-4
0.205,-4.09412E-4
0.21,-4.05174E-4
0.215,-5.26483E-4
0.22,-7.43523E-4
0.225,-0.00101012
0.23,-0.00128534
0.235,-0.00154089
0.24,-0.00175056
0.245,-0.00191002
0.25,-0.00202921
0.255,-0.00208714
0.26,-0.00203663
0.265,-0.00185761
0.27,-0.00158514
0.275,-0.00130102
0.28,-0.00109867
0.285,-0.00102094
0.29,-0.00104099
0.295,-0.00108851
0.3,-0.00110406
0.305,-0.00107965
0.31,-0.00103566
0.315,-9.98284E-4
0.32,-9.83383E-4
0.325,-9.86115E-4
0.33,-0.0010069
0.335,-0.00105161
0.34,-0.00110573
0.345,-0.00114454
0.35,-0.0011437
0.355,-0.00106487
0.36,-8.73262E-4
0.365,-6.10599E-4
0.37,-3.89512E-4
0.375,-2.94502E-4
0.38,-3.41598E-4
0.385,-4.71232E-4
0.39,-5.9416E-4
0.395,-6.68941E-4
0.4,-6.78482E-4
0.405,-5.85257E-4
0.41,-3.63542E-4
0.415,-5.49151E-5
0.42,2.28872E-4
0.425,3.84407E-4
0.43,3.99638E-4
0.435,3.40147E-4
0.44,2.77798E-4
0.445,2.33346E-4
0.45,1.81689E-4
0.455,1.09651E-4
0.46,5.03387E-5
0.465,6.11795E-5
0.47,1.76686E-4
0.475,3.90925E-4
0.48,6.78577E-4
0.485,9.90137E-4
0.49,0.00124948
0.495,0.00141874
0.5,0.00149495
0.505,0.00144101
0.51,0.00121307
0.515,8.38564E-4
0.52,4.4792E-4
0.525,2.25193E-4
0.53,2.76092E-4
0.535,5.51236E-4
0.54,8.8323E-4
0.545,0.00107529
0.55,0.00102515
0.555,7.66121E-4
0.56,3.83457E-4
0.565,-4.88194E-5
0.57,-4.69062E-4
0.575,-8.14932E-4
0.58,-0.00102476
0.585,-0.00108247
0.59,-0.00106142
0.595,-0.0011044
0.6,-0.00132586
0.605,-0.00170449
0.61,-0.00209635
0.615,-0.00233689
