# Time Series: N. Palm Springs 1986 - WWT-180
# Time (s),Acceleration (g's)
0.0,1.25084E-4
0.005,1.35407E-4
0.01,1.29162E-4
0.015,1.38342E-4
0.02,1.23735E-4
0.025,1.14923E-4
0.03,9.35394E-5
0.035,8.95685E-5
0.04,7.0253E-5
0.045,7.22829E-5
0.05,7.90842E-5
0.055,1.2361E-4
0.06,1.43814E-4
0.065,1.56165E-4
0.07,1.54659E-4
0.075,2.01446E-4
0.08,2.70772E-4
0.085,3.39693E-4
0.09,3.06335E-4
0.095,2.06766E-4
0.1,1.10617E-4
0.105,8.0751E-5
0.11,4.82061E-5
0.115,-3.62454E-5
0.12,-2.43818E-4
0.125,-4.75715E-4
0.13,-6.20948E-4
0.135,-5.60295E-4
0.14,-3.46921E-4
0.145,-1.19647E-4
0.15,-9.83809E-6
0.155,3.27943E-5
0.16,9.67709E-5
0.165,2.19123E-4
0.17,4.08979E-4
0.175,5.58032E-4
0.18,4.48731E-4
0.185,1.50239E-4
0.19,-1.77954E-4
0.195,-2.12609E-4
0.2,1.02281E-4
0.205,4.87572E-4
0.21,7.56608E-4
0.215,0.00123525
0.22,0.00158095
0.225,0.00151067
0.23,9.45894E-4
0.235,-6.76149E-6
0.24,-0.00109737
0.245,-0.00193101
0.25,-0.00249984
0.255,-0.00267347
0.26,-0.00247384
0.265,-0.00195458
0.27,-0.0012387
0.275,-1.90947E-4
0.28,0.00102549
0.285,0.00181198
0.29,0.00154479
0.295,4.2267E-4
0.3,-7.93596E-4
0.305,-0.00153912
0.31,-0.00207938
0.315,-0.00237364
0.32,-0.00264614
0.325,-0.00274849
0.33,-0.00281665
0.335,-0.00305299
0.34,-0.00306562
0.345,-0.00288837
0.35,-0.00307782
0.355,-0.00358714
0.36,-0.00367159
0.365,-0.00287563
0.37,-0.00131864
0.375,4.8583E-4
0.38,0.00177717
0.385,0.00230093
0.39,0.00220158
0.395,0.00141191
0.4,1.36923E-4
0.405,-9.68184E-4
0.41,-0.00158358
0.415,-0.00121722
0.42,5.01617E-5
0.425,0.00165013
0.43,0.00264926
0.435,0.0016683
0.44,-0.00185428
0.445,-0.00596714
0.45,-0.00829998
0.455,-0.00857906
0.46,-0.00834766
0.465,-0.00745959
0.47,-0.00521165
0.475,-0.00142623
0.48,0.00288719
0.485,0.00607694
0.49,0.00731928
0.495,0.00665941
0.5,0.00346281
0.505,-0.00136964
0.51,-0.00449191
0.515,-0.00428882
0.52,-0.00265301
0.525,-0.00224008
0.53,-0.00338705
0.535,-0.0031582
0.54,-2.62197E-4
0.545,0.00348337
0.55,0.00497073
0.555,9.89291E-4
0.56,-0.00929794
0.565,-0.016823
0.57,-0.0148258
0.575,-0.00615522
0.58,0.00164671
0.585,0.00451469
0.59,0.0037214
0.595,0.00177495
0.6,-5.11926E-4
0.605,-0.00424177
0.61,-0.0110275
0.615,-0.0190458
0.62,-0.0243593
0.625,-0.0233735
0.63,-0.0159991
0.635,-0.00534129
0.64,0.00322242
0.645,0.00716908
0.65,0.00849733
0.655,0.0108626
0.66,0.0140662
0.665,0.0152591
0.67,0.0130415
0.675,0.0108097
0.68,0.0122837
0.685,0.0164203
0.69,0.0169037
0.695,0.0108699
0.7,0.00376065
0.705,-8.17778E-4
0.71,-0.0055968
0.715,-0.012575
0.72,-0.0217363
0.725,-0.0298767
0.73,-0.0341203
0.735,-0.033142
0.74,-0.0277443
0.745,-0.0170077
0.75,-0.00238411
0.755,0.00981657
0.76,0.0195015
0.765,0.033194
0.77,0.0490827
0.775,0.0599101
0.78,0.0596556
0.785,0.0482244
0.79,0.0294795
0.795,0.0112727
0.8,-0.00115206
0.805,-0.00976978
0.81,-0.0201417
0.815,-0.0336854
0.82,-0.0444568
0.825,-0.0467157
0.83,-0.0418582
