# Time Series: Imperial Valley 1979 - BCR-230
# Time (s),Acceleration (g's)
0.0,0.00135417
0.005,9.07153E-4
0.01,-0.00200633
0.015,-0.0050865
0.02,-0.00507503
0.025,-0.00512542
0.03,-0.00514171
0.035,-0.00514031
0.04,-0.00512728
0.045,-0.00511384
0.05,-0.00510348
0.055,-0.00509535
0.06,-0.0050874
0.065,-0.00507505
0.07,-0.00505849
0.075,-0.00504475
0.08,-0.00504005
0.085,-0.00504307
0.09,-0.00504735
0.095,-0.00504872
0.1,-0.00504445
0.105,-0.00503271
0.11,-0.00501507
0.115,-0.0049969
0.12,-0.00498155
0.125,-0.00496528
0.13,-0.00494901
0.135,-0.00493688
0.14,-0.00492859
0.145,-0.00492171
0.15,-0.00491465
0.155,-0.0049093
0.16,-0.0049036
0.165,-0.00489496
0.17,-0.00488207
0.175,-0.00486416
0.18,-0.00484293
0.185,-0.0048172
0.19,-0.00479135
0.195,-0.00477066
0.2,-0.00475104
0.205,-0.0047286
0.21,-0.00470661
0.215,-0.00469334
0.22,-0.00468851
0.225,-0.00468919
0.23,-0.00469568
0.235,-0.00470666
0.24,-0.00472328
0.245,-0.00474335
0.25,-0.00476258
0.255,-0.00477542
0.26,-0.00477946
0.265,-0.004778
0.27,-0.00477853
0.275,-0.00478449
0.28,-0.00478222
0.285,-0.00476304
0.29,-0.00473845
0.295,-0.0047205
0.3,-0.00470549
0.305,-0.00468649
0.31,-0.00465914
0.315,-0.00462008
0.32,-0.00458267
0.325,-0.00454755
0.33,-0.00450562
0.335,-0.00446145
0.34,-0.0044162
0.345,-0.00437007
0.35,-0.00432334
0.355,-0.00427613
0.36,-0.00422916
0.365,-0.00418544
0.37,-0.0041391
0.375,-0.00408982
0.38,-0.00403928
0.385,-0.00397699
0.39,-0.00390292
0.395,-0.00382408
0.4,-0.00374214
0.405,-0.00365343
0.41,-0.00356981
0.415,-0.00349113
0.42,-0.00341141
0.425,-0.00333679
0.43,-0.0032609
0.435,-0.00321004
0.44,-0.00325048
0.445,-0.00341659
0.45,-0.00370077
0.455,-0.00412628
0.46,-0.00467513
0.465,-0.00519254
0.47,-0.00550612
0.475,-0.00556916
0.48,-0.00543694
0.485,-0.00518059
0.49,-0.00487429
0.495,-0.00456872
0.5,-0.00425217
0.505,-0.0038993
0.51,-0.00353914
0.515,-0.00321363
0.52,-0.00293286
0.525,-0.00277702
0.53,-0.00283831
0.535,-0.00305766
0.54,-0.00330613
0.545,-0.00347424
0.55,-0.00347885
0.555,-0.00333293
0.56,-0.00316713
0.565,-0.00307476
0.57,-0.00300144
0.575,-0.00287057
0.58,-0.00271656
0.585,-0.00257302
0.59,-0.00243047
0.595,-0.00229904
0.6,-0.00216824
0.605,-0.002029
0.61,-0.00192832
0.615,-0.00190471
0.62,-0.00192412
0.625,-0.00194476
0.63,-0.00195293
0.635,-0.00195898
0.64,-0.00196889
0.645,-0.00197944
0.65,-0.0019731
0.655,-0.00194116
0.66,-0.00191818
0.665,-0.00190054
0.67,-0.001863
0.675,-0.00180941
0.68,-0.00172311
0.685,-0.00148772
0.69,-9.94386E-4
0.695,-3.53352E-4
0.7,2.66281E-4
0.705,8.23595E-4
0.71,0.00142051
0.715,0.00217975
0.72,0.00307138
0.725,0.00374355
0.73,0.00370563
0.735,0.00292574
0.74,0.00177944
0.745,5.54278E-4
0.75,-7.29024E-4
0.755,-0.00214794
0.76,-0.00370191
0.765,-0.00517847
0.77,-0.00627642
0.775,-0.00694383
0.78,-0.00708543
0.785,-0.00649529
0.79,-0.0053813
0.795,-0.00407903
0.8,-0.00282536
0.805,-0.0019775
0.81,-0.00158463
0.815,-0.00131959
0.82,-0.00104265
0.825,-8.13325E-4
0.83,-6.62584E-4
0.835,-5.55547E-4
0.84,-4.33782E-4
0.845,-3.25619E-4
0.85,-2.25964E-4
0.855,-1.00588E-4
0.86,1.13646E-5
0.865,1.22911E-4
0.87,2.30953E-4
0.875,3.23752E-4
0.88,4.5779E-4
0.885,5.97542E-4
0.89,7.0427E-4
0.895,8.26984E-4
0.9,9.58318E-4
0.905,0.00107423
0.91,0.00119746
0.915,0.00134184
0.92,0.00149865
0.925,0.00166422
0.93,0.00181924
0.935,0.00184183
0.94,0.00129994
0.945,-2.87493E-4
0.95,-0.00249039
0.955,-0.00432025
0.96,-0.00532351
0.965,-0.00566344
0.97,-0.00585229
0.975,-0.00623161
0.98,-0.00667177
0.985,-0.00689192
0.99,-0.00676492
0.995,-0.00620348
1.0,-0.00533869
1.005,-0.00443591
1.01,-0.00336247
1.015,-0.00222649
1.02,-0.00175879
1.025,-0.00224682
1.03,-0.00300144
1.035,-0.00340817
1.04,-0.00358185
1.045,-0.00385479
1.05,-0.00418909
1.055,-0.00416227
1.06,-0.00379492
1.065,-0.0034709
1.07,-0.00309441
1.075,-0.00225965
1.08,-8.05065E-4
1.085,7.64909E-4
1.09,0.00140977
1.095,7.1845E-4
1.1,-0.00102161
1.105,-0.00367699
1.11,-0.00697354
1.115,-0.0104147
1.12,-0.0125117
1.125,-0.0104693
1.13,-0.00382469
1.135,0.00422666
1.14,0.0105409
1.145,0.0130547
1.15,0.0102886
1.155,0.00356915
1.16,-0.00371299
1.165,-0.00998954
1.17,-0.0149036
1.175,-0.0167282
1.18,-0.0140438
1.185,-0.00839704
1.19,-0.0029631
1.195,3.84201E-4
1.2,0.00176042
1.205,0.0021811
1.21,0.00244629
1.215,0.00285106
1.22,0.0032687
1.225,0.00346194
1.23,0.00339188
1.235,0.0032369
1.24,0.00320112
1.245,0.0032035
1.25,0.00320105
1.255,0.00331503
1.26,0.00357078
1.265,0.00373085
1.27,0.00309417
1.275,0.0015609
1.28,-2.53055E-4
1.285,-0.00181449
1.29,-0.00253933
1.295,-0.00226273
1.3,-0.00127457
1.305,2.57792E-5
1.31,0.00131806
1.315,0.00282097
1.32,0.00448901
1.325,0.00584714
1.33,0.00602058
1.335,0.00323189
1.34,-0.00314537
1.345,-0.0115755
1.35,-0.0187985
1.355,-0.0202734
1.36,-0.0150476
1.365,-0.008091
1.37,-0.00388981
1.375,-0.00222031
1.38,-5.16268E-4
1.385,0.00309047
1.39,0.00801087
1.395,0.0125499
1.4,0.016055
1.405,0.0169252
1.41,0.0133347
1.415,0.00716533
1.42,0.00186701
1.425,-0.00125192
1.43,-0.00290455
1.435,-0.00439914
1.44,-0.00616536
1.445,-0.00768007
1.45,-0.00855269
1.455,-0.00893759
1.46,-0.00906903
1.465,-0.00868178
1.47,-0.0072884
1.475,-0.00433079
1.48,6.77911E-4
1.485,0.00646679
1.49,0.00994612
1.495,0.00944139
1.5,0.00662835
1.505,0.00436251
1.51,0.00368689
1.515,0.0035906
1.52,0.00295409
1.525,0.00181823
1.53,5.86436E-4
1.535,-4.77525E-4
1.54,-0.00127833
1.545,-0.00196569
1.55,-0.00264107
1.555,-0.00331442
1.56,-0.00364794
1.565,-0.00354331
1.57,-0.00305914
1.575,-0.00236786
1.58,-0.00214582
1.585,-0.00252092
1.59,-0.00333581
1.595,-0.00442899
1.6,-0.00383413
1.605,0.00136285
1.61,0.0104742
1.615,0.0195481
1.62,0.0271312
1.625,0.0341116
1.63,0.0358138
1.635,0.0242851
1.64,0.00167696
1.645,-0.0209935
1.65,-0.0359881
1.655,-0.0393794
1.66,-0.0301426
1.665,-0.015022
1.67,-0.00180258
1.675,0.00864662
1.68,0.0163275
1.685,0.0185492
1.69,0.0155226
1.695,0.0112926
1.7,0.00854717
1.705,0.00649443
1.71,0.00394636
1.715,0.00109953
1.72,-0.00140103
1.725,-0.00277361
1.73,-0.00350274
1.735,-0.00420058
1.74,-0.00436363
1.745,-0.0039954
1.75,-0.00346987
1.755,-0.00307221
1.76,-0.00275716
1.765,-0.00225445
1.77,-0.00173729
1.775,-0.00126887
1.78,-7.58614E-4
1.785,-1.6678E-4
1.79,3.41612E-4
1.795,6.74049E-4
1.8,0.00124548
1.805,0.00184771
1.81,0.00218393
1.815,0.00268665
1.82,0.00327777
1.825,0.00369893
1.83,0.00415737
1.835,0.00473607
1.84,0.00545831
1.845,0.00642836
1.85,0.00769419
1.855,0.00910664
1.86,0.0103194
1.865,0.0114644
1.87,0.0127045
1.875,0.0135817
1.88,0.0128534
1.885,0.00965281
1.89,0.00528772
1.895,0.00141242
1.9,-0.00180427
1.905,-0.00530752
1.91,-0.00901163
1.915,-0.0115457
1.92,-0.0120113
1.925,-0.0100794
1.93,-0.00645901
1.935,-0.00216575
1.94,0.00273454
1.945,0.00820436
1.95,0.013673
1.955,0.0188269
1.96,0.0210998
1.965,0.016172
1.97,0.00537074
1.975,-0.00480717
1.98,-0.00990485
1.985,-0.0100156
1.99,-0.00782794
1.995,-0.00625442
2.0,-0.00698853
2.005,-0.00996029
2.01,-0.0148168
2.015,-0.0211516
2.02,-0.0269689
2.025,-0.0292966
2.03,-0.0259705
2.035,-0.0166433
2.04,-0.00312782
2.045,0.0116538
2.05,0.0260338
2.055,0.0395142
2.06,0.0489365
2.065,0.0474403
2.07,0.0326371
2.075,0.0125286
2.08,-0.0025653
2.085,-0.00764777
2.09,-0.00386934
2.095,0.00260879
2.1,0.00697951
2.105,0.00994365
2.11,0.0131209
2.115,0.0142541
2.12,0.00947198
2.125,-0.00117262
2.13,-0.0136683
2.135,-0.0236269
2.14,-0.027833
2.145,-0.0257001
2.15,-0.0200569
2.155,-0.0138926
2.16,-0.00690801
2.165,0.00191377
2.17,0.0116312
2.175,0.0215715
2.18,0.0315784
2.185,0.0411806
2.19,0.0465509
2.195,0.0391592
2.2,0.0162173
2.205,-0.0109499
2.21,-0.0252973
2.215,-0.0210665
2.22,-0.00758365
2.225,0.00359952
2.23,0.0102958
2.235,0.0170063
2.24,0.0264624
2.245,0.0379462
2.25,0.0473009
2.255,0.0500229
2.26,0.0465135
2.265,0.0414806
2.27,0.0392951
2.275,0.0396915
2.28,0.0396569
2.285,0.038213
2.29,0.0365949
2.295,0.0360199
2.3,0.0360554
