# Time Series: Northridge 1994 - VSP-360,
# Time (s),Acceleration (g's)
0,3.40E-04
0.005,3.55E-04
0.01,3.53E-04
0.015,3.32E-04
0.02,3.29E-04
0.025,3.57E-04
0.03,3.69E-04
0.035,3.36E-04
0.04,3.08E-04
0.045,3.44E-04
0.05,3.95E-04
0.055,3.64E-04
0.06,2.78E-04
0.065,2.91E-04
0.07,4.37E-04
0.075,4.87E-04
0.08,1.74E-04
0.085,-4.53E-04
0.09,-0.0010172
0.095,-0.00117635
0.1,-9.42E-04
0.105,-5.63E-04
0.11,-1.39E-04
0.115,5.32E-04
0.12,0.00166616
0.125,0.00311081
0.13,0.00439929
0.135,0.00524302
0.14,0.00583833
0.145,0.00655443
0.15,0.00741865
0.155,0.00812161
0.16,0.00850479
0.165,0.00878532
0.17,0.00923761
0.175,0.00990153
0.18,0.0107054
0.185,0.0115861
0.19,0.0122926
0.195,0.0123863
0.2,0.0117411
0.205,0.0107462
0.21,0.00956086
0.215,0.00752609
0.22,0.00411009
0.225,4.29E-04
0.23,-0.00115963
0.235,5.21E-04
0.24,0.00416371
0.245,0.00773568
0.25,0.010893
0.255,0.0146351
0.26,0.018893
0.265,0.0217971
0.27,0.0217176
0.275,0.0189348
0.28,0.0146086
0.285,0.00903445
0.29,0.00221335
0.295,-0.00420724
0.3,-0.00721101
0.305,-0.00548389
0.31,-0.00140571
0.315,0.00105892
0.32,2.79E-04
0.325,-0.00203445
0.33,-0.00355729
0.335,-0.00385148
0.34,-0.00356626
0.345,-0.00238583
0.35,5.62E-04
0.355,0.00438124
0.36,0.00631325
0.365,0.00501458
0.37,0.00281998
0.375,0.00324924
0.38,0.00658359
0.385,0.00936463
0.39,0.00845464
0.395,0.00431131
0.4,-2.35E-04
0.405,-0.00320459
0.41,-0.00455097
0.415,-0.00495739
0.42,-0.00488084
0.425,-0.00448461
0.43,-0.00337309
0.435,-4.27E-04
0.44,0.00502039
0.445,0.0115454
0.45,0.0159868
0.455,0.0159266
0.46,0.0115892
0.465,0.00541315
0.47,3.86E-04
0.475,-0.00140958
0.48,7.10E-05
0.485,0.0024054
0.49,0.00227034
0.495,-0.00148104
0.5,-0.00636361
0.505,-0.00836412
0.51,-0.00536932
0.515,0.00152681
0.52,0.00918685
0.525,0.0141804
0.53,0.0144128
0.535,0.0107339
0.54,0.00699878
0.545,0.00706442
0.55,0.0110581
0.555,0.0153935
0.56,0.0167197
0.565,0.0147013
0.57,0.0103721
0.575,0.00345494
0.58,-0.00662895
0.585,-0.0173772
0.59,-0.0230663
0.595,-0.0194261
0.6,-0.0080946
0.605,0.00422589
0.61,0.0109409
0.615,0.00994383
0.62,0.003837
0.625,-0.00318644
0.63,-0.00876198
0.635,-0.0133955
0.64,-0.0183853
0.645,-0.0226687
0.65,-0.0223058
0.655,-0.0141386
0.66,-3.13E-04
0.665,0.0115922
0.67,0.0138002
0.675,0.00403568
0.68,-0.0134822
0.685,-0.0315127
0.69,-0.0435749
0.695,-0.0458328
0.7,-0.0382436
0.705,-0.0254628
0.71,-0.0151641
0.715,-0.0129215
0.72,-0.0177635
0.725,-0.023472
0.73,-0.0245607
0.735,-0.020423
0.74,-0.0139725
0.745,-0.00808603
0.75,-0.00446014
0.755,-0.00430245
0.76,-0.00762253
0.765,-0.011737
0.77,-0.0126575
0.775,-0.00906452
0.78,-0.00353598
0.785,0.00131499
0.79,0.00666646
0.795,0.0156177
0.8,0.0280153
0.805,0.0391366
0.81,0.043789
0.815,0.0401121
0.82,0.0292447
0.825,0.0138736
0.83,-0.00108889
0.835,-0.00868389
0.84,-0.00467258
0.845,0.00708043
0.85,0.0165321
0.855,0.0164322
0.86,0.00833456
0.865,-0.00109327
0.87,-0.0078788
0.875,-0.0128818
0.88,-0.017419
0.885,-0.0199552
0.89,-0.0181274
0.895,-0.0120897
0.9,-0.00437248
0.905,0.00260367
0.91,0.00750663
0.915,0.00918073
0.92,0.00631876
0.925,-0.00144088
0.93,-0.0124495
0.935,-0.0231142
0.94,-0.0291427
0.945,-0.0279715
0.95,-0.0213252
0.955,-0.0150652
0.96,-0.0147645
0.965,-0.0205138
0.97,-0.0266208
0.975,-0.0268563
0.98,-0.0196799
0.985,-0.00852161
0.99,0.00174699
0.995,0.00874542
1,0.00976769
1.005,0.00660557
1.01,0.00101782
1.015,-0.00546332
1.02,-0.0118183
1.025,-0.0166365
1.03,-0.0177839
1.035,-0.0142066
1.04,-0.00782283
1.045,-0.00219238
1.05,0.00105582
