Modified_enzyme	Core_enzyme	Modifications	Source
SufBCD_mod_2fe2s(1)	SufBCD	2fe2s(1)	Manual
SufBCD_mod_4fe4s(1)	SufBCD	4fe4s(1)	Manual
SufSU_mod_pydx5p(1)	SufSU	pydx5p(1)	Manual
SufSU_mod_pydx5p(1)_mod_SH(1)	SufSU	pydx5p(1) AND SH(1)	Manual
SufSU_mod_2fe2s(1)	SufSU	2fe2s(1)	Manual
SufSU_mod_4fe4s(1)	SufSU	4fe4s(1)	Manual
QueAG_mod_4fe4s(2)	QueAG	4fe4s(2)	Manual
BSU32680-MONOMER_mod_2fe2s(1)	BSU32680-MONOMER	2fe2s(1)	Manual
BSU32680-MONOMER_mod_4fe4s(1)	BSU32680-MONOMER	4fe4s(1)	Manual
BSU15920-MONOMER_mod_pan4p(1)	BSU15920-MONOMER	pan4p(1)	Manual
CPLX_PDH-0_mod_mg2(1)_mod_fad(1)_mod_thmpp(1)_mod_lipoyl(1)	CPLX_PDH-0	mg2(1) AND fad(1) AND thmpp(1) AND lipoyl(1)	Manual
BSU32680-MONOMER_mod_fe2(1)	BSU32680-MONOMER	fe2(1)	Manual
BSU32680-MONOMER_mod_fe2(2)	BSU32680-MONOMER	fe2(2)	Manual
BSU30820-MONOMER_mod_mg2(1)_mod_mn2(1)_mod_thmpp(1)	BSU30820-MONOMER	mg2(1) AND mn2(1) AND thmpp(1)	Manual
BSU00920-MONOMER_mod_mg2(1)_mod_zn2(1)	BSU00920-MONOMER	mg2(1) AND zn2(1)	Manual
BSU32530-MONOMER_mod_mn2(1)	BSU32530-MONOMER	mn2(1)	Manual
BSU32530-MONOMER_mod_2fe2s(1)_mod_mn2(1)	BSU32530-MONOMER	2fe2s(1) AND mn2(1)	Manual
BSU32530-MONOMER_mod_4fe4s(1)_mod_mn2(1)	BSU32530-MONOMER	4fe4s(1) AND mn2(1)	Manual
BSU00760-MONOMER_mod_pydx5p(1)	BSU00760-MONOMER	pydx5p(1)	Manual
BSU11210-MONOMER_mod_mg2(1)	BSU11210-MONOMER	mg2(1)	Manual
BSU06360-MONOMER_mod_mg2(1)	BSU06360-MONOMER	mg2(1)	Manual
BSU00280-MONOMER_mod_mg2(1)	BSU00280-MONOMER	mg2(1)	Manual
BSU11610-MONOMER_mod_mg2(1)	BSU11610-MONOMER	mg2(1)	Manual
BSU14390-MONOMER_mod_mg2(1)	BSU14390-MONOMER	mg2(1)	Manual
BSU28090-MONOMER_mod_mg2(1)	BSU28090-MONOMER	mg2(1)	Manual
BSU03640-MONOMER_mod_mn2(1)	BSU03640-MONOMER	mn2(1)	Manual
BSU33900-MONOMER_mod_mg2(4)	BSU33900-MONOMER	mg2(4)	Manual
BSU38860-MONOMER_mod_nad(1)	BSU38860-MONOMER	nad(1)	Manual
BSU32330-MONOMER_mod_4fe4s(2)	BSU32330-MONOMER	4fe4s(2)	Manual
BSU24120-MONOMER_mod_mg2(1)	BSU24120-MONOMER	mg2(1)	Manual
BSU35920-MONOMER_mod_k(1)_mod_mg2(1)	BSU35920-MONOMER	k(1) AND mg2(1)	Manual
BSU04340-MONOMER_mod_mg2(1)_mod_thmpp(1)_mod_fad(1)	BSU04340-MONOMER	mg2(1) AND thmpp(1) AND fad(1)	Manual
BSU19710-MONOMER_mod_zn2(1)	BSU19710-MONOMER	zn2(1)	Manual
BSU18830-MONOMER_mod_mg2(1)	BSU18830-MONOMER	mg2(1)	Manual
BSU14310-MONOMER_mod_amp(1)	BSU14310-MONOMER	amp(1)	Manual
BSU14310-MONOMER_mod_coo(1)	BSU14310-MONOMER	coo(1)	Manual
BSU14310-MONOMER_mod_cosh(1)	BSU14310-MONOMER	cosh(1)	Manual
BSU33910-MONOMER_mod_mn2(1)	BSU33910-MONOMER	mn2(1)	Manual
BSU27850-MONOMER_mod_4fe4s(1)	BSU27850-MONOMER	4fe4s(1)	Manual
BSU21870-MONOMER_mod_4fe4s(1)	BSU21870-MONOMER	4fe4s(1)	Manual
BSU29180-MONOMER_mod_mg2(1)_mod_k(1)	BSU29180-MONOMER	mg2(1) AND k(1)	Manual
BSU29180-MONOMER_mod_mn2(1)_mod_k(1)	BSU29180-MONOMER	mn2(1) AND k(1)	Manual
BSU29190-MONOMER_mod_mg2(1)	BSU29190-MONOMER	mg2(1)	Manual
BSU01050-MONOMER_mod_acetyl(1)	BSU01050-MONOMER	acetyl(1)	Manual
BSU00730-MONOMER_mod_pydx5p(2)	BSU00730-MONOMER	pydx5p(2)	Manual
BSU06490-MONOMER_mod_mg2(1)	BSU06490-MONOMER	mg2(1)	Manual
BSU28370-MONOMER_mod_mg2(1)	BSU28370-MONOMER	mg2(1)	Manual
BSU03900-MONOMER_mod_pydx5p(1)	BSU03900-MONOMER	pydx5p(1)	Manual
BSU14520-MONOMER_mod_mn2(1)	BSU14520-MONOMER	mn2(1)	Manual
BSU06480-MONOMER_mod_mg2(1)	BSU06480-MONOMER	mg2(1)	Manual
BSU37830-MONOMER_mod_nad(1)	BSU37830-MONOMER	nad(1)	Manual
