Modified_enzyme	Core_enzyme	Modifications	Source
BSU28360-MONOMER_mod_mg2(1)	BSU28360-MONOMER	mg2(1)	Manual
BSU32050-MONOMER_mod_zn2(1)	BSU32050-MONOMER	zn2(1)	Manual
BSU10020-MONOMER_mod_pydx5p(1)	BSU10020-MONOMER	pydx5p(1)	Manual
BSU03130-MONOMER_mod_mg2(1)	BSU03130-MONOMER	mg2(1)	Manual
BSU03130-MONOMER_mod_mn2(1)	BSU03130-MONOMER	mn2(1)	Manual
BSU23770-MONOMER_mod_pydx5p(1)	BSU23770-MONOMER	pydx5p(1)	Manual
BSU02130-MONOMER_mod_ca2(1)	BSU02130-MONOMER	ca2(1)	Manual
BSU38200-MONOMER_mod_mg2(1)	BSU38200-MONOMER	mg2(1)	Manual
BSU30800-MONOMER_mod_hco3(1)	BSU30800-MONOMER	hco3(1)	Manual
BSU16920-MONOMER_mod_mg2(1)	BSU16920-MONOMER	mg2(1)	Manual
BSU19400-MONOMER_mod_cu2(1)	BSU19400-MONOMER	cu2(1)	Manual
BSU04640-MONOMER_mod_pydx5p(1)	BSU04640-MONOMER	pydx5p(1)	Manual
BSU37560-MONOMER_mod_zn2(1)	BSU37560-MONOMER	zn2(1)	Manual
BSU37080-MONOMER_mod_mg2(3)	BSU37080-MONOMER	mg2(3)	Manual
BSU23760-MONOMER_mod_mg2(1)	BSU23760-MONOMER	mg2(1)	Manual
BSU15720-MONOMER_mod_fe2(1)	BSU15720-MONOMER	fe2(1)	Manual
BSU01370-MONOMER_mod_mg2(1)	BSU01370-MONOMER	mg2(1)	Manual
BSU25160-MONOMER_mod_nadph(1)_mod_nadh(1)_mod_fad(1)_mod_cobalt2(1)	BSU25160-MONOMER	nadph(1) AND nadh(1) AND fad(1) AND cobalt2(1)	Manual
BSU02490-MONOMER_mod_mg2(1)	BSU02490-MONOMER	mg2(1)	Manual
BSU00380-MONOMER_mod_zn2(2)	BSU00380-MONOMER	zn2(2)	Manual
BSU14630-MONOMER_mod_pydx5p(1)	BSU14630-MONOMER	pydx5p(1)	Manual
BSU28780-MONOMER_mod_zn2(1)	BSU28780-MONOMER	zn2(1)	Manual
BSU18000-MONOMER_mod_4fe4s(1)	BSU18000-MONOMER	4fe4s(1)	Manual
BSU14170-MONOMER_mod_Oxidized(1)	BSU14170-MONOMER	Oxidized(1)	Manual
BSU27870-MONOMER_mod_fad(1)	BSU27870-MONOMER	fad(1)	Manual
BSU34970-MONOMER_mod_mg2(1)_mod_cl(1)	BSU34970-MONOMER	mg2(1) AND cl(1)	Manual
BSU27560-MONOMER_mod_mg2(4)	BSU27560-MONOMER	mg2(4)	Manual
BSU29970-MONOMER_mod_pydx5p(1)	BSU29970-MONOMER	pydx5p(1)	Manual
BSU28290-MONOMER_mod_mg2(1)	BSU28290-MONOMER	mg2(1)	Manual
BSU28130-MONOMER_mod_zn2(1)	BSU28130-MONOMER	zn2(1)	Manual
BSU13120-MONOMER_mod_mg2(1)	BSU13120-MONOMER	mg2(1)	Manual
BSU04000-MONOMER_mod_k(1)_mod_mg2(1)	BSU04000-MONOMER	k(1) AND mg2(1)	Manual
BSU15930-MONOMER_mod_mg2(2)	BSU15930-MONOMER	mg2(2)	Manual
BSU16540-MONOMER_mod_mg2(1)_mod_k(1)	BSU16540-MONOMER	mg2(1) AND k(1)	Manual
BSU25640-MONOMER_mod_mg2(1)	BSU25640-MONOMER	mg2(1)	Manual
BSU09310-MONOMER_mod_mg2(1)	BSU09310-MONOMER	mg2(1)	Manual
BSU27510-MONOMER_mod_pydx5p(2)	BSU27510-MONOMER	pydx5p(2)	Manual
BSU25460-MONOMER_mod_zn2(4)	BSU25460-MONOMER	zn2(4)	Manual
BSU31200-MONOMER_mod_mg2(1)	BSU31200-MONOMER	mg2(1)	Manual
BSU21820-MONOMER_mod_mg2(1)	BSU21820-MONOMER	mg2(1)	Manual
BSU29130-MONOMER_mod_mn2(1)	BSU29130-MONOMER	mn2(1)	Manual
BSU29130-MONOMER_mod_mg2(1)	BSU29130-MONOMER	mg2(1)	Manual
BSU17330-MONOMER_mod_mg2(2)	BSU17330-MONOMER	mg2(2)	Manual
BSU15230-MONOMER_mod_fad(1)	BSU15230-MONOMER	fad(1)	Manual
BSU28800-MONOMER_mod_mn2(1)	BSU28800-MONOMER	mn2(1)	Manual
BSU00510-MONOMER_mod_mg2(1)_mod_pi(1)	BSU00510-MONOMER	mg2(1) AND pi(1)	Manual
BSU00510-MONOMER_mod_mn2(1)_mod_pi(1)	BSU00510-MONOMER	mn2(1) AND pi(1)	Manual
BSU32160-MONOMER_mod_2fe2s(1)	BSU32160-MONOMER	2fe2s(1)	Manual
BSU32160-MONOMER_mod_4fe4s(1)	BSU32160-MONOMER	4fe4s(1)	Manual
BSU17000-MONOMER_mod_pydx5p(1)	BSU17000-MONOMER	pydx5p(1)	Manual
BSU25020-MONOMER_mod_mn2(1)	BSU25020-MONOMER	mn2(1)	Manual
BSU28150-MONOMER_mod_dpm(1)	BSU28150-MONOMER	dpm(1)	Manual
BSU28500-MONOMER_mod_Oxidized(1)	BSU28500-MONOMER	Oxidized(1)	Manual
BSU30560-MONOMER_mod_mg2(1)	BSU30560-MONOMER	mg2(1)	Manual
BSU30560-MONOMER_mod_ca2(1)	BSU30560-MONOMER	ca2(1)	Manual
BSU30560-MONOMER_mod_mn2(1)	BSU30560-MONOMER	mn2(1)	Manual
BSU11140-MONOMER_mod_mg2(1)	BSU11140-MONOMER	mg2(1)	Manual
BSU38290-MONOMER_mod_mg2(1)	BSU38290-MONOMER	mg2(1)	Manual
BSU22740-MONOMER_mod_mg2(1)	BSU22740-MONOMER	mg2(1)	Manual
BSU27860-MONOMER_mod_mg2(1)	BSU27860-MONOMER	mg2(1)	Manual
BSU27710-MONOMER_mod_zn2(6)	BSU27710-MONOMER	zn2(6)	Manual
BSU22420-MONOMER_mod_mg2(1)_mod_k(1)	BSU22420-MONOMER	mg2(1) AND k(1)	Manual
BSU22420-MONOMER_mod_mg2(1)_mod_nh4(1)	BSU22420-MONOMER	mg2(1) AND nh4(1)	Manual
BSU22420-MONOMER_mod_mn2(1)_mod_k(1)	BSU22420-MONOMER	mn2(1) AND k(1)	Manual
BSU22420-MONOMER_mod_mn2(1)_mod_nh4(1)	BSU22420-MONOMER	mn2(1) AND nh4(1)	Manual
BSU27410-MONOMER_mod_zn2(4)	BSU27410-MONOMER	zn2(4)	Manual
BSU23570-MONOMER_mod_mg2(1)	BSU23570-MONOMER	mg2(1)	Manual
BSU23570-MONOMER_mod_mn2(1)	BSU23570-MONOMER	mn2(1)	Manual
BSU23570-MONOMER_mod_cobalt2(1)	BSU23570-MONOMER	cobalt2(1)	Manual
BSU27250-MONOMER_mod_pydx5p(1)	BSU27250-MONOMER	pydx5p(1)	Manual
BSU10910-MONOMER_mod_mg2(1)	BSU10910-MONOMER	mg2(1)	Manual
BSU10910-MONOMER_mod_mn2(1)	BSU10910-MONOMER	mn2(1)	Manual
BSU10910-MONOMER_mod_cobalt2(1)	BSU10910-MONOMER	cobalt2(1)	Manual
BSU10910-MONOMER_mod_cd2(1)	BSU10910-MONOMER	cd2(1)	Manual
BSU15200-MONOMER_mod_k(1)_mod_mg2(1)	BSU15200-MONOMER	k(1) AND mg2(1)	Manual
BSU21770-MONOMER_mod_pydx5p(1)	BSU21770-MONOMER	pydx5p(1)	Manual
BSU00940-MONOMER_mod_zn2(1)	BSU00940-MONOMER	zn2(1)	Manual
BSU23260-MONOMER_mod_mg2(1)	BSU23260-MONOMER	mg2(1)	Manual
BSU11420-MONOMER_mod_mg2(1)	BSU11420-MONOMER	mg2(1)	Manual
CPLX8J2-2_mod_bmocogdp(1)_mod_3fe4s(1)_mod_4fe4s(1)	CPLX8J2-2	bmocogdp(1) AND 3fe4s(1) AND 4fe4s(1)	Manual
CPLX8J2-146_mod_mn2(1)	CPLX8J2-146	mn2(1)	Manual
BSU28120-MONOMER_mod_pydx5p(1)	BSU28120-MONOMER	pydx5p(1)	Manual
BSU16530-MONOMER_mod_mg2(1)	BSU16530-MONOMER	mg2(1)	Manual
BSU00460-MONOMER_mod_mg2(1)	BSU00460-MONOMER	mg2(1)	Manual
BSU22780-MONOMER_mod_zn2(1)	BSU22780-MONOMER	zn2(1)	Manual
BSU34910-MONOMER_mod_mn2(1)	BSU34910-MONOMER	mn2(1)	Manual
BSU09300-MONOMER_mod_fad(1)	BSU09300-MONOMER	fad(1)	Manual
BSU23840-MONOMER_mod_zn2(2)	BSU23840-MONOMER	zn2(2)	Manual
CPLX8J2-102_mod_pheme(1)_mod_hemed(1)	CPLX8J2-102	pheme(1) AND hemed(1)	Manual
BSU22620-MONOMER_mod_pydx5p(1)	BSU22620-MONOMER	pydx5p(1)	Manual
BSU23380-MONOMER_mod_pydx5p(1)	BSU23380-MONOMER	pydx5p(1)	Manual
BSU35530-MONOMER_mod_mg2(1)	BSU35530-MONOMER	mg2(1)	Manual
BSU16990-MONOMER_mod_zn2(1)	BSU16990-MONOMER	zn2(1)	Manual
BSU30550-MONOMER_mod_k(4)_mod_mg2(1)	BSU30550-MONOMER	k(4) AND mg2(1)	Manual
BSU30550-MONOMER_mod_k(4)_mod_mn2(1)	BSU30550-MONOMER	k(4) AND mn2(1)	Manual
BSU30550-MONOMER_mod_k(4)_mod_cobalt2(1)	BSU30550-MONOMER	k(4) AND cobalt2(1)	Manual
BSU30550-MONOMER_mod_k(4)_mod_zn2(1)	BSU30550-MONOMER	k(4) AND zn2(1)	Manual
BSU30550-MONOMER_mod_k(4)_mod_cd2(1)	BSU30550-MONOMER	k(4) AND cd2(1)	Manual
BSU30550-MONOMER_mod_k(4)_mod_ni2(1)	BSU30550-MONOMER	k(4) AND ni2(1)	Manual
BSU30550-MONOMER_mod_k(4)_mod_ca2(1)	BSU30550-MONOMER	k(4) AND ca2(1)	Manual
BSU30550-MONOMER_mod_nh4(4)_mod_mg2(1)	BSU30550-MONOMER	nh4(4) AND mg2(1)	Manual
BSU30550-MONOMER_mod_nh4(4)_mod_mn2(1)	BSU30550-MONOMER	nh4(4) AND mn2(1)	Manual
BSU30550-MONOMER_mod_nh4(4)_mod_cobalt2(1)	BSU30550-MONOMER	nh4(4) AND cobalt2(1)	Manual
BSU30550-MONOMER_mod_nh4(4)_mod_zn2(1)	BSU30550-MONOMER	nh4(4) AND zn2(1)	Manual
BSU30550-MONOMER_mod_nh4(4)_mod_cd2(1)	BSU30550-MONOMER	nh4(4) AND cd2(1)	Manual
BSU30550-MONOMER_mod_nh4(4)_mod_ni2(1)	BSU30550-MONOMER	nh4(4) AND ni2(1)	Manual
BSU30550-MONOMER_mod_nh4(4)_mod_ca2(1)	BSU30550-MONOMER	nh4(4) AND ca2(1)	Manual
BSU30550-MONOMER_mod_tl(4)_mod_mg2(1)	BSU30550-MONOMER	tl(4) AND mg2(1)	Manual
BSU30550-MONOMER_mod_tl(4)_mod_mn2(1)	BSU30550-MONOMER	tl(4) AND mn2(1)	Manual
BSU30550-MONOMER_mod_tl(4)_mod_cobalt2(1)	BSU30550-MONOMER	tl(4) AND cobalt2(1)	Manual
BSU30550-MONOMER_mod_tl(4)_mod_zn2(1)	BSU30550-MONOMER	tl(4) AND zn2(1)	Manual
BSU30550-MONOMER_mod_tl(4)_mod_cd2(1)	BSU30550-MONOMER	tl(4) AND cd2(1)	Manual
BSU30550-MONOMER_mod_tl(4)_mod_ni2(1)	BSU30550-MONOMER	tl(4) AND ni2(1)	Manual
BSU30550-MONOMER_mod_tl(4)_mod_ca2(1)	BSU30550-MONOMER	tl(4) AND ca2(1)	Manual
BSU30550-MONOMER_mod_cs(4)_mod_mg2(1)	BSU30550-MONOMER	cs(4) AND mg2(1)	Manual
BSU30550-MONOMER_mod_cs(4)_mod_mn2(1)	BSU30550-MONOMER	cs(4) AND mn2(1)	Manual
BSU30550-MONOMER_mod_cs(4)_mod_cobalt2(1)	BSU30550-MONOMER	cs(4) AND cobalt2(1)	Manual
BSU30550-MONOMER_mod_cs(4)_mod_zn2(1)	BSU30550-MONOMER	cs(4) AND zn2(1)	Manual
BSU30550-MONOMER_mod_cs(4)_mod_cd2(1)	BSU30550-MONOMER	cs(4) AND cd2(1)	Manual
BSU30550-MONOMER_mod_cs(4)_mod_ni2(1)	BSU30550-MONOMER	cs(4) AND ni2(1)	Manual
BSU30550-MONOMER_mod_cs(4)_mod_ca2(1)	BSU30550-MONOMER	cs(4) AND ca2(1)	Manual
BSU30550-MONOMER_mod_LI(4)_mod_mg2(1)	BSU30550-MONOMER	LI(4) AND mg2(1)	Manual
BSU30550-MONOMER_mod_LI(4)_mod_mn2(1)	BSU30550-MONOMER	LI(4) AND mn2(1)	Manual
BSU30550-MONOMER_mod_LI(4)_mod_cobalt2(1)	BSU30550-MONOMER	LI(4) AND cobalt2(1)	Manual
BSU30550-MONOMER_mod_LI(4)_mod_zn2(1)	BSU30550-MONOMER	LI(4) AND zn2(1)	Manual
BSU30550-MONOMER_mod_LI(4)_mod_cd2(1)	BSU30550-MONOMER	LI(4) AND cd2(1)	Manual
BSU30550-MONOMER_mod_LI(4)_mod_ni2(1)	BSU30550-MONOMER	LI(4) AND ni2(1)	Manual
BSU30550-MONOMER_mod_LI(4)_mod_ca2(1)	BSU30550-MONOMER	LI(4) AND ca2(1)	Manual
BSU30550-MONOMER_mod_na1(4)_mod_mg2(1)	BSU30550-MONOMER	na1(4) AND mg2(1)	Manual
BSU30550-MONOMER_mod_na1(4)_mod_mn2(1)	BSU30550-MONOMER	na1(4) AND mn2(1)	Manual
BSU30550-MONOMER_mod_na1(4)_mod_cobalt2(1)	BSU30550-MONOMER	na1(4) AND cobalt2(1)	Manual
BSU30550-MONOMER_mod_na1(4)_mod_zn2(1)	BSU30550-MONOMER	na1(4) AND zn2(1)	Manual
BSU30550-MONOMER_mod_na1(4)_mod_cd2(1)	BSU30550-MONOMER	na1(4) AND cd2(1)	Manual
BSU30550-MONOMER_mod_na1(4)_mod_ni2(1)	BSU30550-MONOMER	na1(4) AND ni2(1)	Manual
BSU30550-MONOMER_mod_na1(4)_mod_ca2(1)	BSU30550-MONOMER	na1(4) AND ca2(1)	Manual
CPLX8J2-29_mod_mg2(1)	CPLX8J2-29	mg2(1)	Manual
BSU39050-MONOMER_mod_hemed(6)	BSU39050-MONOMER	hemed(6)	Manual
BSU30230-MONOMER_mod_pydx5p(1)	BSU30230-MONOMER	pydx5p(1)	Manual
BSU22730-MONOMER_mod_mg2(1)	BSU22730-MONOMER	mg2(1)	Manual
BSU22730-MONOMER_mod_mn2(1)	BSU22730-MONOMER	mn2(1)	Manual
BSU22730-MONOMER_mod_ca2(1)	BSU22730-MONOMER	ca2(1)	Manual
CPLX8J2-20_mod_4fe4s(1)_mod_sheme(1)_mod_fmn(1)_mod_fad(1)	CPLX8J2-20	4fe4s(1) AND sheme(1) AND fmn(1) AND fad(1)	Manual
BSU15730-MONOMER_mod_mg2(1)_mod_k(1)	BSU15730-MONOMER	mg2(1) AND k(1)	Manual
BSU29450-MONOMER_mod_mg2(1)	BSU29450-MONOMER	mg2(1)	Manual
BSU37150-MONOMER_mod_mg2(1)	BSU37150-MONOMER	mg2(1)	Manual
CPLX8J2-11_mod_mg2(1)	CPLX8J2-11	mg2(1)	Manual
BSU17610-MONOMER_mod_mg2(1)	BSU17610-MONOMER	mg2(1)	Manual
BSU15680-MONOMER_mod_mg2(1)	BSU15680-MONOMER	mg2(1)	Manual
BSU17460-MONOMER_mod_mn2(1)	BSU17460-MONOMER	mn2(1)	Manual
BSU00770-MONOMER_mod_mg2(1)	BSU00770-MONOMER	mg2(1)	Manual
BSU00820-MONOMER_mod_mg2(6)	BSU00820-MONOMER	mg2(6)	Manual
BSU00820-MONOMER_mod_lys__L(1)	BSU00820-MONOMER	lys__L(1)	Manual
BSU15020-MONOMER_mod_mg2(1)	BSU15020-MONOMER	mg2(1)	Manual
BSU06530-MONOMER_mod_mg2(1)	BSU06530-MONOMER	mg2(1)	Manual
CPLX8J2-16_mod_fe2(1)_mod_fad(1)	CPLX8J2-16	fe2(1) AND fad(1)	Manual
BSU15430-MONOMER_mod_zn2(2)	BSU15430-MONOMER	zn2(2)	Manual
BSU06730-MONOMER_mod_4fe4s(1)	BSU06730-MONOMER	4fe4s(1)	Manual
BSU11220-MONOMER_mod_pydx5p(1)	BSU11220-MONOMER	pydx5p(1)	Manual
CPLX8J2-6_mod_mg2(1)	CPLX8J2-6	mg2(1)	Manual
CPLX8J2-6_mod_mn2(1)	CPLX8J2-6	mn2(1)	Manual
CPLX8J2-6_mod_cobalt2(1)	CPLX8J2-6	cobalt2(1)	Manual
CPLX8J2-6_mod_cd2(1)	CPLX8J2-6	cd2(1)	Manual
CPLX8J2-6_mod_zn2(1)	CPLX8J2-6	zn2(1)	Manual
BSU00130-MONOMER_mod_mg2(1)	BSU00130-MONOMER	mg2(1)	Manual
BSU00500-MONOMER_mod_mg2(1)	BSU00500-MONOMER	mg2(1)	Manual
BSU05900-MONOMER_mod_mg2(1)	BSU05900-MONOMER	mg2(1)	Manual
BSU00180-MONOMER_mod_zn2(2)	BSU00180-MONOMER	zn2(2)	Manual
BSU31990-MONOMER_mod_mg2(1)	BSU31990-MONOMER	mg2(1)	Manual
BSU02390-MONOMER_mod_pydx5p(6)	BSU02390-MONOMER	pydx5p(6)	Manual
BSU02390-MONOMER_mod_pydx5p(1)	BSU02390-MONOMER	pydx5p(1)	Manual
BSU13040-MONOMER_mod_fad(1)_mod_pheme(1)	BSU13040-MONOMER	fad(1) AND pheme(1)	Manual
BSU39740-MONOMER_mod_mg2(1)	BSU39740-MONOMER	mg2(1)	Manual
BSU17600-MONOMER_mod_mn2(1)	BSU17600-MONOMER	mn2(1)	Manual
BSU02230-MONOMER_mod_mg2(1)	BSU02230-MONOMER	mg2(1)	Manual
BSU06620-MONOMER_mod_mg2(1)	BSU06620-MONOMER	mg2(1)	Manual
BSU00550-MONOMER_mod_mg2(1)	BSU00550-MONOMER	mg2(1)	Manual
BSU27330-MONOMER_mod_mg2(1)	BSU27330-MONOMER	mg2(1)	Manual
CPLX8J2-199_mod_4fe4s(1)_mod_2fe2s(1)	CPLX8J2-199	4fe4s(1) AND 2fe2s(1)	Manual
BSU30210-MONOMER_mod_mg2(1)	BSU30210-MONOMER	mg2(1)	Manual
BSU23500-MONOMER_mod_mn2(1)	BSU23500-MONOMER	mn2(1)	Manual
BSU22710-MONOMER_mod_fmnh2(1)	BSU22710-MONOMER	fmnh2(1)	Manual
BSU22710-MONOMER_mod_fadh2(1)	BSU22710-MONOMER	fadh2(1)	Manual
BSU13180-MONOMER_mod_zn2(1)	BSU13180-MONOMER	zn2(1)	Manual
BSU17010-MONOMER_mod_4fe4s(1)	BSU17010-MONOMER	4fe4s(1)	Manual
BSU08690-MONOMER_mod_mg2(1)	BSU08690-MONOMER	mg2(1)	Manual
BSU30200-MONOMER_mod_4fe4s(1)_mod_2fe2s(1)	BSU30200-MONOMER	4fe4s(1) AND 2fe2s(1)	Manual
BSU22700-MONOMER_mod_cobalt2(1)_mod_nad(1)	BSU22700-MONOMER	cobalt2(1) AND nad(1)	Manual
BSU22890-MONOMER_mod_mg2(1)	BSU22890-MONOMER	mg2(1)	Manual
BSU07830-MONOMER_mod_fad(1)	BSU07830-MONOMER	fad(1)	Manual
BSU12300-MONOMER_mod_zn2(1)	BSU12300-MONOMER	zn2(1)	Manual
BSU37490-MONOMER_mod_mn2(2)	BSU37490-MONOMER	mn2(2)	Manual
CPLX8J2-19_mod_pydx5p(1)	CPLX8J2-19	pydx5p(1)	Manual
BSU37330-MONOMER_mod_mg2(1)	BSU37330-MONOMER	mg2(1)	Manual
BSU12290-MONOMER_mod_mg2(1)_mod_cu(1)_mod_fad(1)	BSU12290-MONOMER	mg2(1) AND cu(1) AND fad(1)	Manual
BSU22430-MONOMER_mod_mg2(1)	BSU22430-MONOMER	mg2(1)	Manual
BSU07330-MONOMER_mod_mn2(1)	BSU07330-MONOMER	mn2(1)	Manual
BSU15860-MONOMER_mod_4fe4s(1)	BSU15860-MONOMER	4fe4s(1)	Manual
BSU15460-MONOMER_mod_mg2(1)	BSU15460-MONOMER	mg2(1)	Manual
BSU15700-MONOMER_mod_fmn(1)	BSU15700-MONOMER	fmn(1)	Manual
BSU15700-MONOMER_mod_mg2(1)	BSU15700-MONOMER	mg2(1)	Manual
BSU00900-MONOMER_mod_mg2(1)	BSU00900-MONOMER	mg2(1)	Manual
BSU00900-MONOMER_mod_mn2(1)	BSU00900-MONOMER	mn2(1)	Manual
BSU00900-MONOMER_mod_cobalt2(1)	BSU00900-MONOMER	cobalt2(1)	Manual
CPLX8J2-40_mod_mg2(1)	CPLX8J2-40	mg2(1)	Manual
CPLX8J2-40_mod_mn2(1)	CPLX8J2-40	mn2(1)	Manual
BSU38490-MONOMER_mod_mg2(1)	BSU38490-MONOMER	mg2(1)	Manual
BSU25070-MONOMER_mod_mn2(1)	BSU25070-MONOMER	mn2(1)	Manual
BSU00580-MONOMER_mod_mg2(1)	BSU00580-MONOMER	mg2(1)	Manual
BSU00910-MONOMER_mod_mn2(1)	BSU00910-MONOMER	mn2(1)	Manual
BSU06500-MONOMER_mod_k(1)_mod_mg2(1)	BSU06500-MONOMER	k(1) AND mg2(1)	Manual
BSU00790-MONOMER_mod_mg2(1)	BSU00790-MONOMER	mg2(1)	Manual
BSU14670-MONOMER_mod_mg2(1)	BSU14670-MONOMER	mg2(1)	Manual
BSU30940-MONOMER_mod_pydx5p(1)	BSU30940-MONOMER	pydx5p(1)	Manual
BSU32410-MONOMER_mod_cobalt2(1)_mod_zn2(1)	BSU32410-MONOMER	cobalt2(1) AND zn2(1)	Manual
BSU32410-MONOMER_mod_mn2(1)_mod_zn2(1)	BSU32410-MONOMER	mn2(1) AND zn2(1)	Manual
BSU32410-MONOMER_mod_ni2(1)_mod_zn2(1)	BSU32410-MONOMER	ni2(1) AND zn2(1)	Manual
BSU35660-MONOMER_mod_nad(1)	BSU35660-MONOMER	nad(1)	Manual
BSU24270-MONOMER_mod_thmpp(1)	BSU24270-MONOMER	thmpp(1)	Manual
BSU28270-MONOMER_mod_mg2(1)_mod_mn2(1)	BSU28270-MONOMER	mg2(1) AND mn2(1)	Manual
BSU35010-MONOMER_mod_zn2(1)	BSU35010-MONOMER	zn2(1)	Manual
BSU28560-MONOMER_mod_mg2(1)	BSU28560-MONOMER	mg2(1)	Manual
BSU32240-MONOMER_mod_k(1)_mod_mg2(1)	BSU32240-MONOMER	k(1) AND mg2(1)	Manual
BSU27600-MONOMER_mod_mn2(1)	BSU27600-MONOMER	mn2(1)	Manual
BSU14260-MONOMER_mod_mg2(1)	BSU14260-MONOMER	mg2(1)	Manual
