name,n,matching_number,independence_number,vertex_cover_number,cubic_polytope_and_bipartite,domination_number,zero_forcing_number,power_domination_number,radius,diameter,total_domination_number,number_of_faces,cubic_polytope,average_shortest_path_length,min_maximal_matching_number,independent_domination_number,roman_domination_number
cubic70,12,6,5,7,False,3,4,2,3,4,4,8,True,2.121212121212121,4,3,6.0
cubic58,12,6,5,7,False,3,3,1,3,4,4,8,True,2.1515151515151514,4,3,6.0
cubic67,12,6,5,7,False,3,4,2,3,4,4,8,True,2.106060606060606,4,3,6.0
cubic73,12,6,5,7,False,4,4,2,3,4,4,8,True,2.0757575757575757,4,4,7.0
cubic72,12,6,5,7,False,4,3,1,3,4,4,8,True,2.1363636363636362,4,4,7.0
cubic76,12,6,5,7,False,4,4,2,3,4,5,8,True,2.0454545454545454,4,4,7.0
cubic63,12,6,5,7,False,3,3,1,3,4,5,8,True,2.106060606060606,4,3,6.0
cubic88,12,6,4,8,False,4,4,2,3,4,4,8,True,2.0454545454545454,4,4,7.0
G7,4,2,1,3,False,1,3,1,1,1,2,4,True,1.0,2,1,2.0
cubic5,8,4,3,5,False,2,3,1,2,3,3,6,True,1.6428571428571428,3,2,4.0
cubic7,8,4,4,4,True,2,4,2,3,3,4,6,True,1.7142857142857142,3,2,4.0
cubic14,10,5,4,6,False,3,3,1,3,3,4,7,True,1.8888888888888888,3,3,6.0
cubic2,6,3,2,4,False,2,3,1,2,2,2,5,True,1.4,2,2,4.0
cubic26,10,5,4,6,False,3,4,2,3,3,4,7,True,1.8888888888888888,4,4,6.0
cubic100,12,6,5,7,False,4,4,2,3,3,4,8,True,2.0303030303030303,4,4,7.0
cubic19,10,5,4,6,False,3,3,1,3,3,4,7,True,1.9333333333333333,4,3,6.0
cubic18,10,5,4,6,False,3,4,2,3,3,4,7,True,1.8666666666666667,4,3,6.0
cubic20,10,5,4,6,False,3,4,2,2,3,4,7,True,1.8666666666666667,3,3,6.0
cubic92,12,6,4,8,False,3,4,2,3,3,4,8,True,2.090909090909091,4,3,6.0
dodecahedron15,14,7,6,8,False,4,4,2,4,4,5,9,True,2.3846153846153846,5,4,8.0
cubic56,12,6,5,7,False,3,3,1,3,4,4,8,True,2.1818181818181817,4,3,6.0
cubic95,12,6,6,6,True,4,4,2,4,4,4,8,True,2.1818181818181817,4,4,7.0
cubic83,12,6,5,7,False,4,4,2,3,4,4,8,True,2.090909090909091,4,4,7.0
cubic69,12,6,5,7,False,3,4,2,3,4,5,8,True,2.106060606060606,4,3,6.0
