,ISO3,day.wheat.spring.plant.start,day.wheat.spring.plant.end,day.wheat.spring.harvest.start,day.wheat.spring.harvest.end
0,ABW,,,,
1,ATG,,,,
2,AFG,119.845031738281,152.375076293945,221.0,273.0
3,DZA,73.3204956054688,130.921691894531,193.364013671875,252.682510375977
4,AZE,67.2513885498047,121.450271606445,182.0,243.0
5,ALB,64.0,124.0,182.0,243.000015258789
6,ARM,60.0,120.0,182.0,243.0
7,AND,64.0,124.0,181.999984741211,243.0
8,AGO,318.620025634766,265.104858398438,96.0856018066406,205.404525756836
9,ASM,,,,
10,ARG,314.0,81.0,101.0,262.0
11,AUS,136.122360229492,168.301162719727,266.980285644531,131.905044555664
12,AUT,64.0,124.000007629395,182.0,243.0
13,AIA,,,,
14,ATA,278.7529296875,81.6192626953125,109.497543334961,257.166229248047
15,BHR,14.9999990463257,75.0,151.999984741211,211.999984741211
16,BRB,,,,
17,BWA,314.037902832031,83.1531600952148,100.924186706543,261.385894775391
18,BMU,,,,
19,BEL,64.0,124.000007629395,182.000015258789,243.000015258789
20,BHS,91.1760940551758,162.015045166016,238.183624267578,314.176086425781
21,BGD,180.632919311523,210.966354370117,323.499542236328,363.544006347656
22,BLZ,101.0,172.0,253.0,324.0
23,BIH,64.0,124.0,182.0,243.0
24,BOL,135.782958984375,98.6452484130859,136.878677368164,262.588165283203
25,MMR,154.580123901367,191.518295288086,295.682464599609,336.872497558594
26,BEN,182.0,212.000015258789,325.0,365.0
27,BLR,118.999992370605,157.0,218.0,271.0
28,SLB,12.3905372619629,99.3219680786133,158.827255249023,246.431716918945
29,BRA,42.004711151123,108.210121154785,156.481796264648,262.911987304688
30,BTN,74.8191909790039,130.960845947266,207.362518310547,250.848083496094
31,BGR,91.2257232666016,139.920593261719,200.499282836914,257.388336181641
32,BRN,15.0,75.0,152.0,212.0
33,BDI,15.0,75.0,152.0,212.0
34,CAN,111.06005859375,155.249389648438,223.436813354492,282.17724609375
35,KHM,178.178924560547,210.058135986328,323.747161865234,365.0
36,TCD,162.076431274414,197.409454345703,302.252685546875,345.964050292969
37,LKA,34.2277412414551,94.2277450561523,179.75325012207,239.753234863281
38,COG,215.664367675781,95.2473449707031,185.959426879883,238.390335083008
39,ZAR,215.48583984375,103.843208312988,187.050064086914,241.22021484375
40,CHN,77.7074279785156,122.831283569336,189.606079101562,234.689727783203
41,CHL,302.134460449219,82.2355804443359,103.545921325684,262.042266845703
42,CYM,,,,
43,CCK,,,,
44,CMR,131.552978515625,185.631103515625,306.799896240234,362.851928710938
45,COM,344.0,47.0,137.0,181.0
46,COL,40.44287109375,109.93440246582,160.854598999023,262.997436523438
47,MNP,,,,
48,CRI,93.4127502441406,165.048553466797,242.672882080078,317.136138916016
49,CAF,124.915283203125,182.98974609375,306.283721923828,365.0
50,CUB,97.592887878418,169.173477172852,248.79573059082,321.198547363281
51,CPV,40.0000038146973,110.0,161.000015258789,263.0
52,COK,,,,
53,CYP,60.0,120.0,182.0,243.000015258789
54,DNK,64.6621398925781,124.397277832031,182.433410644531,243.33708190918
55,DJI,130.792877197266,185.976699829102,308.210784912109,365.0
56,DMA,,,,
57,DOM,40.1166572570801,111.807739257812,163.310531616211,261.68017578125
58,ECU,17.8752841949463,110.349166870117,160.693145751953,262.978851318359
59,EGY,50.199649810791,109.44979095459,177.007827758789,237.197372436523
60,IRL,64.0,124.0,182.0,243.0
61,GNQ,56.7627143859863,79.5857467651367,161.265701293945,219.599517822266
62,EST,119.000007629395,157.0,218.000015258789,271.0
63,ERI,177.265991210938,208.731567382812,321.4912109375,362.46826171875
64,SLV,101.0,171.999984741211,253.0,324.0
65,ETH,121.43041229248,181.208526611328,305.077941894531,364.943389892578
66,CZE,64.0,124.000007629395,182.0,243.000015258789
67,GUF,38.9291496276855,110.036926269531,161.036926269531,262.999969482422
68,FIN,116.253486633301,148.199127197266,218.0,271.0
69,FJI,11.0000009536743,111.000007629395,162.0,263.0
70,FLK,314.0,81.0,101.0,262.0
71,FSM,,,,
72,FRO,64.0,123.999992370605,181.999984741211,243.0
73,PYF,11.0,111.0,162.0,263.0
74,FRA,64.0,124.0,182.0,243.0
75,ATF,314.0,81.0,100.999992370605,262.0
76,GMB,182.0,212.0,325.0,365.0
77,GAB,272.983947753906,55.7698593139648,143.978363037109,191.554214477539
78,GEO,60.4938278198242,120.098762512207,182.0,243.0
79,GHA,182.000015258789,212.0,325.0,365.0
