,ISO3,day.maize.plant.start,day.maize.plant.end,day.maize.harvest.start,day.maize.harvest.end
0,ABW,,,,
1,ATG,,,,
2,AFG,95.7031784057617,204.925811767578,231.245498657227,301.842956542969
3,DZA,68.2680816650391,130.200958251953,234.544097900391,330.278381347656
4,AZE,90.7887802124023,179.415832519531,211.363021850586,273.0
5,ALB,105.603439331055,166.111145019531,228.674850463867,304.192810058594
6,ARM,90.9463119506836,180.529373168945,212.54670715332,273.020080566406
7,AND,80.816535949707,144.041000366211,239.979644775391,336.224456787109
8,AGO,243.733291625977,318.755920410156,63.1543884277344,119.297157287598
9,ASM,,,,
10,ARG,251.716766357422,339.84619140625,59.6236457824707,149.589538574219
11,AUS,262.659027099609,296.625213623047,69.0230102539062,168.736343383789
12,AUT,86.5833206176758,143.569366455078,243.116683959961,303.123809814453
13,AIA,,,,
14,ATA,242.548599243164,270.549865722656,116.08504486084,175.340667724609
15,BHR,39.8884086608887,84.6471481323242,157.352844238281,203.266403198242
16,BRB,,,,
17,BWA,318.505859375,39.1491966247559,106.645904541016,166.53987121582
18,BMU,,,,
19,BEL,88.0,151.000015258789,242.0,336.0
20,BHS,137.183624267578,236.614379882812,241.767913818359,345.352172851562
21,BGD,155.129257202148,184.023086547852,228.533432006836,256.752410888672
22,BLZ,130.620635986328,191.674606323242,269.914764404297,179.592346191406
23,BIH,93.0,140.0,249.0,310.0
24,BOL,254.077270507812,325.231292724609,71.4449157714844,140.239410400391
25,MMR,245.914505004883,336.678558349609,17.9350357055664,106.766426086426
26,BEN,61.9498023986816,122.160552978516,211.37614440918,272.918670654297
27,BLR,121.0,140.611373901367,,
28,SLB,304.797302246094,364.808807373047,32.1489143371582,120.137382507324
29,BRA,229.335235595703,298.518981933594,189.869995117188,111.478851318359
30,BTN,47.8191871643066,146.273071289062,223.286102294922,271.199432373047
31,BGR,84.5279388427734,147.300857543945,223.799835205078,284.050872802734
32,BRN,307.0,362.0,60.0,123.0
33,BDI,237.198257446289,297.952087402344,11.6142101287842,61.8311195373535
34,CAN,114.297676086426,164.082168579102,270.879547119141,321.375946044922
35,KHM,120.831359863281,180.86686706543,243.494079589844,303.618347167969
36,TCD,151.066513061523,210.992462158203,243.418640136719,303.550354003906
37,LKA,274.0,324.0,40.0,90.0
38,COG,210.403518676758,327.623107910156,331.245483398438,63.8606567382812
39,ZAR,187.557525634766,259.882934570312,231.655792236328,161.272354125977
40,CHN,72.6129608154297,143.946578979492,210.713562011719,268.360412597656
41,CHL,252.301895141602,351.530517578125,41.7417945861816,140.588302612305
42,CYM,,,,
43,CCK,,,,
44,CMR,64.2912063598633,181.470031738281,184.800003051758,299.465270996094
45,COM,349.0,47.0,137.0,197.0
46,COL,41.3689193725586,113.429161071777,213.220275878906,272.614410400391
47,MNP,,,,
48,CRI,92.7736358642578,152.051712036133,213.324844360352,272.602935791016
49,CAF,81.6473083496094,106.391555786133,190.497146606445,253.831573486328
50,CUB,152.072692871094,258.775329589844,259.409698486328,362.858947753906
51,CPV,182.0,243.000015258789,274.000030517578,365.000030517578
52,COK,,,,
53,CYP,78.3224182128906,138.789001464844,228.638931274414,263.878143310547
54,DNK,87.3868560791016,150.844268798828,243.187362670898,316.671325683594
55,DJI,62.019962310791,143.084701538086,272.47119140625,341.891815185547
56,DMA,,,,
57,DOM,60.0,150.239501953125,181.264038085938,243.0
58,ECU,161.068252563477,227.296035766602,233.36540222168,153.385162353516
59,EGY,111.611404418945,141.834777832031,282.207214355469,322.368743896484
60,IRL,88.0,151.0,242.0,336.0
61,GNQ,211.66130065918,282.382293701172,308.109680175781,78.9807891845703
62,EST,121.0,140.575531005859,,
63,ERI,146.673751831055,207.475814819336,301.342651367188,346.587799072266
64,SLV,119.477821350098,179.477828979492,212.999984741211,333.999969482422
65,ETH,61.000301361084,143.182922363281,273.371734619141,343.687774658203
66,CZE,86.9221115112305,149.75373840332,243.844223022461,303.844207763672
67,GUF,19.7676830291748,87.7894668579102,99.7537307739258,158.065353393555
68,FIN,121.0,140.120147705078,,
69,FJI,305.0,365.000030517578,32.0,120.0
70,FLK,213.0,365.0,80.0,131.0
71,FSM,,,,
72,FRO,87.9999923706055,150.999984741211,241.999984741211,336.0
73,PYF,305.0,365.0,32.0,120.0
74,FRA,87.7748107910156,150.68017578125,241.940734863281,335.760803222656
75,ATF,274.0,365.0,121.0,181.0
