,ISO3,day.soybeans.plant.start,day.soybeans.plant.end,day.soybeans.harvest.start,day.soybeans.harvest.end
0,ABW,,,,
1,ATG,,,,
2,AFG,90.9657516479492,119.991806030273,212.988830566406,243.011154174805
3,DZA,117.489700317383,153.117660522461,273.714172363281,331.315368652344
4,AZE,91.0,120.0,213.0,242.999984741211
5,ALB,116.000007629395,151.0,274.0,334.0
6,ARM,91.0,120.0,213.0,243.0
7,AND,116.0,151.0,274.0,334.0
8,AGO,86.2651519775391,128.015472412109,136.332901000977,199.647094726562
9,ASM,,,,
10,ARG,302.847991943359,363.962310791016,88.8554840087891,150.112991333008
11,AUS,213.439956665039,272.386322021484,115.967849731445,183.767196655273
12,AUT,116.0,151.0,274.0,334.0
13,AIA,,,,
14,ATA,256.612213134766,324.745178222656,105.545463562012,168.720108032227
15,BHR,1.0,30.9999980926514,151.999984741211,211.999984741211
16,BRB,,,,
17,BWA,284.0,353.0,100.0,170.999984741211
18,BMU,,,,
19,BEL,116.0,151.000015258789,274.0,334.0
20,BHS,101.0,202.0,254.000015258789,353.999969482422
21,BGD,159.676315307617,199.717910766602,280.331848144531,336.668182373047
22,BLZ,101.0,202.0,254.0,354.0
23,BIH,116.0,151.0,274.0,334.0
24,BOL,304.699310302734,334.594879150391,100.506149291992,141.39094543457
25,MMR,137.00390625,177.868713378906,268.280303955078,314.590850830078
26,BEN,140.40754699707,181.0,279.330993652344,309.159027099609
27,BLR,115.999992370605,150.999984741211,274.0,333.999969482422
28,SLB,1.15467965602875,31.1585216522217,152.130661010742,212.112411499023
29,BRA,267.995880126953,331.804077148438,100.972755432129,178.286163330078
30,BTN,65.2296600341797,128.473403930664,208.77653503418,277.662475585938
31,BGR,100.405967712402,131.663391113281,235.950546264648,277.237701416016
32,BRN,1.0,31.0,152.0,212.0
33,BDI,1.0,31.0,152.0,212.0
34,CAN,130.524261474609,163.539505004883,258.243438720703,303.089904785156
35,KHM,162.0,195.999984741211,287.999969482422,328.999969482422
36,TCD,133.032363891602,171.498611450195,269.723785400391,299.571807861328
37,LKA,30.2044010162354,60.9299736022949,176.669555664062,233.223068237305
38,COG,43.0030555725098,72.7248916625977,194.559387207031,245.936248779297
39,ZAR,46.9394454956055,76.8844299316406,196.482513427734,247.472549438477
40,CHN,62.8418884277344,126.553588867188,215.435287475586,275.272399902344
41,CHL,295.554992675781,357.853240966797,95.1447525024414,157.463272094727
42,CYM,,,,
43,CCK,,,,
44,CMR,148.978927612305,178.894073486328,300.856628417969,330.356231689453
45,COM,1.0,31.0,152.0,212.0
46,COL,221.290649414062,262.539916992188,340.918670654297,56.9485893249512
47,MNP,,,,
48,CRI,106.088607788086,205.292617797852,250.183517456055,348.686889648438
49,CAF,152.0,181.000015258789,305.0,334.000030517578
50,CUB,105.26042175293,204.756744384766,250.804672241211,349.551605224609
51,CPV,138.0,181.000015258789,274.000030517578,304.000030517578
52,COK,,,,
53,CYP,91.0,120.0,213.0,243.000015258789
54,DNK,116.0,151.0,274.0,334.0
55,DJI,152.0,187.094711303711,295.169830322266,339.5048828125
56,DMA,,,,
57,DOM,125.433563232422,216.002136230469,239.492874145508,331.019989013672
58,ECU,220.324432373047,285.476226806641,164.003158569336,229.071853637695
59,EGY,66.4751739501953,96.1106643676758,197.106094360352,235.672637939453
60,IRL,116.0,151.0,274.0,334.0
61,GNQ,11.6862230300903,41.6154556274414,162.827758789062,220.633895874023
62,EST,116.0,151.0,274.0,334.0
63,ERI,115.856033325195,155.384384155273,254.874893188477,291.310028076172
64,SLV,101.0,202.0,253.999984741211,354.0
65,ETH,144.143753051758,174.917144775391,289.268920898438,321.924621582031
66,CZE,116.000007629395,151.0,274.0,334.000030517578
67,GUF,121.935104370117,215.827331542969,238.243728637695,332.787445068359
68,FIN,116.000007629395,151.0,274.0,334.000030517578
69,FJI,305.0,334.0,101.000007629395,141.0
70,FLK,284.753112792969,357.078765869141,83.9663772583008,144.337173461914
71,FSM,,,,
72,FRO,115.999992370605,150.999984741211,274.0,333.999969482422
73,PYF,305.0,334.0,101.0,141.0
74,FRA,116.0,151.0,274.0,334.0
75,ATF,284.0,353.0,100.0,171.0
76,GMB,138.0,181.0,274.0,304.0
77,GAB,4.57861661911011,34.5549201965332,155.626022338867,214.891326904297
78,GEO,91.0,120.0,213.0,243.0
79,GHA,142.79931640625,181.000015258789,284.627075195312,314.284271240234
