" Monthly averaged odata for station LJO       
"
""
" /data/instrument/database_active//curves///ljoo_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the o concentration in per-meg units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
1989,  1,        0, 1989.0411,   -99.99,     0.00,    -102.52,   -72.13,    -102.52,   -72.13
1989,  2,        0, 1989.1260,   -99.99,     0.00,    -114.49,   -74.08,    -114.49,   -74.08
1989,  3,        0, 1989.2027,   -99.99,     0.00,    -118.93,   -75.85,    -118.93,   -75.85
1989,  4,        0, 1989.2877,   -99.99,     0.00,    -117.79,   -77.81,    -117.79,   -77.81
1989,  5,        0, 1989.3699,  -108.45,   -80.15,    -107.99,   -79.70,    -108.45,   -80.15
1989,  6,        0, 1989.4548,   -77.37,   -81.30,     -77.72,   -81.65,     -77.37,   -81.30
1989,  7,        0, 1989.5370,   -33.85,   -78.05,     -39.34,   -83.55,     -33.85,   -78.05
1989,  8,        0, 1989.6219,   -11.57,   -77.42,     -19.65,   -85.50,     -11.57,   -77.42
1989,  9,        0, 1989.7068,   -27.85,   -83.87,     -31.43,   -87.45,     -27.85,   -83.87
1989, 10,        0, 1989.7890,   -99.99,     0.00,     -61.40,   -89.32,     -61.40,   -89.32
1989, 11,        0, 1989.8740,   -98.75,   -97.74,     -92.23,   -91.22,     -98.75,   -97.74
1989, 12,        0, 1989.9562,   -97.03,   -78.78,    -111.28,   -93.02,     -97.03,   -78.78
1990,  1,        0, 1990.0411,  -153.46,  -123.07,    -125.22,   -94.82,    -153.46,  -123.07
1990,  2,        0, 1990.1260,   -99.99,     0.00,    -136.97,   -96.56,    -136.97,   -96.56
1990,  3,        0, 1990.2027,   -99.99,     0.00,    -141.16,   -98.08,    -141.16,   -98.08
1990,  4,        0, 1990.2877,   -99.99,     0.00,    -139.69,   -99.71,    -139.69,   -99.71
1990,  5,        0, 1990.3699,   -99.99,     0.00,    -129.52,  -101.23,    -129.52,  -101.23
1990,  6,        0, 1990.4548,   -99.99,     0.00,     -98.82,  -102.75,     -98.82,  -102.75
1990,  7,        0, 1990.5370,   -99.99,     0.00,     -59.97,  -104.18,     -59.97,  -104.18
1990,  8,        0, 1990.6219,   -99.99,     0.00,     -39.76,  -105.61,     -39.76,  -105.61
1990,  9,        0, 1990.7068,   -99.99,     0.00,     -50.98,  -107.00,     -50.98,  -107.00
1990, 10,        0, 1990.7890,   -99.99,     0.00,     -80.38,  -108.31,     -80.38,  -108.31
1990, 11,        0, 1990.8740,   -99.99,     0.00,    -110.63,  -109.62,    -110.63,  -109.62
1990, 12,        0, 1990.9562,  -120.85,  -102.59,    -129.11,  -110.86,    -120.85,  -102.59
1991,  1,        0, 1991.0411,   -99.99,     0.00,    -142.50,  -112.11,    -142.50,  -112.11
1991,  2,        0, 1991.1260,  -161.12,  -120.71,    -153.72,  -113.31,    -161.12,  -120.71
