" Monthly averaged odata for station CGO       
"
""
" /data/instrument/database_active//curves///cgoo_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the o concentration in per-meg units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
1991,  1,        0, 1991.0411,   -78.16,  -104.51,     -60.98,   -87.33,     -78.16,  -104.51
1991,  2,        0, 1991.1260,   -99.99,     0.00,     -54.67,   -87.60,     -54.67,   -87.60
1991,  3,        0, 1991.2027,   -56.81,   -85.36,     -59.31,   -87.86,     -56.81,   -85.36
1991,  4,        0, 1991.2877,   -58.71,   -77.65,     -69.26,   -88.20,     -58.71,   -77.65
1991,  5,        0, 1991.3699,   -78.82,   -85.83,     -81.59,   -88.60,     -78.82,   -85.83
1991,  6,        0, 1991.4548,   -92.32,   -87.05,     -94.37,   -89.11,     -92.32,   -87.05
1991,  7,        0, 1991.5370,  -102.27,   -87.01,    -104.94,   -89.68,    -102.27,   -87.01
1991,  8,        0, 1991.6219,  -120.55,   -93.48,    -117.42,   -90.35,    -120.55,   -93.48
1991,  9,        0, 1991.7068,  -134.73,  -100.31,    -125.52,   -91.10,    -134.73,  -100.31
1991, 10,        0, 1991.7890,   -99.99,     0.00,    -119.59,   -91.90,    -119.59,   -91.90
1991, 11,        0, 1991.8740,  -115.81,  -105.19,    -103.44,   -92.82,    -115.81,  -105.19
1991, 12,        0, 1991.9562,   -83.49,   -92.12,     -85.20,   -93.83,     -83.49,   -92.12
1992,  1,        0, 1992.0410,   -56.88,   -83.21,     -68.72,   -95.05,     -56.88,   -83.21
1992,  2,        0, 1992.1257,   -44.93,   -77.85,     -63.55,   -96.48,     -44.93,   -77.85
1992,  3,        0, 1992.2049,   -62.67,   -91.01,     -69.67,   -98.00,     -62.67,   -91.01
1992,  4,        0, 1992.2896,   -83.63,  -102.31,     -81.10,   -99.79,     -83.63,  -102.31
1992,  5,        0, 1992.3716,   -97.33,  -104.08,     -94.83,  -101.58,     -97.33,  -104.08
1992,  6,        0, 1992.4563,  -112.91,  -107.45,    -108.88,  -103.42,    -112.91,  -107.45
1992,  7,        0, 1992.5383,  -124.32,  -108.90,    -120.55,  -105.13,    -124.32,  -108.90
1992,  8,        0, 1992.6230,  -139.04,  -111.83,    -133.97,  -106.76,    -139.04,  -111.83
1992,  9,        0, 1992.7077,  -150.94,  -116.51,    -142.64,  -108.21,    -150.94,  -116.51
1992, 10,        0, 1992.7896,  -157.62,  -130.02,    -137.03,  -109.43,    -157.62,  -130.02
1992, 11,        0, 1992.8743,  -129.83,  -119.28,    -121.04,  -110.50,    -129.83,  -119.28
1992, 12,        0, 1992.9563,  -111.57,  -120.23,    -102.72,  -111.38,    -111.57,  -120.23
1993,  1,        0, 1993.0411,   -76.70,  -103.04,     -85.85,  -112.19,     -76.70,  -103.04
1993,  2,        0, 1993.1260,   -69.99,  -102.91,     -80.06,  -112.99,     -69.99,  -102.91
