name,schema_name,location,url,comment
tree_bonsai,Location,tree_bonsai.csv,,"Bonsai master classification for location"
tree_eurostat,Location,tree_eurostat.csv,"https://ec.europa.eu/eurostat/web/metadata","Subtable of Eurostat country coverage"
tree_iso_3166_1,Location,tree_iso_3166_1.csv,"https://unece.org/trade/cefact/UNLOCODE-Download","ISO 3166-1 alpha-1 codes"
tree_iso_3166_2,Location,tree_iso_3166_2.csv,"https://unece.org/trade/cefact/UNLOCODE-Download","ISO 3166-2 subdivision codes"
dim_level,Level,dim_level.csv,,"levels of the classification codes"
conc_bonsai_iso_3166_1,LocationCorrespondence,conc_bonsai_iso_3166_1.csv,,"Concordance between ISO 3166-1 and bonsai"
conc_iso_3166_1_iso_3166_2,LocationCorrespondence,conc_iso_3166_1_iso_3166_2.csv,,"Concordance between ISO 3166-1 and ISO 3166-2"
